profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_1393,mixed_terrain,0.513747,61.088556,-0.471287,637.072515,640.074958,274.487995,365.586963,219.352178,56.639445,109.759966
mixed_terrain_1029,mixed_terrain,0.499162,30.966913,10.374651,224.986898,201.645294,95.074767,106.570527,63.942316,24.763392,50.242785
flat_terrain_0998,flat_terrain,0.401016,37.068510,-7.056013,142.827598,152.905532,80.520268,72.385264,43.431158,27.511533,104.131704
rough_terrain_1488,rough_terrain,0.620369,28.216867,61.494016,535.050062,206.026291,39.086173,166.940118,100.164071,24.448089,52.954240
flat_terrain_0660,flat_terrain,0.373720,4.893318,81.737333,80.892922,14.773205,-1.423300,16.196506,9.717903,3.534021,14.161458
mixed_terrain_1933,mixed_terrain,0.535631,16.312536,56.590520,191.621432,83.181868,30.565775,52.616093,31.569656,12.871225,36.424423
flat_terrain_1116,flat_terrain,0.408067,52.783902,25.606118,732.949321,545.269450,238.513627,306.755822,184.053493,41.240999,81.132306
rough_terrain_0787,rough_terrain,0.572932,75.827626,3.944291,595.990104,572.482521,254.195359,318.287162,190.972297,62.790259,111.858929
rough_terrain_0194,rough_terrain,0.546923,16.613435,21.471796,52.559967,41.274398,20.414273,20.860125,12.516075,12.795276,28.515388
flat_terrain_1092,flat_terrain,0.406750,61.528315,24.640255,781.910916,589.246074,281.484619,307.761455,184.656873,50.129401,90.458040
rough_terrain_1324,rough_terrain,0.604633,19.739886,69.602807,447.286942,135.962674,-11.139643,147.102317,88.261390,15.327521,67.708385
flat_terrain_0263,flat_terrain,0.312700,68.129618,26.164109,663.050015,489.568889,211.615603,277.953287,166.771972,57.896616,90.612652
flat_terrain_1896,flat_terrain,0.448630,34.712524,22.747486,367.357958,283.793258,134.754879,149.038379,89.423028,29.422400,70.779979
rough_terrain_1101,rough_terrain,0.589434,74.959182,27.488725,449.755009,326.123091,125.367296,200.755795,120.453477,64.377404,108.073688
rough_terrain_1350,rough_terrain,0.606610,35.987488,23.484804,586.462582,448.732995,162.967905,285.765090,171.459054,24.502802,106.902301
mixed_terrain_1127,mixed_terrain,0.503386,48.634498,4.565700,642.332813,613.005821,283.287461,329.718361,197.831016,40.816444,78.342443
rough_terrain_0768,rough_terrain,0.572368,49.688032,-5.181622,362.294629,381.067368,189.074868,191.992500,115.195500,44.042019,86.211597
mixed_terrain_1526,mixed_terrain,0.519067,10.662390,49.083036,143.816115,73.226799,29.917845,43.308954,25.985373,8.496669,28.715892
mixed_terrain_0475,mixed_terrain,0.473975,18.852736,49.930149,416.774453,208.678350,66.758761,141.919588,85.151753,16.169334,38.120574
flat_terrain_1219,flat_terrain,0.414493,14.394925,35.261504,142.291259,92.117221,39.170174,52.947046,31.768228,11.529402,32.638494
flat_terrain_0422,flat_terrain,0.342982,37.141152,-7.575318,298.605531,321.225849,162.852284,158.373565,95.024139,29.524453,67.220920
flat_terrain_0901,flat_terrain,0.394660,46.872631,41.594747,477.895323,279.115972,114.757008,164.358964,98.615378,33.183313,90.705452
rough_terrain_1235,rough_terrain,0.597216,39.167953,13.103081,120.586960,104.786353,52.130513,52.655840,31.593504,29.024992,74.924875
mixed_terrain_1291,mixed_terrain,0.510110,16.269529,30.295041,200.450700,139.724079,62.682463,77.041617,46.224970,12.000795,35.296706
flat_terrain_0706,flat_terrain,0.377977,18.187626,60.213077,256.303149,101.975137,30.716874,71.258263,42.754958,12.774172,61.715802
rough_terrain_1103,rough_terrain,0.589563,23.018399,-0.899384,47.962027,48.393390,21.519151,26.874239,16.124544,13.317160,68.072734
flat_terrain_0762,flat_terrain,0.383250,12.604571,52.346340,74.054173,35.289524,10.689732,24.599792,14.759875,10.723892,26.810382
flat_terrain_1882,flat_terrain,0.447720,62.130969,7.598789,455.724922,421.095348,180.910551,240.184797,144.110878,57.369001,94.817631
rough_terrain_0231,rough_terrain,0.548106,60.851079,18.980757,340.144205,275.582260,116.207766,159.374494,95.624697,46.620253,88.752580
flat_terrain_0027,flat_terrain,0.158328,58.150332,14.287169,312.114447,267.522129,136.202889,131.319240,78.791544,45.819882,94.326963
