profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
flat_terrain_0001,flat_terrain,0.296527,59.992936,22.186074,474.010240,368.845979,157.666139,211.179840,126.707904,51.927977,110.878096
rough_terrain_0007,rough_terrain,0.579268,50.562613,6.508536,593.161589,554.555451,321.609745,232.945706,139.767423,44.970254,98.487596
mixed_terrain_0009,mixed_terrain,0.515185,21.728224,3.639107,143.376753,138.159119,51.140821,87.018299,52.210979,18.729023,38.839796
flat_terrain_0000,flat_terrain,0.221555,85.195753,-21.359763,720.691427,874.629409,555.379350,319.250059,191.550036,76.471380,149.025078
rough_terrain_0000,rough_terrain,0.518387,60.839585,-3.665113,279.810170,290.065528,124.936390,165.129138,99.077483,54.373026,104.523202
flat_terrain_0004,flat_terrain,0.357541,21.723616,50.095982,240.736690,120.137280,1.300370,118.836910,71.302146,16.425891,64.017818
flat_terrain_0008,flat_terrain,0.422083,38.387193,-1.418590,169.912280,172.322639,95.239053,77.083586,46.250151,34.197501,65.557869
mixed_terrain_0004,mixed_terrain,0.475888,68.483661,-35.317708,407.902886,551.964837,350.639110,201.325727,120.795436,43.628698,227.983073
rough_terrain_0004,rough_terrain,0.546581,22.663567,-4.980977,101.770187,106.839337,50.146990,56.692346,34.015408,19.488984,43.569753
rough_terrain_0001,rough_terrain,0.518654,51.247583,19.450690,497.064562,400.382073,225.816846,174.565227,104.739136,33.533222,190.103685
rough_terrain_0003,rough_terrain,0.525494,68.576602,-30.992092,546.541757,715.926482,384.392970,331.533511,198.920107,54.384211,135.830264
mixed_terrain_0000,mixed_terrain,0.436507,140.787460,-63.037777,607.653990,990.705554,598.129015,392.576540,235.545924,111.544976,281.680762
rough_terrain_0005,rough_terrain,0.557722,72.754670,-28.885847,503.312567,648.698665,368.686925,280.011740,168.007044,52.587776,184.146674
flat_terrain_0007,flat_terrain,0.412093,46.916698,10.829445,580.368358,517.517686,201.024449,316.493237,189.895942,37.357719,106.362205
mixed_terrain_0003,mixed_terrain,0.445049,47.969409,30.208484,373.066772,260.368957,130.287470,130.081487,78.048892,37.253918,104.040477
flat_terrain_0005,flat_terrain,0.400426,40.288742,1.658611,214.823194,211.260112,80.980289,130.279823,78.167894,32.237399,90.977988
mixed_terrain_0005,mixed_terrain,0.481684,103.235461,-26.953407,605.808199,769.094147,484.466905,284.627242,170.776345,90.439634,178.840003
mixed_terrain_0001,mixed_terrain,0.441171,96.876035,-43.097557,400.434312,573.011717,342.761143,230.250574,138.150344,71.611259,233.338278
flat_terrain_0002,flat_terrain,0.328563,22.305497,8.937578,62.039865,56.495004,1.897604,54.597400,32.758440,20.776478,30.253105
mixed_terrain_0008,mixed_terrain,0.506738,51.777634,-20.761019,271.718195,328.129662,184.464634,143.665027,86.199016,46.365024,95.000892
mixed_terrain_0002,mixed_terrain,0.442991,56.608834,-26.689197,265.093434,335.844744,217.977413,117.867331,70.720399,36.265458,132.337832
rough_terrain_0006,rough_terrain,0.568855,75.470164,-55.498774,333.136890,518.023779,323.510334,194.513445,116.708067,66.149584,142.381465
rough_terrain_0008,rough_terrain,0.596022,39.811588,-12.078386,264.911400,296.908422,119.761098,177.147324,106.288394,33.610686,86.193331
rough_terrain_0002,rough_terrain,0.522237,104.808782,-31.910928,482.267720,636.163824,405.080050,231.083774,138.650264,82.111264,243.545139
mixed_terrain_0007,mixed_terrain,0.502338,39.521534,15.989222,162.845221,136.807537,53.430167,83.377370,50.026422,35.866049,72.804624
mixed_terrain_0006,mixed_terrain,0.482913,20.641969,28.613625,206.941929,147.728342,62.361929,85.366413,51.219848,15.707204,59.036849
flat_terrain_0003,flat_terrain,0.339790,59.821301,-9.619121,427.240679,468.337478,237.149008,231.188471,138.713082,56.206586,80.710645
flat_terrain_0006,flat_terrain,0.408410,73.287373,23.023827,489.475572,376.779564,209.328820,167.450744,100.470446,63.242932,119.729919
rough_terrain_0009,rough_terrain,0.666868,32.278483,-14.947446,97.090113,111.602605,45.203070,66.399535,39.839721,27.462243,56.881271
flat_terrain_0009,flat_terrain,0.435235,47.336550,20.299804,204.811877,163.235468,75.677976,87.557492,52.534495,36.392561,111.010642
