profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_1393,mixed_terrain,0.513747,61.694840,-1.991954,637.072515,649.762707,286.595547,363.167160,217.900296,57.813475,107.146046
mixed_terrain_1029,mixed_terrain,0.499162,30.656311,11.974589,224.986898,198.045642,95.850055,102.195587,61.317352,24.376116,47.948212
flat_terrain_0998,flat_terrain,0.401016,38.269558,-9.223104,142.827598,156.000735,81.301943,74.698792,44.819275,28.509743,107.328212
rough_terrain_1488,rough_terrain,0.620369,27.418722,62.219513,535.050062,202.144520,55.284119,146.860401,88.116240,20.914956,109.620136
flat_terrain_0660,flat_terrain,0.373720,4.867562,80.547779,80.892922,15.735470,0.826994,14.908476,8.945086,3.550923,13.902033
mixed_terrain_1933,mixed_terrain,0.535631,13.570517,65.972376,191.621432,65.204220,25.395888,39.808332,23.884999,9.518881,37.252337
flat_terrain_1116,flat_terrain,0.408067,52.047949,30.572469,732.949321,508.868618,239.984356,268.884262,161.330557,39.570785,83.234668
rough_terrain_0787,rough_terrain,0.572932,77.334191,1.832191,595.990104,585.070425,269.375766,315.694659,189.416795,64.352086,118.417237
rough_terrain_0194,rough_terrain,0.546923,16.025960,25.541193,52.559967,39.135524,20.224130,18.911395,11.346837,11.884246,27.516970
flat_terrain_1092,flat_terrain,0.406750,59.942614,29.670281,781.910916,549.915751,274.297294,275.618457,165.371074,46.979433,92.525295
rough_terrain_1324,rough_terrain,0.604633,18.819090,72.452947,447.286942,123.214373,10.285811,112.928561,67.757137,10.700101,84.920209
flat_terrain_0263,flat_terrain,0.312700,67.608724,27.559968,663.050015,480.313645,219.645799,260.667846,156.400708,54.152096,91.523980
flat_terrain_1896,flat_terrain,0.448630,35.323819,26.776633,367.357958,268.991867,121.222510,147.769357,88.661614,28.886419,77.315310
rough_terrain_1101,rough_terrain,0.589434,75.313394,26.419962,449.755009,330.929909,130.355242,200.574667,120.344800,63.844054,108.476643
rough_terrain_1350,rough_terrain,0.606610,35.729187,21.888713,586.462582,458.093470,202.007960,256.085509,153.651306,23.169435,108.836395
mixed_terrain_1127,mixed_terrain,0.503386,49.297555,5.669444,642.332813,605.916113,277.131356,328.784756,197.270854,41.479661,79.475979
rough_terrain_0768,rough_terrain,0.572368,50.820748,-5.812394,362.294629,383.352619,190.381092,192.971527,115.782916,44.641409,88.420421
mixed_terrain_1526,mixed_terrain,0.519067,10.525832,50.170026,143.816115,71.663533,40.134734,31.528798,18.917279,7.336932,30.566708
mixed_terrain_0475,mixed_terrain,0.473975,18.147452,55.541829,416.774453,185.290300,48.468739,136.821561,82.092937,14.953650,40.294326
flat_terrain_1219,flat_terrain,0.414493,13.553888,41.828586,142.291259,82.772837,34.140929,48.631908,29.179145,10.426543,32.154762
flat_terrain_0422,flat_terrain,0.342982,37.424365,-9.099476,298.605531,325.777070,165.609837,160.167233,96.100340,30.209836,64.963036
flat_terrain_0901,flat_terrain,0.394660,46.314679,42.983954,477.895323,272.477015,124.433236,148.043779,88.826268,29.907432,90.886017
rough_terrain_1235,rough_terrain,0.597216,38.170865,16.259602,120.586960,100.980000,53.038704,47.941296,28.764778,26.350816,73.875061
mixed_terrain_1291,mixed_terrain,0.510110,16.693957,29.086365,200.450700,142.146878,70.257123,71.889755,43.133853,12.039820,39.248762
flat_terrain_0706,flat_terrain,0.377977,15.706412,65.806459,256.303149,87.639122,30.486045,57.153077,34.291846,10.363973,70.831740
rough_terrain_1103,rough_terrain,0.589563,24.628079,-4.332536,47.962027,50.040000,22.589979,27.450021,16.470013,14.092534,75.070213
flat_terrain_0762,flat_terrain,0.383250,11.412030,59.739487,74.054173,29.814590,9.702477,20.112113,12.067268,8.616635,27.269773
flat_terrain_1882,flat_terrain,0.447720,63.054073,6.543406,455.724922,425.904990,186.411202,239.493788,143.696273,58.403754,92.741013
rough_terrain_0231,rough_terrain,0.548106,59.560518,24.413534,340.144205,257.102985,110.139838,146.963147,88.177888,44.503554,86.586058
flat_terrain_0027,flat_terrain,0.158328,57.429032,15.642329,312.114447,263.292479,133.024873,130.267605,78.160563,44.876582,92.979286
rough_terrain_0796,rough_terrain,0.573507,55.435131,28.168663,216.162867,155.272678,63.108192,92.164485,55.298691,40.377365,94.798686
flat_terrain_0546,flat_terrain,0.360670,72.296712,9.640757,666.039446,601.828202,273.713876,328.114326,196.868596,62.687394,111.838030
rough_terrain_0814,rough_terrain,0.574613,23.423622,43.960174,359.735900,201.595374,83.079531,118.515842,71.109505,16.656128,49.135170
mixed_terrain_0311,mixed_terrain,0.467045,43.717962,32.706345,395.337046,266.036750,111.327844,154.708906,92.825344,33.602597,81.680561
flat_terrain_1525,flat_terrain,0.431194,54.935583,29.071251,542.399336,384.717066,157.664867,227.052198,136.231319,39.494200,105.262773
flat_terrain_0047,flat_terrain,0.179088,12.277436,20.461564,111.403078,88.608266,32.902175,55.706092,33.423655,10.949807,20.385560
mixed_terrain_0631,mixed_terrain,0.481272,14.702710,37.555154,186.028545,116.165238,18.360027,97.805211,58.683127,11.349423,51.368853
mixed_terrain_1529,mixed_terrain,0.519112,41.073075,42.306521,478.367198,275.986677,133.480940,142.505738,85.503443,32.313347,65.082814
