profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_1393,mixed_terrain,0.513747,61.106717,-0.663283,637.072515,641.298107,275.637306,365.660802,219.396481,56.704848,109.762862
mixed_terrain_1029,mixed_terrain,0.499162,30.982284,9.917577,224.986898,202.673650,96.175971,106.497679,63.898607,24.838779,50.243607
flat_terrain_0998,flat_terrain,0.401016,37.073698,-7.090547,142.827598,152.954855,80.468359,72.486497,43.491898,27.521321,104.130886
rough_terrain_1488,rough_terrain,0.620369,28.357780,59.802105,535.050062,215.078862,46.635135,168.443727,101.066236,24.612709,57.989033
flat_terrain_0660,flat_terrain,0.373720,4.968415,81.328013,80.892922,15.104316,-1.736285,16.840600,10.104360,3.617123,14.161513
mixed_terrain_1933,mixed_terrain,0.535631,16.287558,56.412524,191.621432,83.522946,32.293711,51.229235,30.737541,12.837130,36.441734
flat_terrain_1116,flat_terrain,0.408067,52.779936,25.691867,732.949321,544.640953,237.055971,307.584981,184.550989,41.265482,81.127721
rough_terrain_0787,rough_terrain,0.572932,75.835685,3.947443,595.990104,572.463735,254.086675,318.377061,191.026237,62.794828,111.857691
rough_terrain_0194,rough_terrain,0.546923,16.592285,21.931630,52.559967,41.032710,20.478626,20.554084,12.332450,12.693466,28.515097
flat_terrain_1092,flat_terrain,0.406750,61.550895,24.686984,781.910916,588.880693,278.588925,310.291768,186.175061,50.278476,90.439362
rough_terrain_1324,rough_terrain,0.604633,19.740529,68.176803,447.286942,142.341003,-6.997011,149.338013,89.602808,15.512905,69.989147
flat_terrain_0263,flat_terrain,0.312700,68.141934,25.701516,663.050015,492.636110,213.827392,278.808718,167.285231,58.095138,90.588630
flat_terrain_1896,flat_terrain,0.448630,34.787666,22.149453,367.357958,285.990181,136.472809,149.517372,89.710423,29.564357,70.768085
rough_terrain_1101,rough_terrain,0.589434,74.906240,27.580113,449.755009,325.712071,126.231510,199.480560,119.688336,64.055873,108.070673
rough_terrain_1350,rough_terrain,0.606610,36.006229,22.977113,586.462582,451.710410,165.020000,286.690411,172.014246,24.537348,106.904982
mixed_terrain_1127,mixed_terrain,0.503386,48.633273,4.597298,642.332813,612.802858,282.557531,330.245327,198.147196,40.825629,78.337289
rough_terrain_0768,rough_terrain,0.572368,49.752866,-5.277919,362.294629,381.416248,189.065978,192.350270,115.410162,44.133097,88.403936
mixed_terrain_1526,mixed_terrain,0.519067,10.662153,48.925682,143.816115,73.453099,30.323083,43.130017,25.878010,8.475463,28.704311
mixed_terrain_0475,mixed_terrain,0.473975,18.363920,51.421806,416.774453,202.461501,66.164600,136.296901,81.778140,15.698062,38.192802
flat_terrain_1219,flat_terrain,0.414493,14.502187,34.490624,142.291259,93.214116,39.781504,53.432612,32.059567,11.655003,32.625155
flat_terrain_0422,flat_terrain,0.342982,37.142818,-7.622598,298.605531,321.367031,162.955388,158.411644,95.046986,29.536045,67.219444
flat_terrain_0901,flat_terrain,0.394660,46.851235,41.009429,477.895323,281.913180,118.513469,163.399712,98.039827,33.355994,90.674512
