profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
high_periodicity_0232,high_periodicity,nan,4.527739,77.781301,87.435950,19.427130,2.053786,17.373345,10.424007,3.701373,12.720481
high_periodicity_1143,high_periodicity,nan,5.572651,46.880433,51.288527,27.244244,6.491719,20.752524,12.451514,4.721394,10.275703
high_periodicity_1722,high_periodicity,nan,38.982506,40.410877,616.992979,367.660704,94.142556,273.518148,164.110889,23.329699,103.582133
high_periodicity_0999,high_periodicity,nan,5.276116,82.805500,140.605971,24.176493,0.226326,23.950168,14.370101,4.420234,10.416968
high_periodicity_1946,high_periodicity,nan,36.911753,15.062158,294.164167,249.856694,122.146424,127.710270,76.626162,30.881592,72.267880
high_periodicity_1373,high_periodicity,nan,51.451267,23.745448,864.262696,659.039650,298.102272,360.937378,216.562427,36.715446,102.841566
high_periodicity_1674,high_periodicity,nan,34.014055,36.202140,210.740733,134.448079,42.864650,91.583429,54.950057,23.783639,79.806878
high_periodicity_0894,high_periodicity,nan,47.410253,31.619292,326.307027,223.131056,92.669161,130.461896,78.277138,34.571502,90.209949
high_periodicity_1673,high_periodicity,nan,32.860654,28.234705,539.194568,386.954574,144.743782,242.210792,145.326475,26.398951,74.844686
high_periodicity_1544,high_periodicity,nan,39.144735,21.098549,413.672440,326.393556,144.840661,181.552895,108.931737,30.361309,64.457637
high_periodicity_1181,high_periodicity,nan,11.702155,75.578637,151.663114,37.038199,1.518240,35.519959,21.311975,8.677655,26.556211
high_periodicity_0269,high_periodicity,nan,71.044718,6.867001,424.702439,395.538118,210.275357,185.262760,111.157656,55.859359,115.852985
high_periodicity_1690,high_periodicity,nan,8.844950,82.311812,193.126545,34.160587,-1.373385,35.533972,21.320383,7.064893,33.480951
high_periodicity_1864,high_periodicity,nan,23.755075,26.424375,343.684926,252.868331,105.868061,147.000269,88.200162,16.625101,85.830466
high_periodicity_0258,high_periodicity,nan,61.890399,-1.559367,284.305042,288.738402,142.167934,146.570468,87.942281,58.375612,94.056268
high_periodicity_0846,high_periodicity,nan,44.778523,29.395856,335.685713,237.008023,102.520178,134.487845,80.692707,33.044792,98.624642
high_periodicity_0500,high_periodicity,nan,54.887583,1.888819,177.553805,174.200135,92.076498,82.123637,49.274182,45.014318,96.712260
high_periodicity_1875,high_periodicity,nan,11.389010,-10.412152,43.902113,48.473268,24.705324,23.767944,14.260766,9.705381,19.627004
high_periodicity_0047,high_periodicity,nan,78.212679,0.396999,365.452309,364.001466,149.337258,214.664208,128.798525,73.938731,100.053591
high_periodicity_1460,high_periodicity,nan,36.306207,38.022643,160.257234,99.323198,31.842920,67.480279,40.488167,29.810380,63.585607
high_periodicity_1597,high_periodicity,nan,48.937118,37.867066,317.310316,197.154208,44.673372,152.480836,91.488501,37.436311,108.436185
high_periodicity_1278,high_periodicity,nan,41.918779,47.162116,797.545574,421.406203,166.816121,254.590081,152.754049,28.235276,106.090782
high_periodicity_0719,high_periodicity,nan,17.759635,31.918283,73.817623,50.256306,16.822846,33.433459,20.060076,13.820148,26.702851
high_periodicity_0603,high_periodicity,nan,35.207394,12.186112,222.314880,195.223341,81.223458,113.999882,68.399929,29.740144,71.056948
high_periodicity_1972,high_periodicity,nan,19.604695,70.256384,442.325029,131.563459,8.549024,123.014434,73.808661,14.365984,49.116631
high_periodicity_1156,high_periodicity,nan,68.090666,13.022577,341.407479,296.947426,90.937608,206.009819,123.605891,55.804873,106.361665
high_periodicity_1119,high_periodicity,nan,46.627604,38.235270,228.366392,141.049886,60.924940,80.124946,48.074968,38.570219,81.523439
high_periodicity_1710,high_periodicity,nan,25.266437,53.861962,414.448025,191.218186,43.783686,147.434500,88.460700,19.557267,55.731822
high_periodicity_0144,high_periodicity,nan,34.946187,6.727514,278.557119,259.817150,125.868010,133.949140,80.369484,26.209396,61.976032
high_periodicity_1944,high_periodicity,nan,12.237906,85.300519,232.039830,34.108650,-12.661866,46.770515,28.062309,9.522318,30.785623
high_periodicity_0908,high_periodicity,nan,27.522867,32.095060,229.202716,155.639966,54.078889,101.561077,60.936646,18.844819,66.557211
high_periodicity_1100,high_periodicity,nan,18.336986,70.382959,477.252279,141.348003,-14.215896,155.563899,93.338339,13.553615,47.760807
high_periodicity_0066,high_periodicity,nan,59.232589,-3.051818,462.270358,476.378009,224.100205,252.277804,151.366682,51.447833,114.289057
high_periodicity_0507,high_periodicity,nan,39.062645,40.977725,356.780533,210.579987,72.931337,137.648650,82.589190,33.733093,64.984024
high_periodicity_1420,high_periodicity,nan,60.365095,3.575087,372.058146,358.756743,157.631505,201.125238,120.675143,53.616855,90.568266
high_periodicity_0789,high_periodicity,nan,23.387440,41.180982,216.346536,127.252908,53.752400,73.500508,44.100305,19.123690,35.934209
high_periodicity_0605,high_periodicity,nan,31.039292,32.873189,205.994606,138.277609,66.246600,72.031010,43.218606,22.714316,67.799128
high_periodicity_0598,high_periodicity,nan,4.850627,59.554624,44.236390,17.891574,7.100689,10.790885,6.474531,3.406586,11.206752
high_periodicity_0017,high_periodicity,nan,45.900634,38.783222,529.868491,324.368415,116.559872,207.808544,124.685126,32.965641,108.533099
high_periodicity_0399,high_periodicity,nan,32.800527,14.948909,360.967219,307.006556,145.634401,161.372155,96.823293,25.139473,53.741947
high_periodicity_1446,high_periodicity,nan,71.595748,5.501601,449.159204,424.448256,203.307686,221.140571,132.684342,67.315825,93.708641
high_periodicity_1215,high_periodicity,nan,56.500848,2.447826,500.944870,488.682614,238.948289,249.734325,149.840595,47.986822,113.203731
high_periodicity_1917,high_periodicity,nan,37.227243,9.093279,199.324284,181.199171,89.815278,91.383893,54.830336,33.142331,86.819332
high_periodicity_0293,high_periodicity,nan,40.693083,42.600804,228.129745,130.944640,36.045632,94.899008,56.939405,34.620377,70.532211
high_periodicity_0201,high_periodicity,nan,21.561514,21.332526,125.202642,98.493755,41.985080,56.508676,33.905206,15.768280,36.872305
high_periodicity_0099,high_periodicity,nan,53.613094,5.100173,502.173272,476.561564,208.505798,268.055766,160.833460,41.993334,100.999275
high_periodicity_1041,high_periodicity,nan,8.608416,-12.303038,38.325328,43.040508,21.803315,21.237192,12.742315,7.185677,16.345477
high_periodicity_1849,high_periodicity,nan,46.712629,3.904322,263.083941,252.812297,129.923311,122.888986,73.733392,42.360748,68.830153
high_periodicity_0002,high_periodicity,nan,42.365541,56.761203,342.268213,147.992658,19.596811,128.395847,77.037508,28.948127,106.085434
high_periodicity_0921,high_periodicity,nan,23.668497,29.740144,207.792588,145.994773,47.195413,98.799360,59.279616,20.205172,47.585027
high_periodicity_1161,high_periodicity,nan,35.476408,-7.442958,221.982495,238.504559,122.318073,116.186486,69.711892,27.374260,85.973521
high_periodicity_1656,high_periodicity,nan,24.489757,54.223559,145.052656,66.399943,25.210076,41.189866,24.713920,21.236580,38.363053
high_periodicity_1385,high_periodicity,nan,23.006326,56.876237,312.354226,134.698896,21.242408,113.456489,68.073893,17.912103,48.870671
high_periodicity_0324,high_periodicity,nan,69.450857,2.105424,355.037516,347.562471,123.258774,224.303698,134.582219,64.034637,95.579386
high_periodicity_0194,high_periodicity,nan,44.913318,20.590838,439.963145,349.371046,133.734147,215.636899,129.382139,35.587303,102.176304
high_periodicity_0025,high_periodicity,nan,1.972731,59.385384,12.109354,4.918168,-0.390335,5.308503,3.185102,1.593851,5.420838
high_periodicity_1647,high_periodicity,nan,36.632153,37.767834,486.170953,302.554714,115.650600,186.904114,112.142468,31.950597,57.539971
high_periodicity_0727,high_periodicity,nan,56.610052,3.820471,326.050210,313.593555,135.404239,178.189316,106.913589,50.618992,92.403287
high_periodicity_1031,high_periodicity,nan,27.726140,-2.732519,190.159903,195.356057,83.319391,112.036667,67.222000,19.868758,67.085207
high_periodicity_1072,high_periodicity,nan,14.690535,80.614639,355.521369,68.919101,-26.101033,95.020134,57.012080,10.797935,41.011599
high_periodicity_0341,high_periodicity,nan,82.756876,0.062170,548.987691,548.646385,213.514500,335.131885,201.079131,78.415968,112.008311
high_periodicity_0148,high_periodicity,nan,57.306948,-2.537880,208.666504,213.962209,88.202109,125.760100,75.456060,43.054576,101.721719
high_periodicity_1813,high_periodicity,nan,30.094868,52.354449,393.334837,187.406551,40.893433,146.513118,87.907871,22.718931,64.822480
high_periodicity_1971,high_periodicity,nan,15.482778,70.278066,321.165122,95.456486,30.705578,64.750908,38.850545,12.169200,34.759093
high_periodicity_1276,high_periodicity,nan,25.488373,37.261002,356.437104,223.625069,92.034586,131.590483,78.954290,20.403215,42.671668
high_periodicity_1974,high_periodicity,nan,64.145455,2.235671,672.960823,657.915631,300.575463,357.340168,214.404101,56.382970,90.583912
