profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
low_periodicity_0232,low_periodicity,nan,16.703646,40.600716,265.328198,157.603051,61.785353,95.817698,57.490619,13.441370,36.321517
low_periodicity_1143,low_periodicity,nan,25.249807,71.540007,483.992552,137.744244,47.306285,90.437959,54.262775,14.790098,100.574812
low_periodicity_1722,low_periodicity,nan,23.696299,58.021202,491.088247,206.152941,102.903107,103.249834,61.949900,19.095776,55.199844
low_periodicity_0999,low_periodicity,nan,60.000757,1.075966,674.599489,667.341028,340.229231,327.111797,196.267078,45.345366,112.913938
low_periodicity_1946,low_periodicity,nan,21.321092,19.488534,372.833108,300.173402,171.922951,128.250451,76.950270,18.777339,34.690187
low_periodicity_1373,low_periodicity,nan,71.639305,24.448152,673.485276,508.830575,197.499687,311.330889,186.798533,59.308924,104.325901
low_periodicity_1674,low_periodicity,nan,45.764875,23.139601,419.620929,322.522319,150.014451,172.507868,103.504721,30.738980,98.706844
low_periodicity_0894,low_periodicity,nan,44.813586,19.816527,543.327516,435.658873,188.982401,246.676472,148.005883,39.064267,79.985789
low_periodicity_1673,low_periodicity,nan,59.483963,33.565516,552.717747,367.195184,160.955226,206.239957,123.743974,50.413358,88.599919
low_periodicity_1544,low_periodicity,nan,49.424722,1.054488,267.745660,264.922314,124.119412,140.802902,84.481741,42.409331,77.429518
low_periodicity_1181,low_periodicity,nan,58.907658,30.045399,835.740345,584.638822,149.736017,434.902805,260.941683,48.647127,102.973294
low_periodicity_0269,low_periodicity,nan,29.142160,28.090230,426.450489,306.659566,118.368143,188.291423,112.974854,17.295512,86.357625
low_periodicity_1690,low_periodicity,nan,30.127550,17.235170,471.457122,390.200686,172.826451,217.374234,130.424541,20.864043,90.443144
low_periodicity_1864,low_periodicity,nan,26.637419,27.117413,385.070298,280.649194,137.203018,143.446176,86.067706,20.668375,57.270390
