profile,family,residual_rmse_nm,peak_abs_residual_nm,mean_abs_residual_nm,offload_pct,baseline_energy_burden_j,assisted_energy_burden_j,mean_stiffness_n_per_m
low_roughness_0367,low_roughness,92.07793446076846,120.79714651226443,83.96272454736543,8.453140070621258,799.3502237260168,731.7800296596322,290.31205211281775
medium_roughness_0070,medium_roughness,45.21086649067862,89.79270780916923,35.320852586334354,-4.208027589723441,429.3238576037386,447.3899239809689,168.9189376473427
low_roughness_0116,low_roughness,62.49866260468268,86.44284829626955,55.19926228072313,11.47112809515641,500.5958867496615,443.1718913415237,128.42832770347596
high_roughness_0145,high_roughness,68.32508921924693,109.08527170034151,58.69879462838297,-1.9529038733439168,391.7803668158118,399.4314607743588,129.0031981945038
low_roughness_0148,low_roughness,3.4084956696189925,6.059402943584193,2.998197751206996,-137.48522280614716,6.174989557866441,14.66468770975544,89.8989794909954
medium_roughness_0300,medium_roughness,67.32053966904424,115.93405649914692,57.26614015975973,10.391007918253072,328.64917366765735,294.4992120085778,292.2038123190403
high_roughness_0175,high_roughness,18.516920864199346,38.334439094787584,16.12728261051611,-3.091739997569255,76.15150421192557,78.50591072639631,208.6793821156025
low_roughness_0328,low_roughness,51.01785882205188,68.52220674217,45.41067560489732,20.088255000099906,290.1253766089789,231.84425113576702,294.94057802557944
medium_roughness_0231,medium_roughness,29.736127954167458,68.02870450160827,23.25491597809009,6.405249823062846,299.63316488275774,280.4409121192673,72.80888187289239
low_roughness_0094,low_roughness,33.800038664611826,61.3677496911736,27.42108562495911,23.155683429931162,325.0294381134085,249.7666503697836,138.31493660211564
low_roughness_0081,low_roughness,52.885796143902525,67.73280701128448,48.016924699551296,10.947793929589215,593.4425960061462,528.4737235049887,205.99210129380225
medium_roughness_0210,medium_roughness,32.75780697427579,58.19129463470939,27.006322949625154,20.7849577930826,375.77545331272717,297.670683944912,196.65069317221642
low_roughness_0109,low_roughness,29.538091873598113,37.84251867144471,26.409988270749956,15.75423282601537,138.25006820457986,116.4698305775053,171.932088047266
medium_roughness_0331,medium_roughness,57.05192669566587,102.01158611159666,47.59192926010576,-2.746673872932372,512.3978567674717,526.4717548247693,89.05948991179466
medium_roughness_0095,medium_roughness,14.945890153506404,29.32273570552576,12.327763860865371,-12.157522252145155,83.36527325323598,93.50042489955976,89.29629728198051
high_roughness_0194,high_roughness,88.53290750881689,116.04166068526509,77.76404799318792,12.523035264370247,925.9347062627851,809.9795764724535,178.44301015138626
medium_roughness_0061,medium_roughness,20.322288191677785,37.311129125391176,16.750864299614495,48.77830460830161,496.02625272581713,254.0730562340741,92.09127653241157
high_roughness_0209,high_roughness,43.81060129347128,65.17177948122932,38.09606607185124,15.747867108603263,381.85136635831384,321.7179206318208,150.13594296574593
high_roughness_0178,high_roughness,40.78106891539095,73.39585126984349,34.748102778468706,2.7180229362568933,368.3134270532675,358.3025836286459,183.5026155412197
medium_roughness_0173,medium_roughness,24.8237197089471,59.54015007123831,20.88869334896811,-4.4708613493740765,280.53236391902396,293.07457694996504,209.00696761012077
low_roughness_0127,low_roughness,63.25840680468786,91.15764979219217,55.80297661773044,10.292293098970024,253.62641349831623,227.52243964466385,298.75432401895523
low_roughness_0249,low_roughness,27.227113957056623,40.49289519822281,24.086988273045318,5.296705635290572,229.8129070805328,217.64039388057313,93.15711638331413
medium_roughness_0053,medium_roughness,90.08199750555572,107.49950128631264,84.38655502641784,0.7541763116048515,747.6647327835034,742.0260224786265,198.18615493178368
high_roughness_0251,high_roughness,49.05224141502485,97.15249911472866,43.007236644023735,8.50802785619982,732.5629062329298,670.2362501064451,162.14151611924171
medium_roughness_0339,medium_roughness,15.864881767261172,47.39569246206268,12.646267621391221,43.526580726161235,206.65353700465823,116.70431839685818,175.84365007281303
high_roughness_0260,high_roughness,53.239182560125585,97.09000723739877,47.159780317506396,-1.6282121518388246,286.5381303743991,291.20357903280683,128.96840502619744
high_roughness_0036,high_roughness,48.38004077103341,92.30453148927792,39.105209236530314,17.14663069436743,373.24880092388594,309.2492074583125,253.8360719680786
low_roughness_0124,low_roughness,58.744705721820104,83.67574808503818,53.51753103154074,16.65525491280513,381.9887036221234,318.36751129573906,266.8933014929295
high_roughness_0263,high_roughness,57.727448660653366,84.18491650355179,53.154447763931515,-1.648168629775777,556.8072289953409,565.9843510719659,168.9255002975464
high_roughness_0174,high_roughness,28.1508639427281,43.0079844952295,25.6095052035973,-2.016617954435951,210.25322087434535,214.49322507627727,89.0951811671257
high_roughness_0041,high_roughness,9.417742702119948,22.45005401530756,7.058514352869975,48.31519520821028,144.4763772166009,74.67233353464994,144.8479404628277
medium_roughness_0083,medium_roughness,43.248971783741965,112.06648754182163,30.63043223471585,42.87552161215758,856.8579190321069,489.47561677201224,141.29818402528764
low_roughness_0150,low_roughness,17.16605296954111,33.75495117358783,14.90707978763464,38.999841988068525,121.4951276380557,74.11221983601182,199.56354728937148
medium_roughness_0043,medium_roughness,79.4768070783152,115.93365929734892,70.75083395087158,4.728325000086607,618.3868981048646,589.1475558045122,288.8349331140518
medium_roughness_0091,medium_roughness,54.53923682503092,104.30857362660272,49.133897736253275,-1.7927587428555325,282.512959118062,287.5777348923509,128.97358008027078
medium_roughness_0276,medium_roughness,33.93893681056272,71.03622805661489,27.756267181376735,34.17905993482999,602.5773802874952,396.62209632530374,142.94440986514093
medium_roughness_0127,medium_roughness,24.99679054990941,32.285941028222474,22.728767496453457,16.960959865403815,253.0857079199256,210.1599425745539,215.86756112575532
medium_roughness_0314,medium_roughness,57.86252884945891,88.5298969687183,49.075100682151756,-1.1303147050577542,683.1885090342776,690.9106892151568,49.13277309536934
medium_roughness_0289,medium_roughness,31.138989119453893,40.427621903172266,27.890806212034953,17.738252951603247,218.78920240427243,179.97982025100737,219.4699004173279
low_roughness_0092,low_roughness,33.86287273096277,43.07522478340871,30.951797293692948,10.795867431970498,141.4328624786341,126.16395814019961,295.8466460108757
high_roughness_0388,high_roughness,38.621837540441184,97.28007874914391,30.92641189814683,-2.0013609519256375,376.87130827750514,384.4138634803824,168.00839465856552
low_roughness_0206,low_roughness,53.04422878753233,80.6407801906063,45.2219488710642,12.414773752371534,378.12827959369395,331.184509188402,216.27607195973397
medium_roughness_0176,medium_roughness,65.64978888545119,116.32396293095476,55.97192354328422,11.358447808959461,474.97646778890464,421.02651359026277,212.3221080124378
low_roughness_0169,low_roughness,75.75036836834654,106.04315056333029,66.6021703148186,13.690833832789494,961.8956085417501,830.2040791313998,265.7495614051819
high_roughness_0051,high_roughness,41.528754075117455,79.2508157506456,32.92877654469048,14.809188285460174,188.42856254507984,160.52382193419288,169.73495366573334
medium_roughness_0240,medium_roughness,30.11275954657517,45.4664852905525,26.573314604618,13.407247618354392,360.56368629419376,312.22202005086467,101.21003322601318
medium_roughness_0149,medium_roughness,28.01790551786406,48.1438770173245,23.94195053929599,-4.132382235335554,67.43638398129892,70.22311313309478,129.00722119808196
low_roughness_0238,low_roughness,54.99249989730994,84.00771813049388,46.85624659123453,16.34409153284753,394.5535247218231,330.06733549521215,186.1951179921627
