profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19
low_roughness_0367,low_roughness,117.35600280761719,46.9010009765625,449.5781555175781,610.2954711914062,6.968728172296323e-08,185.7918701171875,661.3069458007812,487.1058349609375,967.2466430664062,7.740074181583623e-08,1.5621919313701937e-09,1.6354776422033979e-09,86.7951889038086,7.040669824931456e-09,5.161400622455403e-05,1.7801397023120558e-09,235.16661071777344,1.5846424616938748e-07,1075.7384033203125,1.8470222684641158e-08
medium_roughness_0070,medium_roughness,117.35600280761719,46.9010009765625,320.9010314941406,871.6937866210938,215.07012939453125,3.0600415534820513e-09,4.9638497756632205e-09,2.46103026846356e-10,2.0329688155129588e-08,1.582731279370364e-08,2.5780211299064604e-10,2.5392635216725523e-10,2.0564216995921925e-09,1.6185031093129965e-09,1.4543485860052385e-10,4.19478590751865e-10,6.749335312861149e-09,3.2823706419549126e-08,2.0432821656868327e-08,3.98858057693019e-09
low_roughness_0116,low_roughness,117.35600280761719,46.9010009765625,509.0350036621094,0.001212544972077012,0.002128453692421317,1.6103570033010328e-07,450.2940368652344,0.0006711755995638669,7.079009378685441e-08,936.6359252929688,3.8879877095610027e-10,5.045355244703842e-10,4.926959285000976e-09,9.053854910234804e-07,4.5664955150570563e-10,4.1226294600349433e-10,1.7985016143029497e-08,7.270849522456047e-08,6.354182602308356e-08,808.501953125
high_roughness_0145,high_roughness,117.35600280761719,46.9010009765625,577.153564453125,851.996337890625,4.644876128168107e-07,251.9522705078125,6.096995974758102e-08,1.0082124646260127e-07,9.007269596850165e-08,1.851307551703485e-08,3.4471492327270425e-10,3.603923548478605e-10,3.4110478885907014e-09,1.7023770171320507e-09,2.3998195097796327e-10,4.606209857982435e-10,1.2180463748734383e-08,4.406949116741998e-08,1.181069251288136e-07,4.2692174240244185e-09
low_roughness_0148,low_roughness,117.35600280761719,46.9010009765625,124.059814453125,75.11231994628906,8.717216815057327e-08,165.35397338867188,3.366943120956421,77.6532211303711,156.63796997070312,5.062930199528637e-07,6.449225509186363e-08,9.63434914069694e-08,2.4646351448609494e-05,2.831691325866359e-08,4.083996145709534e-07,1.3665404807738923e-08,2.6740373868960887e-05,2.330720917598228e-06,0.013486702926456928,1.189186562555733e-07
medium_roughness_0300,medium_roughness,117.35600280761719,46.9010009765625,445.2232666015625,601.884033203125,6.299288202171738e-08,575.6426391601562,698.2702026367188,828.7777709960938,1112.328125,1.0330117561352381e-07,2.267195320371229e-09,2.360529549605417e-09,101.9114990234375,9.963880387431345e-09,6.084894994273782e-05,2.584043201636632e-09,228.8985137939453,2.0242831055838906e-07,1148.5218505859375,2.5822807003805792e-08
high_roughness_0175,high_roughness,117.35600280761719,46.9010009765625,188.09266662597656,269.09124755859375,5.648670864388805e-08,233.2132568359375,7.251349387615846e-08,353.3348083496094,749.9345703125,1.5976360145941726e-07,1.1042518011095126e-09,1.0907936776050065e-09,1.4220780109042153e-08,1.1056939364095797e-08,5.339008124494171e-10,2.388518716145427e-09,4.461125513444131e-08,2.994841850068042e-07,3.4317667996219825e-07,3.2653048265274265e-08
low_roughness_0328,low_roughness,117.35600280761719,46.9010009765625,458.89581298828125,540.2615966796875,8.151310026960346e-08,315.314453125,662.8001098632812,462.2215270996094,996.1364135742188,1.0747995560222989e-07,2.8026367893119186e-09,3.013076899094358e-09,177.0196533203125,1.067829202838766e-08,0.0008732171845622361,2.9231661535789044e-09,231.3421173095703,2.0149072099684417e-07,1058.8699951171875,2.841874469083905e-08
medium_roughness_0231,medium_roughness,117.35600280761719,46.9010009765625,574.3572998046875,0.004933753050863743,452.3105773925781,1.9057983635661913e-08,0.0015605650842189789,6.019917009325582e-07,126.3736801147461,4.117054430707867e-08,0.00015511443780269474,0.00042521909927017987,21.393688201904297,4.712209289436942e-09,0.0008453231421299279,4.672233990277164e-05,90.71623992919922,1.0826531138263817e-07,275.3309326171875,9.372580045408085e-09
low_roughness_0094,low_roughness,117.35600280761719,46.9010009765625,429.7317810058594,0.0010736488038673997,88.19506072998047,6.304625088660032e-08,267.1279296875,0.004362487234175205,1.525205135521901e-07,1150.0008544921875,6.7780394630290175e-09,1.3823395761392021e-09,1.2417196160185995e-08,3.2024106979370117,1.1296301671848141e-09,4.0062007045094106e-09,4.541363196608472e-08,0.01473962515592575,1.3433239587357093e-07,1105.1470947265625
low_roughness_0081,low_roughness,117.35600280761719,46.9010009765625,10.268567085266113,449.8507995605469,1.0004180239775451e-07,205.65695190429688,0.8422968983650208,163.20594787597656,9.449731826782227,3.1062104000056934e-08,6.672952190811543e-10,5.644766321033501e-10,20.636205673217773,3.288924244060354e-09,0.0002703857608139515,9.444409698744494e-10,130.03648376464844,6.954572739914511e-08,257.064697265625,7.987091876771046e-09
medium_roughness_0210,medium_roughness,117.35600280761719,46.9010009765625,364.73773193359375,944.5111083984375,1.3309896296220813e-08,580.0875854492188,262.7704772949219,1.7119599071691027e-09,152.00819396972656,0.002357438439503312,0.0032287081703543663,0.002994417678564787,138.1111297607422,0.00036803469993174076,7.845429420471191,0.00048734733718447387,147.3939666748047,1.519027108543014e-07,172.93008422851562,0.007640252821147442
low_roughness_0109,low_roughness,117.35600280761719,46.9010009765625,470.2205810546875,129.59649658203125,298.51055908203125,1.900005841548591e-08,596.953369140625,315.931396484375,2.7186814577362384e-07,888.1937255859375,2.3651354208453768e-09,1.184036424461965e-09,2.128282972080342e-08,0.00021254831517580897,1.3666388021249531e-09,1.7598568158305739e-09,7.191721351773595e-08,560.1101684570312,2.3405831939271593e-07,480.9332275390625
medium_roughness_0331,medium_roughness,117.35600280761719,46.9010009765625,338.363525390625,745.6151733398438,9.546888612987914e-09,9.855295246552487e-09,8.128777650995289e-09,9.250651356040862e-10,2.7791470458282674e-08,2.6452930512732564e-08,3.6466069053275874e-10,3.6483741028270344e-10,2.330128978655921e-09,2.280962529965791e-09,2.2808352428960177e-10,5.408210546065106e-10,8.028973041973586e-09,5.478880638065675e-08,2.5928571290023683e-08,6.151062326154033e-09
medium_roughness_0095,medium_roughness,117.35600280761719,46.9010009765625,62.669307708740234,773.099609375,2.0962103164379187e-08,4.6972257194966005e-08,2.9062560358283918e-08,6.711120104085921e-09,7.511515320857143e-08,6.242915873144739e-08,6.146638198423204e-10,6.447508638096622e-10,6.297759203022224e-09,5.590381935149935e-09,1.8785819566602413e-09,1.218919520873385e-09,1.8986000327458896e-08,1.1905039087878322e-07,7.108491928420335e-08,1.430203067087632e-08
high_roughness_0194,high_roughness,117.35600280761719,46.9010009765625,282.0254821777344,0.0008022869005799294,23.27349090576172,5.149779624957773e-08,0.004685254767537117,9.518053411738947e-05,1.0030968411456342e-07,1383.214599609375,1.7386042605593843e-09,1.8700949677707968e-09,8.95068197337423e-09,32.99956512451172,1.0881152645580983e-09,7.850506356099629e-10,3.2088490087289756e-08,1.064239881998219e-06,9.106928899882405e-08,1383.9239501953125
medium_roughness_0061,medium_roughness,117.35600280761719,46.9010009765625,146.30502319335938,2.781081548164366e-06,233.46145629882812,2.718753933095286e-07,291.93011474609375,231.2052764892578,3.017587246745279e-08,96.6233901977539,0.0038748967926949263,0.039694566279649734,0.009441324509680271,100.52916717529297,7.313381189533175e-08,77.358154296875,0.015927903354167938,43.49378967285156,2.0754034935066556e-08,103.11800384521484
high_roughness_0209,high_roughness,117.35600280761719,46.9010009765625,935.1964721679688,80.20356750488281,437.8366394042969,0.0005796944024041295,5.763789886259474e-06,185.01353454589844,1.5249600693323373e-08,0.13766711950302124,4.3023132278996457e-10,2.6474203385085104e-10,1.6363015387099722e-09,36.831851959228516,1.5701251410149553e-10,0.000294390571070835,5.555347293295654e-09,0.0002429884043522179,1.3947108357115212e-08,306.2413635253906
high_roughness_0178,high_roughness,117.35600280761719,46.9010009765625,230.21412658691406,319.03466796875,0.0001227615721290931,16.334489822387695,2.2975738048553467,370.5718994140625,76.29771423339844,3.745476107042123e-08,6.924124051899128e-10,7.443662908279691e-10,0.0005798836937174201,3.700771911141487e-09,3.7697682273574173e-05,1.1683328748901545e-09,0.001339921960607171,9.482287310902393e-08,313.0756530761719,8.588533439990442e-09
medium_roughness_0173,medium_roughness,117.35600280761719,46.9010009765625,362.2646789550781,753.7189331054688,221.0900115966797,375.3819885253906,0.00020342807692941278,4.726762314888333e-10,3.0422069130509044e-07,2.2630189278061152e-08,4.243043139062763e-10,5.188640073150452e-10,8.975817422651744e-08,2.534865872760861e-09,2.745075944332598e-09,7.771426835390116e-10,4.564633400150342e-07,5.198303654196934e-08,1.5542176470262348e-06,5.535251368371519e-09
low_roughness_0127,low_roughness,117.35600280761719,46.9010009765625,208.01255798339844,467.03204345703125,4.3792816484256036e-08,488.59100341796875,555.1035766601562,431.026123046875,1340.2962646484375,1.3361587036797573e-07,3.163742157141769e-09,3.304007956117516e-09,176.9773406982422,1.3468433479602027e-08,6.892416877235519e-07,3.4970439877213266e-09,461.6793212890625,2.3969022322489764e-07,1340.673583984375,3.5301585654679e-08
low_roughness_0249,low_roughness,117.35600280761719,46.9010009765625,496.3558349609375,432.1785583496094,3.912137813699701e-08,1.2159757645235914e-08,353.08587646484375,181.46339416503906,8.868911294257487e-08,0.0022334568202495575,6.447730682701547e-10,6.304474720053577e-10,6.0452438610525405e-09,2.297998591416217e-08,3.8237404909047257e-10,2.366141504950292e-09,1.9643644932898496e-08,1.2165017437837378e-07,7.555268410897042e-08,0.0014341751812025905
medium_roughness_0053,medium_roughness,117.35600280761719,46.9010009765625,539.4568481445312,551.7554321289062,1.406090035516172e-07,529.8434448242188,382.3515930175781,942.0433349609375,187.4785919189453,5.5802747311872736e-08,1.3496816997360384e-09,1.3936092280175671e-09,0.0008550057536922395,5.886796827780927e-09,5.21357956806412e-10,1.6107455369507306e-09,0.005305415019392967,1.1694609725054761e-07,416.3597412109375,1.4336607456755246e-08
high_roughness_0251,high_roughness,117.35600280761719,46.9010009765625,31.09064292907715,495.8409423828125,406.3644714355469,388.6915283203125,3.8174610139662946e-09,2.4067595139065645e-10,7.566199400343976e-08,2.9836375148306615e-08,7.122259448877344e-10,1.8145954738812975e-09,54.45869064331055,3.4415863492398557e-09,2.0768202713128403e-09,1.0225328361812558e-09,335.5323181152344,5.963875793213447e-08,7.48351247636947e-09,8.34347790856782e-09
medium_roughness_0339,medium_roughness,117.35600280761719,46.9010009765625,945.3932495117188,67.31134796142578,425.8612060546875,74.58954620361328,15.518012046813965,0.14319808781147003,0.03889540582895279,0.0005218820879235864,4.428004984902145e-08,3.0180586691130884e-05,74.96853637695312,2.423408140828087e-09,0.00021821488917339593,1.2217872269459917e-09,189.57757568359375,0.0006230339058674872,341.7023010253906,8.163207887434965e-09
high_roughness_0260,high_roughness,117.35600280761719,46.9010009765625,851.3572387695312,704.936279296875,3.755562616447605e-08,739.8551025390625,1.5598525138216246e-08,2.662248421714253e-09,1.238683893234338e-07,1.1441171210435641e-07,1.0490202040358554e-09,1.0679854778317122e-09,7.322925377195588e-09,7.43034656025543e-09,7.111237709800378e-10,1.5706861367092984e-09,2.562224210578279e-08,2.2319306935969507e-07,1.0422223795103491e-07,2.2584782044532403e-08
high_roughness_0036,high_roughness,117.35600280761719,46.9010009765625,398.0039367675781,427.3045349121094,1.2157141782154213e-07,401.29962158203125,300.0176696777344,795.0289916992188,307.0478820800781,4.0923460176145454e-08,6.792090778695581e-10,6.01151628476515e-10,84.92961120605469,3.82248099839444e-09,0.00038388706161640584,1.036458585623734e-09,177.78225708007812,9.077135842971984e-08,381.09844970703125,9.83719061764532e-09
low_roughness_0124,low_roughness,117.35600280761719,46.9010009765625,323.5646057128906,292.9642639160156,2.3975653107299877e-07,536.7538452148438,119.57492065429688,409.2200012207031,285.329833984375,5.45784288874529e-08,1.387178261147426e-09,1.4617412835704613e-09,122.76887512207031,5.454457774334287e-09,0.0006778122042305768,1.5717049883789969e-09,190.25083923339844,1.2256523973519506e-07,347.5985412597656,1.3641055396362844e-08
