profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23
low_roughness_0367,low_roughness,85.0,85.0,100.0,100.0,1.1079631804022938e-05,1391.2603759765625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1416.225341796875,1394.0592041015625,717.7318725585938,1.3521642358682584e-05,1.146268732554745e-05,2.6420528229209594e-05
medium_roughness_0070,medium_roughness,85.0,85.0,100.0,100.0,138.8549041748047,372.6543273925781,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,925.3558959960938,1352.94580078125,0.00014355129678733647,5.7692806876730174e-05,1.298565507568128e-06,4.7999412345234305e-05
low_roughness_0116,low_roughness,85.0,85.0,100.0,100.0,1136.62451171875,2.2019801690476015e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,2.757435868261382e-05,1.9413202608120628e-05,184.97265625,1187.1573486328125,1096.7481689453125,775.3347778320312
high_roughness_0145,high_roughness,85.0,85.0,100.0,100.0,1191.1611328125,1133.393310546875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1240.188232421875,1416.679443359375,960.4795532226562,165.79049682617188,2.2193578388396418e-06,2.473500535415951e-05
low_roughness_0148,low_roughness,85.0,85.0,100.0,100.0,0.0005069172475486994,0.0007214888464659452,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,61.82044982910156,0.0009529024828225374,28.366186141967773,0.0005127664189785719,0.0004144966078456491,0.010842874646186829
medium_roughness_0300,medium_roughness,85.0,85.0,100.0,100.0,1.4221501260180958e-05,1230.4849853515625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1267.41357421875,286.5869140625,1349.978759765625,1.8251730580232106e-05,1.719498322927393e-05,1233.0355224609375
high_roughness_0175,high_roughness,85.0,85.0,100.0,100.0,207.2061309814453,343.9394226074219,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,360.59320068359375,1117.2896728515625,1601.241455078125,0.0936676636338234,0.000327980873407796,1589.3411865234375
low_roughness_0328,low_roughness,85.0,85.0,100.0,100.0,1.353117659164127e-05,944.5352172851562,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1114.9464111328125,227.1033935546875,1535.86181640625,1.7275357095059007e-05,1.0729485438787378e-05,924.3602294921875
medium_roughness_0231,medium_roughness,85.0,85.0,100.0,100.0,382.9407653808594,4.404011633596383e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,5.491693173098611e-06,1612.9488525390625,752.2509155273438,0.002378420438617468,3.270800561949727e-06,2.438691240058688e-07
low_roughness_0094,low_roughness,85.0,85.0,100.0,100.0,563.787841796875,1.2206012797832955e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.533925205876585e-05,1.1223863111808896e-05,1419.3590087890625,1078.822021484375,1.3396472240856383e-05,1407.2581787109375
