profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_1393,medium_roughness,0.513747,56.460119,3.748200,787.292187,757.782903,393.316534,364.466369,0.000000,50.055890,104.342323
medium_roughness_1029,medium_roughness,0.499162,35.170760,25.303938,536.412875,400.679294,207.297797,193.381498,0.000000,27.344599,62.417492
low_roughness_0998,low_roughness,0.401016,36.625686,-9.667863,345.778592,379.207990,183.539344,195.668646,0.000000,25.901867,109.979151
high_roughness_1488,high_roughness,0.620369,40.887586,48.781126,864.353958,442.712365,213.000465,229.711900,0.000000,30.811116,96.304264
low_roughness_0660,low_roughness,0.373720,12.830720,67.990042,383.981465,122.912306,56.250061,66.662245,0.000000,8.803365,34.209207
medium_roughness_1933,medium_roughness,0.535631,15.590629,63.989406,443.386051,159.665951,76.985045,82.680907,0.000000,10.643648,72.579557
low_roughness_1116,low_roughness,0.408067,54.693144,24.966423,886.577893,665.231104,343.508445,321.722659,0.000000,43.878183,81.877316
high_roughness_0787,high_roughness,0.572932,68.744325,6.505851,903.813518,845.012754,459.198182,385.814572,0.000000,56.582605,115.921584
high_roughness_0194,high_roughness,0.546923,18.860036,47.586476,404.562414,212.045420,100.786938,111.258482,0.000000,14.212068,64.433132
low_roughness_1092,low_roughness,0.406750,64.566931,17.929234,1002.341133,822.629043,451.388813,371.240230,0.000000,55.478830,95.692234
high_roughness_1324,high_roughness,0.604633,33.966796,60.365850,790.963174,313.491528,179.686251,133.805277,0.000000,22.418006,104.146893
low_roughness_0263,low_roughness,0.312700,64.344289,32.707979,1082.179973,728.220775,384.269742,343.951033,0.000000,49.334997,94.429164
low_roughness_1896,low_roughness,0.448630,39.798926,27.248787,614.399266,446.982921,246.627217,200.355704,0.000000,30.619486,86.029770
high_roughness_1101,high_roughness,0.589434,48.135677,50.033453,950.591530,474.977762,263.453506,211.524256,0.000000,32.184936,114.147095
high_roughness_1350,high_roughness,0.606610,38.686098,41.169707,679.192095,399.570700,190.651620,208.919080,0.000000,26.610260,104.855883
medium_roughness_1127,medium_roughness,0.503386,48.497048,5.578115,627.092961,592.112995,304.354055,287.758940,0.000000,39.195723,79.428944
high_roughness_0768,high_roughness,0.572368,46.589086,-5.630625,546.885705,577.678790,297.026086,280.652704,0.000000,39.670965,114.957609
medium_roughness_1526,medium_roughness,0.519067,14.519239,76.927251,597.625624,137.888662,66.892815,70.995847,0.000000,9.296422,94.891012
medium_roughness_0475,medium_roughness,0.473975,29.388513,41.883387,547.475524,318.174230,168.811244,149.362986,0.000000,22.124330,94.150345
low_roughness_1219,low_roughness,0.414493,15.814757,41.084024,317.278523,186.927738,97.096469,89.831269,0.000000,12.838316,47.316301
low_roughness_0422,low_roughness,0.342982,34.337190,-9.094219,373.774799,407.766698,218.617615,189.149083,0.000000,27.987702,64.984589
low_roughness_0901,low_roughness,0.394660,40.335567,68.189073,1159.855404,368.960760,175.029782,193.930978,0.000000,24.964547,119.612470
high_roughness_1235,high_roughness,0.597216,41.478159,36.038623,668.956489,427.873781,203.052892,224.820889,0.000000,28.149734,98.646833
medium_roughness_1291,medium_roughness,0.510110,21.301294,29.858518,311.538874,218.517982,129.554703,88.963279,0.000000,15.409893,46.034835
low_roughness_0706,low_roughness,0.377977,22.906591,64.322444,611.655204,218.223631,111.641083,106.582547,0.000000,15.475633,117.032916
high_roughness_1103,high_roughness,0.589563,33.818514,19.158919,349.286457,282.366949,155.191143,127.175806,0.000000,20.153435,99.756459
low_roughness_0762,low_roughness,0.383250,12.864094,76.675534,509.186652,118.765067,51.967597,66.797470,0.000000,8.068725,75.663796
low_roughness_1882,low_roughness,0.447720,62.192267,9.873656,921.913686,830.887097,448.534534,382.352563,0.000000,55.093744,92.224182
high_roughness_0231,high_roughness,0.548106,62.615418,13.853247,859.573357,740.494537,374.974557,365.519979,0.000000,50.188977,104.167529
low_roughness_0027,low_roughness,0.158328,65.495691,11.040745,877.321101,780.458317,431.304141,349.154176,0.000000,53.885851,105.666519
high_roughness_0796,high_roughness,0.573507,44.357864,21.387170,589.356618,463.309918,256.076418,207.233500,0.000000,30.520653,100.328712
low_roughness_0546,low_roughness,0.360670,67.875438,5.934214,927.018794,872.007513,466.525356,405.482158,0.000000,58.226666,109.337022
high_roughness_0814,high_roughness,0.574613,21.766880,48.270243,435.610193,225.340095,118.399576,106.940519,0.000000,15.427884,49.160168
medium_roughness_0311,medium_roughness,0.467045,35.563471,47.311071,660.049178,347.772845,191.077090,156.695755,0.000000,24.065600,80.932372
