profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_1393,medium_roughness,0.513747,49.439449,21.307068,805.185191,633.623831,309.605669,324.018162,0.000000,41.000191,103.787193
medium_roughness_1029,medium_roughness,0.499162,27.765750,39.708647,548.604077,330.760822,155.800436,174.960386,0.000000,22.158230,59.522470
low_roughness_0998,low_roughness,0.401016,27.977725,22.968232,353.637196,272.412986,118.466561,153.946425,0.000000,18.346798,101.362307
high_roughness_1488,high_roughness,0.620369,32.222382,57.502442,883.998366,375.677719,163.437226,212.240492,0.000000,25.247423,91.920150
low_roughness_0660,low_roughness,0.373720,10.689139,75.421159,392.708316,96.523154,36.607503,59.915651,0.000000,7.107820,36.031926
medium_roughness_1933,medium_roughness,0.535631,15.757024,63.339601,453.463007,166.241349,82.886390,83.354959,0.000000,10.981815,63.683367
low_roughness_1116,low_roughness,0.408067,48.570518,36.088836,906.727390,579.500031,288.952065,290.547966,0.000000,37.239722,89.164339
high_roughness_0787,high_roughness,0.572932,60.197905,17.284379,924.354735,764.585760,401.852074,362.733686,0.000000,49.847308,110.226965
high_roughness_0194,high_roughness,0.546923,16.159134,55.650686,413.757014,183.498399,88.042482,95.455917,0.000000,12.183476,69.748312
low_roughness_1092,low_roughness,0.406750,55.587377,28.823389,1025.121613,729.646821,382.058358,347.588464,0.000000,47.824912,88.161996
high_roughness_1324,high_roughness,0.604633,26.061211,68.321294,808.939610,256.261604,148.919824,107.341780,0.000000,17.753341,107.283070
low_roughness_0263,low_roughness,0.312700,56.561795,40.902016,1106.774972,654.081695,326.084251,327.997443,0.000000,43.061810,102.843855
low_roughness_1896,low_roughness,0.448630,30.707099,41.959906,628.362886,364.702412,192.490000,172.212412,0.000000,24.255208,66.930792
high_roughness_1101,high_roughness,0.589434,44.183575,55.848395,972.195882,429.240088,225.449162,203.790925,0.000000,28.128518,114.821763
high_roughness_1350,high_roughness,0.606610,38.897372,39.186522,694.628279,422.427619,190.277027,232.150592,0.000000,28.088102,115.855278
medium_roughness_1127,medium_roughness,0.503386,41.832980,24.840106,641.345074,482.034277,230.561162,251.473115,0.000000,31.449005,77.419306
high_roughness_0768,high_roughness,0.572368,38.715073,17.202296,559.314926,463.099916,203.858720,259.241196,0.000000,31.258219,152.422604
medium_roughness_1526,medium_roughness,0.519067,14.952813,76.778312,611.208024,141.932818,72.850613,69.082205,0.000000,9.605296,100.701208
medium_roughness_0475,medium_roughness,0.473975,21.086426,57.756072,559.918149,236.531421,114.788895,121.742526,0.000000,15.925702,65.048939
low_roughness_1219,low_roughness,0.414493,13.408703,54.929982,324.489398,146.247429,74.926849,71.320580,0.000000,9.882200,45.493582
low_roughness_0422,low_roughness,0.342982,25.494515,19.977484,382.269681,305.901815,147.666702,158.235113,0.000000,20.660924,65.883820
low_roughness_0901,low_roughness,0.394660,39.021519,67.930889,1186.215754,380.408849,178.734101,201.674749,0.000000,25.479621,117.789750
high_roughness_1235,high_roughness,0.597216,39.283147,39.918263,684.160046,411.055240,189.010587,222.044653,0.000000,27.000356,106.741134
medium_roughness_1291,medium_roughness,0.510110,15.860529,48.834357,318.619303,163.023614,87.599960,75.423654,0.000000,11.525960,48.423114
low_roughness_0706,low_roughness,0.377977,21.363486,70.004872,625.556459,187.636463,93.212307,94.424156,0.000000,13.082910,115.210197
high_roughness_1103,high_roughness,0.589563,22.736543,39.816446,357.224786,214.990572,110.595640,104.394931,0.000000,14.937957,95.476197
low_roughness_0762,low_roughness,0.383250,13.380047,75.914394,520.759076,125.427981,57.205021,68.222960,0.000000,8.456653,86.474434
low_roughness_1882,low_roughness,0.447720,54.415629,24.990504,942.866270,707.239238,373.547604,333.691634,0.000000,45.813378,100.892606
high_roughness_0231,high_roughness,0.548106,53.779730,26.086944,879.109115,649.776410,316.924487,332.851923,0.000000,42.879678,102.344809
low_roughness_0027,low_roughness,0.158328,53.783623,30.254412,897.260217,625.799415,327.497120,298.302295,0.000000,41.814814,103.907255
high_roughness_0796,high_roughness,0.573507,41.220585,27.543703,602.751087,436.731115,231.901941,204.829173,0.000000,28.006026,97.768944
low_roughness_0546,low_roughness,0.360670,56.363651,21.694436,948.087403,742.405192,377.391775,365.013418,0.000000,48.187263,93.486046
high_roughness_0814,high_roughness,0.574613,19.054394,55.324185,445.510424,199.035415,90.028619,109.006796,0.000000,13.315829,51.618160
medium_roughness_0311,medium_roughness,0.467045,31.987480,52.529621,675.050295,320.448933,166.776642,153.672291,0.000000,21.502091,86.126587
low_roughness_1525,low_roughness,0.431194,54.847824,32.699083,933.601926,628.322657,311.792218,316.530438,0.000000,41.149669,106.848084
low_roughness_0047,low_roughness,0.179088,28.403467,31.108663,426.643965,293.920731,158.085545,135.835185,0.000000,20.563472,72.078396
medium_roughness_0631,medium_roughness,0.481272,14.442141,53.255950,293.222263,137.063962,36.355749,100.708213,0.000000,9.407420,63.397048
