profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_1393,medium_roughness,0.513747,52.790320,13.063122,805.185191,700.002864,368.399446,331.603418,0.000000,45.706078,100.502735
medium_roughness_1029,medium_roughness,0.499162,31.863572,33.492383,548.604077,364.863497,190.065429,174.798068,0.000000,24.518248,93.001259
low_roughness_0998,low_roughness,0.401016,34.233763,-1.262281,353.637196,358.101090,175.062743,183.038347,0.000000,23.934020,123.520848
high_roughness_1488,high_roughness,0.620369,36.816601,52.159760,883.998366,422.906936,202.471207,220.435729,0.000000,28.744151,120.272753
low_roughness_0660,low_roughness,0.373720,14.980610,66.570185,392.708316,131.281665,59.378521,71.903144,0.000000,9.574786,71.264989
medium_roughness_1933,medium_roughness,0.535631,17.731101,60.208607,453.463007,180.439246,91.504850,88.934396,0.000000,12.303571,72.239889
low_roughness_1116,low_roughness,0.408067,47.587222,36.542651,906.727390,575.385164,301.454396,273.930768,0.000000,37.670445,93.214778
high_roughness_0787,high_roughness,0.572932,62.846225,9.492350,924.354735,836.611753,448.320977,388.290775,0.000000,54.831397,120.920352
high_roughness_0194,high_roughness,0.546923,16.956775,56.038407,413.757014,181.894174,92.463730,89.430444,0.000000,12.218526,66.812676
low_roughness_1092,low_roughness,0.406750,54.330019,33.185289,1025.121613,684.932042,365.494616,319.437426,0.000000,45.389343,99.140827
high_roughness_1324,high_roughness,0.604633,30.982246,65.472416,808.939610,279.307302,138.667957,140.639346,0.000000,19.900504,124.519846
low_roughness_0263,low_roughness,0.312700,60.673538,35.825725,1106.774972,710.264820,387.658447,322.606373,0.000000,46.912223,117.129827
low_roughness_1896,low_roughness,0.448630,33.373359,34.645290,628.362886,410.664740,224.453656,186.211084,0.000000,27.537407,78.305378
high_roughness_1101,high_roughness,0.589434,48.671077,46.536106,972.195882,519.773778,281.055050,238.718728,0.000000,34.650054,117.962282
high_roughness_1350,high_roughness,0.606610,38.555834,40.717373,694.628279,411.793891,202.988916,208.804974,0.000000,26.659191,115.125473
medium_roughness_1127,medium_roughness,0.503386,43.247002,19.210302,641.345074,518.140751,265.853888,252.286863,0.000000,33.786704,92.042701
high_roughness_0768,high_roughness,0.572368,42.218897,8.474332,559.314926,511.916722,243.373411,268.543311,0.000000,34.883578,146.395543
medium_roughness_1526,medium_roughness,0.519067,14.802881,75.113695,611.208024,152.107092,71.875939,80.231153,0.000000,10.417002,57.523296
medium_roughness_0475,medium_roughness,0.473975,25.645213,46.847796,559.918149,297.608839,152.349965,145.258874,0.000000,20.755475,63.702939
low_roughness_1219,low_roughness,0.414493,15.622565,43.545119,324.489398,183.190104,99.269537,83.920567,0.000000,12.380700,41.894728
low_roughness_0422,low_roughness,0.342982,30.630372,7.520458,382.269681,353.521252,187.106038,166.415214,0.000000,24.036232,101.116883
low_roughness_0901,low_roughness,0.394660,38.152219,69.825174,1186.215754,357.938535,179.823159,178.115376,0.000000,23.592918,101.349376
high_roughness_1235,high_roughness,0.597216,41.220693,36.742583,684.160046,432.781971,218.938779,213.843192,0.000000,28.190893,104.613484
medium_roughness_1291,medium_roughness,0.510110,20.974404,31.079794,318.619303,219.593079,121.132529,98.460550,0.000000,15.308837,83.090617
low_roughness_0706,low_roughness,0.377977,20.164059,68.974047,625.556459,194.084855,115.373869,78.710987,0.000000,13.225147,79.977134
high_roughness_1103,high_roughness,0.589563,24.101349,29.925711,357.224786,250.322731,133.396976,116.925754,0.000000,17.264945,74.913879
low_roughness_0762,low_roughness,0.383250,13.050163,77.758736,520.759076,115.823402,54.191502,61.631900,0.000000,8.184714,83.450124
low_roughness_1882,low_roughness,0.447720,57.658348,16.298287,942.866270,789.195217,431.240719,357.954499,0.000000,51.038805,101.193377
high_roughness_0231,high_roughness,0.548106,52.183520,29.405288,879.109115,620.604546,308.616463,311.988083,0.000000,40.835157,98.635625
low_roughness_0027,low_roughness,0.158328,58.942152,21.674141,897.260217,702.786770,388.225550,314.561219,0.000000,47.183956,139.140318
high_roughness_0796,high_roughness,0.573507,42.445337,21.477894,602.751087,473.292849,247.009331,226.283518,0.000000,31.262129,104.348536
low_roughness_0546,low_roughness,0.360670,58.432380,17.865123,948.087403,778.710427,409.938519,368.771908,0.000000,51.058986,100.220237
high_roughness_0814,high_roughness,0.574613,21.317066,48.141176,445.510424,231.036468,115.545537,115.490931,0.000000,15.584503,54.633739
medium_roughness_0311,medium_roughness,0.467045,33.190462,48.525232,675.050295,347.480573,188.058202,159.422371,0.000000,23.180072,89.130119
low_roughness_1525,low_roughness,0.431194,55.438159,31.674859,933.601926,637.884831,336.116794,301.768037,0.000000,42.327806,123.074895
low_roughness_0047,low_roughness,0.179088,32.916245,16.104472,426.643965,357.935207,196.828573,161.106634,0.000000,25.161536,104.744740
medium_roughness_0631,medium_roughness,0.481272,18.926859,31.842700,293.222263,199.852377,72.943916,126.908461,0.000000,13.812620,66.952456
medium_roughness_1529,medium_roughness,0.519112,45.579380,45.778110,941.554518,510.528651,279.557923,230.970728,0.000000,34.242043,189.542888
medium_roughness_0841,medium_roughness,0.491006,30.695176,51.585898,618.491944,299.437323,148.435710,151.001613,0.000000,20.711830,108.583972
low_roughness_1289,low_roughness,0.418379,34.532363,35.234312,590.479224,382.427935,191.615893,190.812042,0.000000,25.278302,85.151202
low_roughness_0831,low_roughness,0.388934,53.023569,36.624278,946.798116,600.040141,321.574620,278.465521,0.000000,39.171782,111.680996
medium_roughness_0774,medium_roughness,0.488211,58.031107,7.683477,833.188493,769.170644,459.903827,309.266817,0.000000,50.371742,133.393303
low_roughness_0559,low_roughness,0.362514,24.510872,59.297773,575.132971,234.091926,118.247504,115.844422,0.000000,15.663331,70.472249
medium_roughness_0447,medium_roughness,0.472933,36.597622,31.649121,635.360190,434.274272,240.458307,193.815964,0.000000,28.250368,86.258007
low_roughness_1926,low_roughness,0.450241,23.290706,63.608534,617.485486,224.712024,130.184732,94.527291,0.000000,15.123527,67.647582
high_roughness_0658,high_roughness,0.567077,38.186470,62.629526,969.411472,362.273661,184.956942,177.316718,0.000000,25.025479,193.647085
medium_roughness_1346,medium_roughness,0.512112,23.438508,66.831641,691.668520,229.415100,118.052162,111.362938,0.000000,15.210246,71.570928
high_roughness_0233,high_roughness,0.548151,19.430330,57.378537,491.081005,209.305909,104.992339,104.313569,0.000000,14.784918,64.773290
medium_roughness_1287,medium_roughness,0.509908,53.459703,13.660693,819.731644,707.750619,367.255057,340.495562,0.000000,45.964093,99.133317
medium_roughness_0466,medium_roughness,0.473642,40.492183,46.933141,801.249700,425.198046,197.249637,227.948409,0.000000,27.787659,119.540315
low_roughness_1175,low_roughness,0.411687,29.195068,69.499317,931.598922,284.144035,137.211425,146.932610,0.000000,19.109231,86.784871
medium_roughness_1024,medium_roughness,0.499001,46.807560,26.998403,774.002891,565.034475,299.594410,265.440064,0.000000,37.199119,99.358187
medium_roughness_1130,medium_roughness,0.503565,25.077619,2.458506,304.513062,297.026589,153.399659,143.626930,0.000000,19.871154,60.557814
low_roughness_0449,low_roughness,0.346314,21.772180,23.806904,320.204650,243.973838,137.387759,106.586079,0.000000,17.178593,73.540627
low_roughness_1432,low_roughness,0.425968,57.639617,12.053804,874.464082,769.057897,422.414676,346.643221,0.000000,50.986711,118.237507
high_roughness_0220,high_roughness,0.547690,25.197420,67.239806,707.335410,231.724449,118.297825,113.426624,0.000000,16.342933,121.347009
medium_roughness_1263,medium_roughness,0.508834,43.897699,19.063023,647.532128,524.092929,258.446564,265.646365,0.000000,35.039956,166.765546
medium_roughness_0074,medium_roughness,0.456538,34.543481,39.772410,642.910315,387.209385,200.132731,187.076655,0.000000,25.260891,79.906072
low_roughness_0037,low_roughness,0.171137,22.459010,23.944104,345.719805,262.940294,139.383900,123.556394,0.000000,18.251437,73.926343
medium_roughness_0613,medium_roughness,0.480287,33.399576,36.595615,642.826877,407.580427,211.846175,195.734252,0.000000,27.241977,70.118144
low_roughness_0476,low_roughness,0.349186,44.835019,45.991485,899.101568,485.591403,240.199779,245.391624,0.000000,31.364400,95.438012
high_roughness_1534,high_roughness,0.627322,23.294166,25.339193,297.549657,222.152975,114.624759,107.528216,0.000000,15.669197,106.250589
high_roughness_0963,high_roughness,0.582130,33.640439,46.855499,645.308269,342.945860,161.258341,181.687519,0.000000,23.450766,100.532872
low_roughness_1704,low_roughness,0.440192,44.461836,21.998868,617.280470,481.485754,256.954787,224.530966,0.000000,31.554316,106.551082
low_roughness_1411,low_roughness,0.425053,27.558213,66.036086,784.468826,266.436319,137.182967,129.253352,0.000000,17.733143,78.930595
high_roughness_0886,high_roughness,0.578185,19.043702,42.060477,369.207782,213.917229,110.158753,103.758477,0.000000,14.245732,47.119509
low_roughness_1102,low_roughness,0.407603,61.794327,27.776452,998.431264,721.102479,397.353634,323.748845,0.000000,48.036368,135.672704
low_roughness_1273,low_roughness,0.417467,33.631973,44.653029,671.240838,371.511471,195.796355,175.715116,0.000000,24.643245,103.726303
medium_roughness_0394,medium_roughness,0.470891,37.707082,23.865957,444.082865,338.098239,183.518851,154.579388,0.000000,22.875093,131.315187
medium_roughness_0689,medium_roughness,0.483900,51.268609,53.316008,1170.026174,546.214927,277.578000,268.636927,0.000000,35.867902,130.859617
low_roughness_1745,low_roughness,0.441895,25.224209,51.303994,346.859613,168.906779,108.434391,60.472388,0.000000,13.111053,143.445797
high_roughness_1463,high_roughness,0.617629,45.431982,9.863094,615.589843,554.873638,279.283851,275.589788,0.000000,36.072772,117.437348
high_roughness_0826,high_roughness,0.575206,37.030774,34.818326,652.611400,425.383034,218.103877,207.279157,0.000000,27.720084,87.236953
medium_roughness_1357,medium_roughness,0.512368,47.750283,26.924973,784.720693,573.434856,294.040563,279.394293,0.000000,37.253450,101.361137
high_roughness_1755,high_roughness,0.663128,55.772765,9.750996,776.622068,700.893681,370.865606,330.028075,0.000000,45.582351,120.169519
medium_roughness_0725,medium_roughness,0.485903,59.361084,7.174675,711.385361,660.345777,328.563117,331.782660,0.000000,42.835358,153.021209
low_roughness_1239,low_roughness,0.415475,57.961130,41.833285,1156.537733,672.720002,348.650903,324.069098,0.000000,43.908957,126.950255
medium_roughness_1812,medium_roughness,0.531116,38.233111,29.549923,541.832035,381.721085,181.042953,200.678131,0.000000,25.011278,141.641247
low_roughness_1866,low_roughness,0.447093,10.685013,80.466746,616.738165,120.469029,60.319647,60.149382,0.000000,8.416058,36.080434
low_roughness_1818,low_roughness,0.444981,48.681366,51.869026,1089.555104,524.413484,250.175911,274.237573,0.000000,33.924884,141.910636
high_roughness_0626,high_roughness,0.565671,45.842349,15.014996,713.784483,606.609772,346.645817,259.963955,0.000000,39.302428,96.388815
low_roughness_0091,low_roughness,0.229511,47.268379,62.012446,1244.805996,472.871353,227.103282,245.768071,0.000000,30.612312,105.933189
low_roughness_1355,low_roughness,0.421843,23.026170,69.186837,817.265610,251.825387,111.138506,140.686881,0.000000,17.181960,83.305965
high_roughness_0439,high_roughness,0.556966,49.291012,52.408311,1152.335901,548.416124,265.157010,283.259113,0.000000,36.053681,156.429861
low_roughness_0326,low_roughness,0.329100,60.150818,29.236840,979.261918,692.956675,373.735072,319.221603,0.000000,45.617469,108.580586
medium_roughness_1169,medium_roughness,0.505059,50.209033,17.818583,737.069572,605.734218,280.299477,325.434740,0.000000,40.709991,142.474951
high_roughness_1760,high_roughness,0.663458,23.691076,63.652258,680.544674,247.362620,116.367580,130.995041,0.000000,17.145411,100.987416
medium_roughness_1178,medium_roughness,0.505597,50.671386,12.335865,742.304084,650.734457,340.105880,310.628576,0.000000,42.877254,120.332959
high_roughness_0318,high_roughness,0.551670,37.176133,7.694282,483.526051,446.322195,234.443872,211.878324,0.000000,29.771622,88.642241
low_roughness_1595,low_roughness,0.434704,25.629301,57.939535,650.514303,273.609342,145.423217,128.186125,0.000000,18.759704,89.132668
high_roughness_1632,high_roughness,0.639753,39.261030,41.651080,746.108013,435.345968,237.241007,198.104961,0.000000,29.311634,99.571774
high_roughness_0707,high_roughness,0.569414,20.399114,67.932056,490.061253,157.152566,67.733745,89.418821,0.000000,11.459796,81.732553
high_roughness_0073,high_roughness,0.542093,22.464365,47.704901,373.087324,195.106387,104.045160,91.061226,0.000000,14.261608,86.008665
medium_roughness_0632,medium_roughness,0.481392,37.391403,28.796689,573.537561,408.377731,215.051577,193.326154,0.000000,27.937916,136.140987
medium_roughness_0853,medium_roughness,0.491638,24.110106,26.465983,346.482739,254.782677,115.653132,139.129545,0.000000,16.854346,69.235472
high_roughness_1189,high_roughness,0.594983,35.973430,29.692348,602.410642,423.540776,197.295269,226.245507,0.000000,28.361579,99.917535
high_roughness_1152,high_roughness,0.592632,23.337294,56.868977,503.434789,217.136573,110.400752,106.735822,0.000000,15.708792,95.081883
high_roughness_0438,high_roughness,0.556919,21.662793,70.825183,891.864367,260.199798,126.250252,133.949546,0.000000,17.732434,73.139551
high_roughness_1176,high_roughness,0.594244,38.968881,29.329758,648.323656,458.171896,246.871733,211.300163,0.000000,30.008347,81.175331
medium_roughness_1331,medium_roughness,0.511602,43.376668,24.171903,706.314361,535.584738,268.955189,266.629550,0.000000,35.099456,85.952436
low_roughness_1933,low_roughness,0.450600,21.574776,53.529891,486.281974,225.975762,97.010208,128.965554,0.000000,15.088174,60.014374
medium_roughness_0996,medium_roughness,0.497877,24.731690,43.504438,497.006344,280.786525,142.268310,138.518215,0.000000,19.021640,61.809080
medium_roughness_0622,medium_roughness,0.480796,48.847500,49.899774,1069.557382,535.850664,286.902443,248.948221,0.000000,35.946364,126.793227
medium_roughness_1640,medium_roughness,0.524144,45.670193,21.578757,731.904427,573.968547,291.087839,282.880708,0.000000,38.487017,96.453914
medium_roughness_0901,medium_roughness,0.493445,18.184244,67.606311,484.044670,156.799924,48.039566,108.760357,0.000000,10.721897,97.207017
high_roughness_1318,high_roughness,0.604348,18.116644,53.614846,424.770798,197.030588,96.720571,100.310017,0.000000,13.520964,75.383093
medium_roughness_0079,medium_roughness,0.456821,57.737449,18.818136,737.717888,598.893134,342.744199,256.148934,0.000000,40.432370,140.812699
medium_roughness_1639,medium_roughness,0.524140,69.968779,7.521240,968.680873,895.824060,492.367661,403.456400,0.000000,59.319294,136.622785
high_roughness_1477,high_roughness,0.618846,24.583943,58.113664,543.929051,227.831948,97.013356,130.818591,0.000000,15.954000,98.098288
high_roughness_0919,high_roughness,0.579793,44.711182,39.628393,887.027615,535.512823,272.944025,262.568798,0.000000,34.696317,97.092390
high_roughness_1325,high_roughness,0.604692,33.216632,11.917700,440.841649,388.303462,193.861168,194.442294,0.000000,26.733288,118.852749
medium_roughness_1410,medium_roughness,0.514555,25.390948,38.335297,486.699607,300.121865,136.497394,163.624471,0.000000,20.182458,58.331437
low_roughness_0584,low_roughness,0.366108,12.518855,85.330450,862.235863,126.486124,45.625050,80.861074,0.000000,8.969566,42.777729
low_roughness_1071,low_roughness,0.405672,19.621638,80.972811,1097.669036,208.855563,80.645289,128.210274,0.000000,13.960414,63.627541
medium_roughness_0516,medium_roughness,0.476139,17.349209,66.562596,553.396393,185.041386,92.748527,92.292859,0.000000,12.678129,44.258125
low_roughness_0221,low_roughness,0.300753,19.163940,73.250387,707.748281,189.319923,87.876902,101.443021,0.000000,12.565764,54.781320
high_roughness_1507,high_roughness,0.622571,25.188271,-6.602570,240.520332,256.400855,146.559829,109.841026,0.000000,17.094125,114.101524
low_roughness_1077,low_roughness,0.405914,23.477475,70.457887,731.037866,215.964033,82.854337,133.109695,0.000000,14.736556,122.445570
low_roughness_0640,low_roughness,0.372526,11.204472,81.949671,596.164242,107.609606,37.661510,69.948096,0.000000,7.718101,71.363532
low_roughness_1073,low_roughness,0.405707,56.117286,11.909152,886.240506,780.696774,410.676248,370.020526,0.000000,51.333808,118.692589
medium_roughness_0159,medium_roughness,0.460509,47.802941,37.277588,788.344232,494.468518,245.115677,249.352841,0.000000,32.801711,110.381220
low_roughness_1742,low_roughness,0.441632,25.563025,15.458404,307.794283,260.214200,126.605526,133.608674,0.000000,18.225959,115.845336
high_roughness_0334,high_roughness,0.552380,32.177160,46.254477,668.129747,359.089827,196.497061,162.592766,0.000000,24.573291,80.406511
medium_roughness_1619,medium_roughness,0.523246,31.529783,40.653240,564.738280,335.153871,163.883614,171.270257,0.000000,22.616596,89.132046
medium_roughness_0012,medium_roughness,0.453726,60.821028,10.855496,876.543329,781.390202,424.712619,356.677583,0.000000,51.084721,129.443035
low_roughness_1249,low_roughness,0.416156,19.151702,30.181024,284.771992,198.824888,88.584670,110.240217,0.000000,13.424549,79.273333
high_roughness_0792,high_roughness,0.573319,28.870827,44.487694,614.093763,340.897610,173.684223,167.213387,0.000000,22.356037,67.499432
high_roughness_0840,high_roughness,0.576002,19.150694,52.099244,425.788229,203.955782,90.436609,113.519172,0.000000,13.761899,76.716628
high_roughness_1738,high_roughness,0.659469,27.227334,-0.888220,331.684260,334.630345,175.283244,159.347101,0.000000,22.281277,63.141687
medium_roughness_1538,medium_roughness,0.519855,28.904343,67.088652,763.331651,251.222737,101.514497,149.708240,0.000000,17.253415,111.158645
low_roughness_0580,low_roughness,0.365532,66.756985,9.582717,975.182328,881.733365,474.638206,407.095159,0.000000,58.153359,129.990056
medium_roughness_0044,medium_roughness,0.455262,55.729134,17.861946,878.846190,721.867156,383.116246,338.750910,0.000000,48.029413,104.313602
high_roughness_1884,high_roughness,0.692074,53.034144,18.315909,771.733547,630.383530,339.831448,290.552082,0.000000,41.582613,144.832742
medium_roughness_0346,medium_roughness,0.468375,60.120676,45.811009,1250.436803,677.599086,352.644072,324.955015,0.000000,44.005730,120.132604
medium_roughness_1850,medium_roughness,0.532349,47.572427,41.391495,774.317407,453.815853,218.191582,235.624272,0.000000,29.998436,170.241288
medium_roughness_0080,medium_roughness,0.456825,45.094365,54.900800,1137.932090,513.198269,262.904300,250.293969,0.000000,34.050260,101.939325
low_roughness_0260,low_roughness,0.311858,56.806677,12.467993,841.879429,736.913961,393.883374,343.030587,0.000000,49.521268,123.114062
medium_roughness_0930,medium_roughness,0.494643,26.089494,62.452550,707.937932,265.812638,121.289955,144.522683,0.000000,18.157508,84.092043
low_roughness_0540,low_roughness,0.360160,33.294324,14.569860,461.266063,394.060244,214.813648,179.246595,0.000000,26.878351,129.705094
high_roughness_1773,high_roughness,0.666034,27.462026,36.967065,491.809560,310.001998,166.542672,143.459326,0.000000,20.870051,81.791641
medium_roughness_1134,medium_roughness,0.503670,54.975873,47.015380,1098.020191,581.781821,294.843253,286.938568,0.000000,38.226063,112.284615
medium_roughness_0753,medium_roughness,0.487223,32.650938,26.176634,495.602415,365.870383,177.411961,188.458422,0.000000,23.936031,87.242086
high_roughness_1412,high_roughness,0.613261,31.241299,16.538592,398.606051,332.682221,158.880013,173.802209,0.000000,22.828964,151.701182
low_roughness_1457,low_roughness,0.427121,35.635844,56.835537,923.242428,398.512638,208.314027,190.198611,0.000000,26.111315,89.555188
low_roughness_1875,low_roughness,0.447573,47.762818,19.056342,744.773470,602.846888,331.922711,270.924177,0.000000,39.605570,136.674485
