profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_1393,medium_roughness,0.513747,56.868323,3.882317,805.185191,773.925353,402.734394,371.190959,0.000000,50.199558,106.457489
medium_roughness_1029,medium_roughness,0.499162,35.963922,24.773112,548.604077,412.697772,219.579640,193.118132,0.000000,27.738839,67.317417
low_roughness_0998,low_roughness,0.401016,36.250449,-9.658666,353.637196,387.793833,191.675146,196.118687,0.000000,25.891434,106.683148
high_roughness_1488,high_roughness,0.620369,41.286263,48.968362,883.998366,451.118844,228.991361,222.127484,0.000000,30.960687,94.588911
low_roughness_0660,low_roughness,0.373720,13.251343,71.682333,392.708316,111.205834,55.513457,55.692377,0.000000,8.121469,45.581147
medium_roughness_1933,medium_roughness,0.535631,14.123159,69.939816,453.463007,136.311812,70.889926,65.421886,0.000000,8.848143,68.784544
low_roughness_1116,low_roughness,0.408067,52.327426,32.096589,906.727390,615.698828,325.689488,290.009339,0.000000,40.130453,81.138592
high_roughness_0787,high_roughness,0.572932,69.418107,5.835233,924.354735,870.416478,473.970953,396.445526,0.000000,56.913837,113.798314
high_roughness_0194,high_roughness,0.546923,18.509428,50.918426,413.757014,203.078454,100.565961,102.512493,0.000000,13.135151,60.943171
low_roughness_1092,low_roughness,0.406750,63.637213,22.895681,1025.121613,790.413038,438.830059,351.582980,0.000000,52.606461,95.221114
high_roughness_1324,high_roughness,0.604633,36.703918,58.825678,808.939610,333.075401,182.473218,150.602184,0.000000,23.521203,103.448994
low_roughness_0263,low_roughness,0.312700,65.463851,31.375834,1106.774972,759.515097,402.222630,357.292467,0.000000,50.376621,91.445986
low_roughness_1896,low_roughness,0.448630,40.748572,27.396643,628.362886,456.212550,252.593366,203.619184,0.000000,30.511202,94.309493
high_roughness_1101,high_roughness,0.589434,49.891700,47.909809,972.195882,506.418696,283.377655,223.041041,0.000000,33.832963,107.837313
high_roughness_1350,high_roughness,0.606610,38.917682,39.839391,694.628279,417.892602,204.337684,213.554918,0.000000,27.070266,104.086322
medium_roughness_1127,medium_roughness,0.503386,48.289845,8.785063,641.345074,585.002503,304.745667,280.256836,0.000000,38.044292,78.054779
high_roughness_0768,high_roughness,0.572368,46.305136,-4.940363,559.314926,586.947112,304.845159,282.101953,0.000000,39.572472,106.747435
medium_roughness_1526,medium_roughness,0.519067,14.336698,77.608179,611.208024,136.860604,69.898205,66.962399,0.000000,9.080091,92.620393
medium_roughness_0475,medium_roughness,0.473975,30.749535,41.871307,559.918149,325.473102,177.199880,148.273223,0.000000,22.451031,103.970894
low_roughness_1219,low_roughness,0.414493,15.646596,43.729542,324.489398,182.591670,99.148941,83.442729,0.000000,12.255347,35.944361
low_roughness_0422,low_roughness,0.342982,35.172574,-8.375802,382.269681,414.287833,225.928046,188.359787,0.000000,28.028953,75.433041
low_roughness_0901,low_roughness,0.394660,40.726503,68.020292,1186.215754,379.348329,178.926741,200.421588,0.000000,24.921584,108.240529
high_roughness_1235,high_roughness,0.597216,41.575066,36.298821,684.160046,435.818019,210.691269,225.126749,0.000000,27.851327,101.059627
medium_roughness_1291,medium_roughness,0.510110,22.574846,28.414582,318.619303,228.084961,130.815823,97.269138,0.000000,15.851863,57.406775
low_roughness_0706,low_roughness,0.377977,21.998937,64.924369,625.556459,219.417874,116.773889,102.643985,0.000000,15.180391,105.660976
high_roughness_1103,high_roughness,0.589563,34.940845,17.135120,357.224786,296.013889,167.997379,128.016510,0.000000,20.730288,109.821911
low_roughness_0762,low_roughness,0.383250,12.094902,80.879912,520.759076,99.569593,46.580320,52.989274,0.000000,6.678581,74.959680
low_roughness_1882,low_roughness,0.447720,62.901754,8.309834,942.866270,864.515647,470.023047,394.492600,0.000000,56.053573,94.645185
high_roughness_0231,high_roughness,0.548106,61.855800,18.892915,879.109115,713.019780,368.521216,344.498564,0.000000,47.399465,93.686418
low_roughness_0027,low_roughness,0.158328,66.716585,9.661792,897.260217,810.568800,449.673996,360.894804,0.000000,55.024492,113.456476
high_roughness_0796,high_roughness,0.573507,43.618195,26.853009,602.751087,440.894286,242.954326,197.939960,0.000000,28.778563,97.872429
low_roughness_0546,low_roughness,0.360670,67.766322,8.773672,948.087403,864.905325,466.012247,398.893078,0.000000,56.707840,106.108311
high_roughness_0814,high_roughness,0.574613,21.939389,48.497564,445.510424,229.448719,121.029985,108.418734,0.000000,15.271822,55.494604
medium_roughness_0311,medium_roughness,0.467045,36.684793,46.000277,675.050295,364.525289,200.722409,163.802881,0.000000,24.595038,82.792971
low_roughness_1525,low_roughness,0.431194,59.621572,28.315129,933.601926,669.251335,356.734964,312.516371,0.000000,44.736824,104.801434
low_roughness_0047,low_roughness,0.179088,43.206755,-0.649555,426.643965,429.415252,252.306009,177.109243,0.000000,30.424172,109.218101
medium_roughness_0631,medium_roughness,0.481272,15.581472,43.801150,293.222263,164.787540,56.030935,108.756605,0.000000,11.190776,59.020050
medium_roughness_1529,medium_roughness,0.519112,46.152099,43.100465,941.554518,535.740147,286.182075,249.558072,0.000000,35.308468,183.960453
medium_roughness_0841,medium_roughness,0.491006,41.116288,46.308947,618.491944,332.074836,176.578286,155.496550,0.000000,23.135040,116.264933
low_roughness_1289,low_roughness,0.418379,37.509912,27.785426,590.479224,426.412057,212.314107,214.097950,0.000000,28.188880,77.165863
low_roughness_0831,low_roughness,0.388934,54.467885,37.337347,946.798116,593.288816,307.599069,285.689747,0.000000,38.124898,106.899648
medium_roughness_0774,medium_roughness,0.488211,61.829360,-2.800767,833.188493,856.524160,495.040003,361.484156,0.000000,56.340478,125.360050
low_roughness_0559,low_roughness,0.362514,25.920601,63.223171,575.132971,211.515672,103.620131,107.895541,0.000000,13.957137,77.519059
medium_roughness_0447,medium_roughness,0.472933,36.248719,34.449136,635.360190,416.484092,220.012715,196.471377,0.000000,26.525697,82.800191
low_roughness_1926,low_roughness,0.450241,22.386755,67.393317,617.485486,201.341534,114.926425,86.415109,0.000000,13.343704,67.148460
high_roughness_0658,high_roughness,0.567077,39.178499,59.044302,969.411472,397.029233,201.049708,195.979525,0.000000,26.974671,182.356863
