profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_1393,medium_roughness,0.513747,61.143419,0.519075,805.185191,801.005674,403.820211,397.185463,0.000000,52.647902,116.193158
medium_roughness_1029,medium_roughness,0.499162,36.729108,18.165085,548.604077,448.949681,229.230875,219.718806,0.000000,29.971300,92.196933
low_roughness_0998,low_roughness,0.401016,48.991003,-38.527843,353.637196,489.885980,202.478777,287.407203,0.000000,35.095225,205.063292
high_roughness_1488,high_roughness,0.620369,40.042538,43.750287,883.998366,497.246540,214.222670,283.023870,0.000000,33.021394,92.264156
low_roughness_0660,low_roughness,0.373720,25.757116,34.079342,392.708316,258.875908,105.953674,152.922234,0.000000,18.466750,80.531195
medium_roughness_1933,medium_roughness,0.535631,39.212377,8.857550,453.463007,413.297292,194.191082,219.106210,0.000000,29.369049,110.229322
low_roughness_1116,low_roughness,0.408067,60.998852,10.564490,906.727390,810.936270,372.326343,438.609926,0.000000,53.849966,104.191631
high_roughness_0787,high_roughness,0.572932,72.175582,-2.212177,924.354735,944.803101,465.248493,479.554608,0.000000,62.414061,133.661331
high_roughness_0194,high_roughness,0.546923,43.966327,-11.260288,413.757014,460.347245,181.004213,279.343032,0.000000,32.285569,134.741676
low_roughness_1092,low_roughness,0.406750,62.464540,19.340445,1025.121613,826.858536,403.787074,423.071462,0.000000,53.543559,111.388676
high_roughness_1324,high_roughness,0.604633,32.654463,56.821257,808.939610,349.289955,187.095669,162.194287,0.000000,23.715263,101.799487
low_roughness_0263,low_roughness,0.312700,63.381984,31.347191,1106.774972,759.832105,393.459314,366.372791,0.000000,49.846579,107.717298
low_roughness_1896,low_roughness,0.448630,42.291376,22.993004,628.362886,483.883383,211.846545,272.036838,0.000000,33.031580,120.965300
high_roughness_1101,high_roughness,0.589434,56.123274,31.462100,972.195882,666.322644,306.259237,360.063407,0.000000,44.276652,136.889548
high_roughness_1350,high_roughness,0.606610,58.677448,3.893093,694.628279,667.585752,277.894821,389.690931,0.000000,44.721909,173.249668
medium_roughness_1127,medium_roughness,0.503386,53.231891,-1.090709,641.345074,648.340281,319.511423,328.828858,0.000000,43.519136,103.633120
high_roughness_0768,high_roughness,0.572368,50.603193,-5.626562,559.314926,590.785124,266.765891,324.019233,0.000000,39.421729,198.878735
medium_roughness_1526,medium_roughness,0.519067,43.131191,27.651694,611.208024,442.198652,188.928849,253.269802,0.000000,30.249778,151.579382
medium_roughness_0475,medium_roughness,0.473975,31.462876,36.317188,559.918149,356.571620,142.761943,213.809677,0.000000,24.464643,89.429649
low_roughness_1219,low_roughness,0.414493,42.482262,-29.531650,324.489398,420.316470,154.964651,265.351819,0.000000,30.415766,139.658197
low_roughness_0422,low_roughness,0.342982,40.348352,-27.595616,382.269681,487.759355,242.907045,244.852310,0.000000,32.675689,101.699019
low_roughness_0901,low_roughness,0.394660,59.505635,47.653318,1186.215754,620.944584,265.379267,355.565318,0.000000,42.872037,211.954366
high_roughness_1235,high_roughness,0.597216,57.541323,7.209220,684.160046,634.837441,273.557822,361.279619,0.000000,43.955000,139.382274
medium_roughness_1291,medium_roughness,0.510110,26.314338,9.338548,318.619303,288.864887,155.648483,133.216404,0.000000,20.277331,97.146030
low_roughness_0706,low_roughness,0.377977,52.159908,20.290369,625.556459,498.628743,186.274935,312.353808,0.000000,35.584393,209.374813
high_roughness_1103,high_roughness,0.589563,41.152723,-10.255990,357.224786,393.861725,160.998518,232.863206,0.000000,26.171536,158.097332
low_roughness_0762,low_roughness,0.383250,42.156329,17.060744,520.759076,431.913706,175.660610,256.253095,0.000000,30.197697,143.984551
low_roughness_1882,low_roughness,0.447720,68.236035,5.917297,942.866270,887.074073,431.123639,455.950434,0.000000,59.043654,133.437631
high_roughness_0231,high_roughness,0.548106,69.929188,8.291227,879.109115,806.220185,368.874257,437.345928,0.000000,54.576886,196.509425
low_roughness_0027,low_roughness,0.158328,57.968764,19.603626,897.260217,721.364682,361.813619,359.551063,0.000000,46.667738,103.862290
high_roughness_0796,high_roughness,0.573507,54.918199,-8.499804,602.751087,653.983745,353.935121,300.048624,0.000000,44.199575,119.269999
low_roughness_0546,low_roughness,0.360670,66.118837,8.047827,948.087403,871.786970,431.449706,440.337263,0.000000,57.230245,117.949059
high_roughness_0814,high_roughness,0.574613,42.748649,2.326541,445.510424,435.145443,164.369821,270.775622,0.000000,31.112274,131.822043
medium_roughness_0311,medium_roughness,0.467045,49.786758,16.121965,675.050295,566.218924,248.952326,317.266598,0.000000,38.958581,160.358737
low_roughness_1525,low_roughness,0.431194,65.022352,10.829472,933.601926,832.497765,384.334785,448.162980,0.000000,54.114675,126.399374
low_roughness_0047,low_roughness,0.179088,27.551696,20.280634,426.643965,340.117862,159.687717,180.430146,0.000000,22.250675,60.273931
medium_roughness_0631,medium_roughness,0.481272,28.929937,-1.823027,293.222263,298.567783,110.611094,187.956689,0.000000,21.650571,94.655018
medium_roughness_1529,medium_roughness,0.519112,52.701556,36.888010,941.554518,594.233790,289.446962,304.786828,0.000000,40.252869,183.755382
medium_roughness_0841,medium_roughness,0.491006,40.726535,33.295886,618.491944,412.559573,178.716512,233.843060,0.000000,29.043705,138.027570
low_roughness_1289,low_roughness,0.418379,55.142001,-4.045292,590.479224,614.365831,246.982483,367.383348,0.000000,41.727829,180.879700
low_roughness_0831,low_roughness,0.388934,61.383306,24.961218,946.798116,710.465770,356.123318,354.342452,0.000000,48.174977,109.074882
medium_roughness_0774,medium_roughness,0.488211,62.097479,-1.830844,833.188493,848.442877,420.681612,427.761265,0.000000,55.298506,110.909131
low_roughness_0559,low_roughness,0.362514,48.765029,11.250428,575.132971,510.428048,215.956507,294.471541,0.000000,35.999614,181.232896
medium_roughness_0447,medium_roughness,0.472933,49.286629,11.026766,635.360190,565.300509,288.334416,276.966092,0.000000,39.144631,119.921233
low_roughness_1926,low_roughness,0.450241,44.437482,22.629828,617.485486,477.749580,218.343115,259.406465,0.000000,33.202552,170.862297
high_roughness_0658,high_roughness,0.567077,56.853671,25.481727,969.411472,722.388687,312.094927,410.293760,0.000000,47.300902,160.450728
medium_roughness_1346,medium_roughness,0.512112,41.667948,31.395039,691.668520,474.518921,201.014069,273.504853,0.000000,32.867205,120.388571
high_roughness_0233,high_roughness,0.548151,31.845091,24.103726,491.081005,372.712183,151.419648,221.292535,0.000000,25.923309,72.334555
