profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0090,medium_roughness,0.480287,37.201056,35.509744,642.826877,414.560699,213.400801,201.159898,0.000000,29.121139,98.968323
medium_roughness_0015,medium_roughness,0.456345,24.698004,46.328012,534.430326,286.839380,130.097393,156.741987,0.000000,19.729795,89.699052
low_roughness_0152,low_roughness,0.416598,41.299968,43.220425,917.410354,520.901697,302.656079,218.245617,0.000000,35.906188,114.452458
low_roughness_0043,low_roughness,0.335613,18.245693,55.700242,441.837622,195.732998,69.804059,125.928939,0.000000,13.580584,70.592359
medium_roughness_0062,medium_roughness,0.471300,19.002763,51.630740,529.995116,256.354716,126.938197,129.416518,0.000000,17.275640,46.715022
low_roughness_0069,low_roughness,0.361275,15.709529,56.261929,443.358765,193.916572,95.412089,98.504483,0.000000,13.146887,71.979189
low_roughness_0173,low_roughness,0.424107,22.857438,38.065055,439.463943,272.181752,138.342282,133.839470,0.000000,17.927338,55.987561
medium_roughness_0238,medium_roughness,0.530860,16.749475,53.621575,339.686386,157.541195,99.620774,57.920421,0.000000,10.726307,82.339133
high_roughness_0002,high_roughness,0.535378,18.468798,44.108420,415.438764,232.195289,120.604423,111.590866,0.000000,15.064233,48.999083
high_roughness_0097,high_roughness,0.568542,26.289162,30.507329,349.789734,243.078230,122.747551,120.330679,0.000000,17.446038,96.878548
low_roughness_0116,low_roughness,0.398728,30.799597,40.661171,560.024578,332.312024,159.000663,173.311361,0.000000,22.086131,84.660896
low_roughness_0216,low_roughness,0.441304,22.421677,55.418490,698.020808,311.188216,145.285983,165.902233,0.000000,20.072971,37.704513
high_roughness_0062,high_roughness,0.557446,34.677740,36.276535,624.023386,397.649325,198.796367,198.852959,0.000000,26.482872,126.905777
medium_roughness_0147,medium_roughness,0.502283,41.033383,29.404376,723.714647,510.910868,277.860635,233.050233,0.000000,33.989345,77.786050
high_roughness_0000,high_roughness,0.534052,24.678769,53.322730,611.704567,285.526995,150.144764,135.382231,0.000000,19.560354,95.106769
low_roughness_0026,low_roughness,0.299867,42.496130,46.332320,1127.455504,605.079214,284.760187,320.319027,0.000000,39.624194,65.181202
low_roughness_0146,low_roughness,0.413396,24.629841,50.173969,678.015077,337.828004,169.537505,168.290499,0.000000,21.487527,46.597004
high_roughness_0249,high_roughness,0.777463,35.174300,42.650362,861.453229,494.040310,257.599651,236.440659,0.000000,31.827472,57.336430
high_roughness_0093,high_roughness,0.567834,48.750559,28.645378,810.026076,577.991043,305.118814,272.872228,0.000000,37.252121,119.786901
low_roughness_0105,low_roughness,0.388702,57.688074,35.132507,1297.722975,841.800354,396.941905,444.858449,0.000000,55.647737,102.959913
medium_roughness_0019,medium_roughness,0.458670,47.852891,42.014457,1074.653038,623.143395,317.569010,305.574386,0.000000,40.217291,83.987014
medium_roughness_0100,medium_roughness,0.485739,21.241590,46.866431,484.471210,257.416845,122.936150,134.480695,0.000000,17.178327,51.551905
high_roughness_0129,high_roughness,0.581641,25.358542,44.884917,534.051645,294.343009,135.286756,159.056253,0.000000,19.944124,78.441051
high_roughness_0058,high_roughness,0.556108,23.806012,48.217529,525.363997,272.046457,133.561437,138.485020,0.000000,18.119481,63.779182
high_roughness_0050,high_roughness,0.551785,21.019158,48.263259,432.082751,223.545534,105.777446,117.768088,0.000000,15.247454,64.701313
high_roughness_0012,high_roughness,0.540446,37.419427,35.014962,754.323881,490.197660,243.095551,247.102109,0.000000,33.025491,72.469997
high_roughness_0005,high_roughness,0.537143,20.208066,31.743782,348.719952,238.023050,107.503211,130.519839,0.000000,15.697847,80.944053
low_roughness_0134,low_roughness,0.407603,49.426005,37.306590,998.431264,625.950606,336.242048,289.708559,0.000000,42.230008,106.822525
low_roughness_0188,low_roughness,0.430011,51.749498,34.246452,1084.109126,712.840213,383.791115,329.049099,0.000000,46.933515,102.784661
medium_roughness_0094,medium_roughness,0.482677,53.722252,35.055830,1212.782466,787.631511,414.265613,373.365898,0.000000,51.186462,73.404006
medium_roughness_0180,medium_roughness,0.512292,31.739499,46.442841,761.424194,407.797167,202.392216,205.404951,0.000000,26.810097,67.966836
medium_roughness_0222,medium_roughness,0.526865,44.444065,44.976589,1154.056384,635.001186,304.975023,330.026163,0.000000,41.626006,96.539106
low_roughness_0071,low_roughness,0.361608,17.176095,43.639460,241.620041,136.178360,83.518063,52.660297,0.000000,10.036745,94.504243
high_roughness_0044,high_roughness,0.550096,26.278685,53.073963,687.737199,322.727811,144.002720,178.725091,0.000000,21.215682,59.346559
medium_roughness_0185,medium_roughness,0.512936,31.347137,50.734501,701.890880,345.790045,159.079520,186.710525,0.000000,23.018915,99.956842
high_roughness_0133,high_roughness,0.583960,25.326451,51.364372,569.368596,276.915994,146.607507,130.308487,0.000000,18.608636,68.011534
high_roughness_0128,high_roughness,0.581130,30.648052,45.156417,641.791492,351.981450,194.056133,157.925317,0.000000,24.463345,91.950292
high_roughness_0177,high_roughness,0.615550,47.263508,32.775824,906.012817,609.059648,265.611736,343.447911,0.000000,40.616517,133.465395
medium_roughness_0249,medium_roughness,0.533814,56.112314,36.147239,1213.919198,775.120921,409.672347,365.448574,0.000000,50.953786,95.474783
low_roughness_0079,low_roughness,0.368834,32.319876,50.710562,806.060199,397.302539,188.912010,208.390529,0.000000,25.509341,70.918336
medium_roughness_0067,medium_roughness,0.472747,49.117452,36.518891,1054.408413,669.350152,365.150216,304.199936,0.000000,45.057430,115.743567
low_roughness_0244,low_roughness,0.450524,29.000466,39.099318,500.280579,304.674283,155.974391,148.699892,0.000000,21.848848,93.108130
high_roughness_0091,high_roughness,0.566834,24.841925,43.243174,524.278396,297.563777,152.754829,144.808948,0.000000,19.529844,61.656607
