profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0090,medium_roughness,0.480287,19.854285,70.167405,642.826877,191.771936,102.509184,89.262752,0.000000,13.617841,94.122132
medium_roughness_0015,medium_roughness,0.456345,13.532350,73.202160,534.430326,143.215783,61.838084,81.377699,0.000000,9.717119,84.852861
low_roughness_0152,low_roughness,0.416598,25.615354,77.014158,917.410354,210.874490,133.756450,77.118040,0.000000,15.522848,119.298649
low_roughness_0043,low_roughness,0.335613,14.868505,73.353047,441.837622,117.736265,34.124342,83.611923,0.000000,8.547049,67.537756
medium_roughness_0062,medium_roughness,0.471300,15.016847,76.021232,529.995116,127.086300,56.229038,70.857262,0.000000,8.682216,62.605474
low_roughness_0069,low_roughness,0.361275,11.043953,75.683664,443.358765,107.808605,46.575879,61.232726,0.000000,7.559125,67.132998
low_roughness_0173,low_roughness,0.424107,9.051256,74.546941,439.463943,111.857017,60.558314,51.298703,0.000000,7.439514,23.140609
medium_roughness_0238,medium_roughness,0.530860,17.239871,52.504907,339.686386,161.334363,99.409863,61.924501,0.000000,10.735374,94.840346
high_roughness_0002,high_roughness,0.535378,14.734465,60.222576,415.438764,165.250840,85.547416,79.703424,0.000000,10.695833,46.650736
high_roughness_0097,high_roughness,0.568542,19.617768,48.228824,349.789734,181.090258,92.011238,89.079020,0.000000,12.990613,101.724739
low_roughness_0116,low_roughness,0.398728,13.852854,77.837385,560.024578,124.116091,61.991453,62.124638,0.000000,8.778224,79.814705
low_roughness_0216,low_roughness,0.441304,7.938708,86.430192,698.020808,94.720083,31.455916,63.264167,0.000000,6.309034,27.749734
high_roughness_0062,high_roughness,0.557446,25.092996,67.390610,624.023386,203.490221,99.013441,104.476781,0.000000,14.288452,141.937370
