profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0149,medium_roughness,0.476875,13.461387,83.742191,984.048373,159.984707,77.272999,82.711708,0.000000,10.504293,41.121565
medium_roughness_0114,medium_roughness,0.469147,8.989688,81.044744,406.666596,77.084693,24.879424,52.205270,0.000000,5.442985,57.869022
medium_roughness_0407,medium_roughness,0.522290,28.876798,81.673692,1050.256055,192.473165,112.219175,80.253989,0.000000,12.999866,154.516569
medium_roughness_0204,medium_roughness,0.486751,15.450939,67.882544,376.906320,121.052722,32.456850,88.595872,0.000000,8.420605,80.248016
high_roughness_0316,high_roughness,0.600109,24.926057,74.220766,979.013305,252.382130,75.879644,176.502486,0.000000,16.869086,95.983489
medium_roughness_0217,medium_roughness,0.489234,5.562006,91.819664,648.640391,53.060965,10.086388,42.974577,0.000000,3.710965,42.364079
high_roughness_0004,high_roughness,0.538712,16.442811,86.987783,629.122648,81.862807,38.106651,43.756156,0.000000,6.360033,134.214216
medium_roughness_0115,medium_roughness,0.469756,27.524301,80.931156,855.833649,163.197582,102.152669,61.044912,0.000000,11.754123,145.338810
medium_roughness_0218,medium_roughness,0.489307,11.283329,84.316160,584.047152,91.601021,28.540457,63.060563,0.000000,6.543107,87.578505
high_roughness_0293,high_roughness,0.592726,16.760161,81.285807,730.731986,136.750591,79.562807,57.187784,0.000000,9.363810,95.524694
high_roughness_0439,high_roughness,0.669975,14.658273,81.931491,684.339311,123.649909,64.490363,59.159546,0.000000,8.529458,84.841607
medium_roughness_0361,medium_roughness,0.513474,14.604825,77.130765,535.353908,122.431345,30.364006,92.067340,0.000000,8.278458,77.410973
high_roughness_0288,high_roughness,0.592126,25.649152,76.263061,879.596868,208.789372,87.361731,121.427641,0.000000,14.282706,141.591815
low_roughness_0482,low_roughness,0.445604,13.899499,88.945241,1021.908231,112.969495,29.261006,83.708490,0.000000,7.780451,101.484239
medium_roughness_0443,medium_roughness,0.527930,16.184332,75.311116,461.965136,114.054036,33.965833,80.088203,0.000000,7.838650,103.111541
low_roughness_0300,low_roughness,0.409179,6.329406,92.443896,1060.954893,80.166853,31.231877,48.934976,0.000000,5.197776,23.096341
medium_roughness_0231,medium_roughness,0.492303,14.060138,85.200493,890.472662,131.785563,44.846792,86.938771,0.000000,9.171980,88.333438
medium_roughness_0379,medium_roughness,0.516844,29.368767,71.694636,809.077759,229.012403,97.815193,131.197211,0.000000,15.115977,154.895173
low_roughness_0192,low_roughness,0.384360,14.249212,86.420974,962.520611,130.700920,93.837866,36.863054,0.000000,8.969367,68.525595
low_roughness_0496,low_roughness,0.448367,24.156546,76.563603,650.901923,152.547958,59.993599,92.554358,0.000000,11.104908,139.410656
high_roughness_0442,high_roughness,0.670265,18.563004,57.482420,434.956164,184.932835,60.165247,124.767588,0.000000,12.437320,64.708415
low_roughness_0148,low_roughness,0.366303,13.887105,82.136602,788.745210,140.896698,31.121418,109.775281,0.000000,9.319371,53.080845
