profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_1393,medium_roughness,0.513747,11.482288,86.056397,805.185191,112.271823,65.395709,46.876114,0.000000,7.485060,39.347864
medium_roughness_1029,medium_roughness,0.499162,10.233036,86.269951,548.604077,75.323607,32.013289,43.310319,0.000000,5.274753,61.027198
low_roughness_0998,low_roughness,0.401016,16.416211,71.219859,353.637196,101.777285,45.444928,56.332356,0.000000,7.393905,98.103306
high_roughness_1488,high_roughness,0.620369,26.935564,75.390896,883.998366,217.544080,68.008043,149.536036,0.000000,14.489551,103.656612
low_roughness_0660,low_roughness,0.373720,6.605926,86.580747,392.708316,52.698523,14.885514,37.813009,0.000000,3.711297,39.290928
medium_roughness_1933,medium_roughness,0.535631,10.778158,80.939478,453.463007,86.432416,41.149856,45.282561,0.000000,5.713335,71.266855
low_roughness_1116,low_roughness,0.408067,7.318649,91.327561,906.727390,78.635382,47.232441,31.402941,0.000000,5.212491,29.229208
high_roughness_0787,high_roughness,0.572932,25.075811,74.349117,924.354735,237.105156,164.345681,72.759475,0.000000,15.455888,94.872569
high_roughness_0194,high_roughness,0.546923,8.829147,84.137543,413.757014,65.632027,28.520198,37.111829,0.000000,4.483254,64.040398
low_roughness_1092,low_roughness,0.406750,15.928361,85.457840,1025.121613,149.074827,95.404285,53.670542,0.000000,9.852568,56.776183
high_roughness_1324,high_roughness,0.604633,27.107115,75.315428,808.939610,199.683281,89.109068,110.574212,0.000000,13.507227,108.218128
low_roughness_0263,low_roughness,0.312700,11.761068,91.126334,1106.774972,98.211512,60.989506,37.222007,0.000000,7.042024,85.155766
low_roughness_1896,low_roughness,0.448630,8.258942,86.965811,628.362886,81.902009,51.705187,30.196822,0.000000,5.436227,30.102670
high_roughness_1101,high_roughness,0.589434,17.573485,81.368084,972.195882,181.138720,93.459847,87.678874,0.000000,12.126788,70.350171
high_roughness_1350,high_roughness,0.606610,16.438660,76.494098,694.628279,163.278642,74.255422,89.023220,0.000000,10.984360,75.826050
medium_roughness_1127,medium_roughness,0.503386,8.332043,88.147825,641.345074,76.013339,47.956885,28.056454,0.000000,5.092565,44.504519
high_roughness_0768,high_roughness,0.572368,29.019165,72.479305,559.314926,153.927356,62.235133,91.692223,0.000000,11.350703,180.422261
medium_roughness_1526,medium_roughness,0.519067,14.983897,77.301589,611.208024,138.734510,58.797438,79.937072,0.000000,9.213534,95.419347
medium_roughness_0475,medium_roughness,0.473975,12.021690,78.791032,559.918149,118.752859,56.354271,62.398588,0.000000,7.873616,37.419171
low_roughness_1219,low_roughness,0.414493,7.621660,79.140247,324.489398,67.687688,31.627428,36.060259,0.000000,4.607616,42.234580
low_roughness_0422,low_roughness,0.342982,9.876206,82.378203,382.269681,67.362788,34.557384,32.805404,0.000000,4.842822,69.142822
low_roughness_0901,low_roughness,0.394660,18.838072,86.155472,1186.215754,164.225974,50.256722,113.969252,0.000000,11.589064,114.530748
high_roughness_1235,high_roughness,0.597216,11.347768,83.328309,684.160046,114.061051,57.070359,56.990692,0.000000,7.573159,41.958656
