profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_2217,medium_roughness,0.517286,19.170387,60.756740,359.451073,141.060320,71.279029,69.781292,0.000000,10.022509,88.273903
medium_roughness_1593,medium_roughness,0.500324,15.672719,75.285292,479.084271,118.404278,84.843961,33.560316,0.000000,8.355087,62.098761
high_roughness_0626,high_roughness,0.556185,13.489153,86.290203,975.862644,133.788788,47.027962,86.760827,0.000000,9.025707,68.070176
medium_roughness_0652,medium_roughness,0.471782,10.863265,76.529551,472.512889,110.900898,57.873581,53.027318,0.000000,7.312778,35.455750
medium_roughness_2330,medium_roughness,0.520357,15.476481,86.326175,651.023788,89.019856,41.162400,47.857456,0.000000,6.483554,101.554633
low_roughness_0490,low_roughness,0.331109,14.739811,87.764510,1223.068600,149.648430,55.316986,94.331445,0.000000,9.937256,57.559669
low_roughness_1982,low_roughness,0.421144,13.652761,88.541031,937.329098,107.408255,31.395058,76.013197,0.000000,7.541440,93.200583
medium_roughness_0979,medium_roughness,0.481684,7.397621,91.315373,855.142517,74.265936,24.150625,50.115311,0.000000,4.982148,28.741529
low_roughness_2050,low_roughness,0.423237,25.578079,78.328648,1277.469102,276.844826,138.233100,138.611727,0.000000,17.761291,74.878656
low_roughness_0035,low_roughness,0.157528,9.642689,89.901566,627.520508,63.369742,15.056907,48.312834,0.000000,4.764798,89.139675
medium_roughness_0721,medium_roughness,0.473603,19.144569,73.597723,531.307685,140.277329,61.101375,79.175954,0.000000,10.075747,114.821696
medium_roughness_2976,medium_roughness,0.537265,32.711652,71.779475,1303.620095,367.888431,189.769956,178.118475,0.000000,24.507816,92.619570
low_roughness_0745,low_roughness,0.353898,21.410656,77.247936,1065.114920,242.335633,135.943385,106.392248,0.000000,16.820839,73.854587
medium_roughness_2653,medium_roughness,0.529319,9.740586,76.894720,436.506379,100.856021,48.704561,52.151460,0.000000,6.438509,34.588042
low_roughness_0208,low_roughness,0.277951,15.781682,86.961653,891.746823,116.269049,37.964667,78.304382,0.000000,8.103654,80.948079
medium_roughness_2322,medium_roughness,0.520158,30.576308,65.317500,814.931376,282.638574,194.676964,87.961610,0.000000,19.292678,110.299474
medium_roughness_0670,medium_roughness,0.472206,11.971335,87.884542,718.324867,87.028347,17.644662,69.383685,0.000000,5.804944,72.407688
low_roughness_1730,low_roughness,0.411482,15.968573,75.379956,757.297785,186.447047,107.052388,79.394659,0.000000,12.656415,54.133147
low_roughness_1540,low_roughness,0.403463,7.571782,85.973090,465.836577,65.342479,32.038537,33.303942,0.000000,4.693322,49.826791
medium_roughness_1320,medium_roughness,0.492462,18.054984,77.327006,661.414943,149.962569,77.691955,72.270614,0.000000,10.815184,73.653707
high_roughness_2664,high_roughness,0.666762,17.010938,71.484935,501.184326,142.913034,76.773449,66.139585,0.000000,9.116330,95.135232
low_roughness_2925,low_roughness,0.450967,11.423008,89.272586,682.364233,73.200036,37.545885,35.654151,0.000000,5.613775,93.338521
medium_roughness_0454,medium_roughness,0.466162,20.286275,84.249459,904.166231,142.411075,62.329999,80.081076,0.000000,9.811764,117.327769
low_roughness_0609,low_roughness,0.342527,19.630227,82.536366,1089.237655,190.220473,81.061533,109.158940,0.000000,12.721872,88.907696
