profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0090,medium_roughness,0.480287,35.860997,34.778189,642.826877,419.263328,215.470380,203.792948,0.000000,29.332842,88.191578
medium_roughness_0015,medium_roughness,0.456345,24.412191,44.950647,534.430326,294.200438,151.202653,142.997785,0.000000,20.139546,78.922307
low_roughness_0152,low_roughness,0.416598,39.781639,48.034862,917.410354,476.733557,297.915267,178.818290,0.000000,33.136477,125.229203
low_roughness_0043,low_roughness,0.335613,17.558028,58.877034,441.837622,181.696737,86.664777,95.031960,0.000000,12.696735,73.032900
medium_roughness_0062,medium_roughness,0.471300,18.047249,59.947121,529.995116,212.278301,131.229998,81.048303,0.000000,14.430658,57.491767
low_roughness_0069,low_roughness,0.361275,18.264531,46.962980,443.358765,235.144276,136.280602,98.863673,0.000000,15.684088,61.202443
low_roughness_0173,low_roughness,0.424107,21.836919,37.347590,439.463943,275.334750,139.024248,136.310502,0.000000,18.104153,48.867377
medium_roughness_0238,medium_roughness,0.530860,18.950193,46.997378,339.686386,180.042692,130.540697,49.501995,0.000000,12.051351,93.955815
high_roughness_0002,high_roughness,0.535378,19.837314,41.217629,415.438764,244.204756,128.346461,115.858295,0.000000,15.810062,48.939627
high_roughness_0097,high_roughness,0.568542,25.824763,28.819081,349.789734,248.983546,142.556086,106.427460,0.000000,17.736628,107.655294
low_roughness_0116,low_roughness,0.398728,27.009732,44.603842,560.024578,310.232102,161.609261,148.622841,0.000000,20.772119,83.637442
low_roughness_0216,low_roughness,0.441304,19.593478,62.792921,698.020808,259.713156,141.192043,118.521113,0.000000,16.750059,40.025449
high_roughness_0062,high_roughness,0.557446,33.965769,33.710468,624.023386,413.662184,210.477409,203.184775,0.000000,27.395468,127.203485
medium_roughness_0147,medium_roughness,0.502283,38.941741,31.480739,723.714647,495.883929,268.333275,227.550655,0.000000,33.071889,77.750120
high_roughness_0000,high_roughness,0.534052,24.380952,59.133400,611.704567,249.982859,167.293604,82.689254,0.000000,17.307081,105.883514
low_roughness_0026,low_roughness,0.299867,38.769921,52.827063,1127.455504,531.853873,264.907909,266.945964,0.000000,35.012443,70.582689
low_roughness_0146,low_roughness,0.413396,25.835673,47.746758,678.015077,354.284859,187.811515,166.473344,0.000000,22.590994,52.245005
high_roughness_0249,high_roughness,0.777463,34.120086,44.681723,861.453229,476.541083,256.309943,220.231140,0.000000,30.596924,61.889058
high_roughness_0093,high_roughness,0.567834,45.437429,32.858140,810.026076,543.866571,308.961193,234.905379,0.000000,35.078210,132.689272
low_roughness_0105,low_roughness,0.388702,53.294268,40.896908,1297.722975,766.994409,369.465911,397.528498,0.000000,50.741636,92.183168
medium_roughness_0019,medium_roughness,0.458670,41.203517,51.115920,1074.653038,525.334246,294.825715,230.508531,0.000000,33.997852,79.706683
medium_roughness_0100,medium_roughness,0.485739,19.792713,48.541904,484.471210,249.299660,124.688565,124.611094,0.000000,16.692921,51.505253
high_roughness_0129,high_roughness,0.581641,25.149558,44.031781,534.051645,298.899197,167.280492,131.618705,0.000000,20.256887,67.664306
high_roughness_0058,high_roughness,0.556108,23.198102,46.306632,525.363997,282.085624,145.755541,136.330083,0.000000,18.806336,53.281615
high_roughness_0050,high_roughness,0.551785,20.903803,48.650061,432.082751,221.874228,124.701168,97.173060,0.000000,15.198458,75.478058
high_roughness_0012,high_roughness,0.540446,33.484141,41.814367,754.323881,438.908123,219.246993,219.661130,0.000000,29.623885,83.246742
high_roughness_0005,high_roughness,0.537143,20.745385,26.258571,348.719952,257.151074,123.040732,134.110342,0.000000,16.946970,78.542265
low_roughness_0134,low_roughness,0.407603,42.625757,46.255368,998.431264,536.603210,308.196427,228.406783,0.000000,36.538177,117.599271
low_roughness_0188,low_roughness,0.430011,48.085565,39.597003,1084.109126,654.834405,367.077439,287.756966,0.000000,43.338107,113.561407
medium_roughness_0094,medium_roughness,0.482677,46.311763,44.710861,1212.782466,670.536982,370.783342,299.753639,0.000000,43.731239,82.305909
medium_roughness_0180,medium_roughness,0.512292,32.491929,45.190285,761.424194,417.334432,228.248952,189.085481,0.000000,27.326206,75.632577
medium_roughness_0222,medium_roughness,0.526865,41.604589,50.948939,1154.056384,566.076900,289.266201,276.810699,0.000000,37.218839,86.506510
low_roughness_0071,low_roughness,0.361608,19.188754,28.620349,241.620041,172.467543,120.715700,51.751843,0.000000,12.407850,105.280988
high_roughness_0044,high_roughness,0.550096,26.618161,53.544817,687.737199,319.489574,171.969162,147.520412,0.000000,20.911413,65.942033
