t,theta,theta_dot,tau_target,tau_spring,residual_torque,baseline_mechanical_power,motor_mechanical_power,baseline_energy_burden_power,motor_energy_burden_power,baseline_electrical_draw_power,motor_electrical_draw_power,baseline_braking_power,motor_braking_power,baseline_regenerated_power,motor_regenerated_power
0.0000000000,0.0000000000,0.0000000000,-0.4737039525,0.0000000000,-0.4737039525,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0314465409,0.1027831452,3.2685040159,12.3266200815,-9.0366104171,21.3632304986,40.2896072393,69.8258046781,47.3995379286,82.1480055036,47.3995379286,82.1480055036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0628930818,0.2015667134,3.1413174712,24.6288480516,-6.5665809832,31.1954290348,77.3670306800,97.9947462486,91.0200360941,115.2879367631,91.0200360941,115.2879367631,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0943396226,0.2925067626,2.8918935625,-1.2245155615,-5.6649765036,4.4404609421,-3.5411686694,12.8413404130,1.4164674678,15.1074593094,0.0000000000,15.1074593094,3.5411686694,0.0000000000,2.1247012016,0.0000000000
0.1257861635,0.3720645634,2.5299380650,4.8800510342,-11.4758440865,16.3558951207,12.3462268705,41.3794016525,14.5249727888,48.6816490030,14.5249727888,48.6816490030,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1572327044,0.4371443014,2.0695356696,9.8736983066,-6.0329695010,15.9066678076,20.4339708367,32.9194164128,24.0399656902,38.7287251915,24.0399656902,38.7287251915,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1886792453,0.4852135438,1.5286019090,13.5621096083,-4.8672870151,18.4293966235,20.7310666368,28.1712108596,24.3894901610,33.1426010113,24.3894901610,33.1426010113,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2201257862,0.5144017832,0.9281860139,15.8017586391,-4.8836279396,20.6853865787,14.6669713641,19.1998865148,17.2552604283,22.5881017821,17.2552604283,22.5881017821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2515723270,0.5235732244,0.2916518301,16.5054944515,-5.1088769317,21.6143713832,4.8138576631,6.3038709698,5.6633619565,7.4163187880,5.6633619565,7.4163187880,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2830188679,0.5123709812,-0.3562313343,15.6459327357,-4.8679249616,20.5138576974,-5.5735714952,-7.3076788997,2.2294285981,2.9230715599,0.0000000000,0.0000000000,5.5735714952,7.3076788997,3.3441428971,4.3846073398
0.3144654088,0.4812309639,-0.9902525508,13.2565214191,-4.8963552279,18.1528766470,-13.1273041497,-17.9759324037,5.2509216599,7.1903729615,0.0000000000,0.0000000000,13.1273041497,17.9759324037,7.8763824898,10.7855594422
0.3459119497,0.4313649168,-1.5857402976,9.4302391145,-4.8946300389,14.3248691533,-14.9539101795,-22.7155222738,5.9815640718,9.0862089095,0.0000000000,0.0000000000,14.9539101795,22.7155222738,8.9723461077,13.6293133643
0.3773584906,0.3647132660,-2.1195224970,4.3159770646,-5.2676203444,9.5835974091,-9.1478104851,-20.3126503108,3.6591241940,8.1250601243,0.0000000000,0.0000000000,9.1478104851,20.3126503108,5.4886862911,12.1875901865
0.4088050314,0.2838696117,-2.5708282052,-1.8872546279,-5.8118302746,3.9245756468,4.8518074278,-10.0894097662,5.7080087386,4.0357639065,5.7080087386,0.0000000000,0.0000000000,10.0894097662,0.0000000000,6.0536458597
0.4402515723,0.1919798046,-2.9220958670,23.4349213651,-6.2404181551,29.6753395203,-68.4790868638,-86.7141869631,27.3916347455,34.6856747852,0.0000000000,0.0000000000,68.4790868638,86.7141869631,41.0874521183,52.0285121779
0.4716981132,0.0926195315,-3.1596566846,11.0608721971,-3.9269370864,14.9878092835,-34.9485587751,-47.3563317900,13.9794235100,18.9425327160,0.0000000000,0.0000000000,34.9485587751,47.3563317900,20.9691352651,28.4137990740
0.5031446541,-0.0103448241,-3.2742665087,-1.7620192787,1.7800002421,-3.5420195207,5.7693207117,11.5975158898,6.7874361314,13.6441363409,6.7874361314,13.6441363409,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.5345911950,-0.1129066340,-3.2614655534,-14.5347788366,8.7845432840,-23.3193221206,47.4046805021,76.0551658254,55.7702123554,89.4766656770,55.7702123554,89.4766656770,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.5660377358,-0.2110749340,-3.1217519395,-26.7603830228,3.9447992132,-30.7051822360,83.5392776042,95.8539621991,98.2815030638,112.7693672931,98.2815030638,112.7693672931,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.5974842767,-0.3010297236,-2.8605623107,-37.9630997146,4.7167178356,-42.6798175502,108.5958122410,122.0882775118,127.7597791071,143.6332676610,127.7597791071,143.6332676610,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6289308176,-0.3792706129,-2.4880602789,-47.7070001749,7.9513590079,-55.6583591829,118.6978921584,138.4813526689,139.6445790099,162.9192384340,139.6445790099,162.9192384340,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6603773585,-0.4427530321,-2.0187409298,-45.0641272221,12.8163727316,-57.8804999537,90.9727980908,116.8457342961,107.0268212833,137.4655697601,107.0268212833,137.4655697601,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6918238994,-0.4890067044,-1.4708667795,-38.1765565502,13.2480499228,-51.4246064730,56.1526287858,75.6387453106,66.0619162186,88.9867591890,66.0619162186,88.9867591890,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7232704403,-0.5162317713,-0.8657571286,-34.1225093100,12.4010885693,-46.5235978793,29.5418056816,40.2781365131,34.7550655077,47.3860429566,34.7550655077,47.3860429566,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7547169811,-0.5233688301,-0.2269584698,-33.0597397091,11.8073142806,-44.8670539897,7.5031879358,10.1829579172,8.8272799245,11.9799504908,8.8272799245,11.9799504908,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7861635220,-0.5101401581,0.4206717718,-35.0296030565,10.9031587873,-45.9327618438,-14.7359651821,-19.3226163071,5.8943860729,7.7290465228,0.0000000000,0.0000000000,14.7359651821,19.3226163071,8.8415791093,11.5935697843
0.8176100629,-0.4770605194,1.0519325095,-39.9554465128,9.9296073681,-49.8850538809,-42.0304331167,-52.4757099134,16.8121732467,20.9902839653,0.0000000000,0.0000000000,42.0304331167,52.4757099134,25.2182598700,31.4854259480
0.8490566038,-0.4254171345,1.6422596394,-47.6455918651,10.5791173806,-58.2247092457,-78.2464325174,-95.6200900125,31.2985730070,38.2480360050,0.0000000000,0.0000000000,78.2464325174,95.6200900125,46.9478595104,57.3720540075
0.8805031447,-0.3572195906,2.1686818979,-44.9608278235,12.1224118197,-57.0832396432,-97.5057334173,-123.7953884900,39.0022933669,49.5181553960,0.0000000000,0.0000000000,97.5057334173,123.7953884900,58.5034400504,74.2772330940
0.9119496855,-0.2751216429,2.6107147367,-34.7365801471,9.0935557233,-43.8301358703,-90.6873016935,-114.4279816296,36.2749206774,45.7711926518,0.0000000000,0.0000000000,90.6873016935,114.4279816296,54.4123810161,68.6567889777
0.9433962264,-0.1823179500,2.9511574337,-23.1790690527,4.8235491950,-28.0026182476,-68.4050819401,-82.6401350034,27.3620327760,33.0560540014,0.0000000000,0.0000000000,68.4050819401,82.6401350034,41.0430491641,49.5840810021
0.9748427673,-0.0824197607,3.1767624204,-10.7380293103,1.8154668291,-12.5534961394,-34.1121679822,-39.8794747804,13.6448671929,15.9517899121,0.0000000000,0.0000000000,34.1121679822,39.8794747804,20.4673007893,23.9276848682
1.0062893082,0.0206856098,3.2787507820,2.1024237629,-1.2759509169,3.3783746798,6.8933235569,11.0768486233,8.1097924198,13.0315866157,8.1097924198,13.0315866157,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.0377358491,0.1229860460,3.2531538688,14.8426325712,-7.1081389711,21.9507715423,48.2853675725,71.4092373667,56.8063147912,84.0108674903,56.8063147912,84.0108674903,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.0691823899,0.2205007544,3.1009677277,26.9868403003,-6.6095793891,33.5964196895,83.6853208431,104.1814132223,98.4533186389,122.5663684968,98.4533186389,122.5663684968,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.1006289308,0.3094351677,2.8281143428,0.0744215058,-6.1258170350,6.2002385407,0.2104725279,17.5349835459,0.2476147387,20.6293924070,0.2476147387,20.6293924070,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.1320754717,0.3863286015,2.4452111952,5.9745479905,-8.1018793442,14.0764273347,14.6090316329,34.4198377079,17.1870960388,40.4939267152,17.1870960388,40.4939267152,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.1635220126,0.4481889193,1.9671581071,10.7211652437,-6.4498716761,17.1710369199,21.0902271262,33.7781444834,24.8120319132,39.7389935098,24.8120319132,39.7389935098,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.1949685535,0.4926089649,1.4125574481,14.1295692404,-5.3545181244,19.4840873647,19.9588282683,27.5223927256,23.4809744333,32.3792855595,23.4809744333,32.3792855595,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.2264150943,0.5178602311,0.8029902661,16.0671295399,-5.0254405142,21.0925700541,12.9017486246,16.9371284404,15.1785277937,19.9260334593,15.1785277937,19.9260334593,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.2578616352,0.5229601213,0.1621765087,16.4584503043,-4.8375046704,21.2959549747,2.6691740084,3.4537036265,3.1402047158,4.0631807371,3.1402047158,4.0631807371,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.2893081761,0.5077101846,-0.4849479859,15.2883041586,-4.8049031936,20.0932073522,-7.4140323100,-9.7441604363,2.9656129240,3.8976641745,0.0000000000,0.0000000000,7.4140323100,9.7441604363,4.4484193860,5.8464962618
1.3207547170,0.4727038384,-1.1132018111,12.6022247306,-4.7638744890,17.3660992196,-14.0288193943,-19.3319731034,5.6115277577,7.7327892414,0.0000000000,0.0000000000,14.0288193943,19.3319731034,8.4172916366,11.5991838621
1.3522012579,0.4193032764,-1.6981378704,8.5047348110,-4.9543230549,13.4590578659,-14.4422122602,-22.8553358618,5.7768849041,9.1421343447,0.0000000000,0.0000000000,14.4422122602,22.8553358618,8.6653273561,13.7132015171
1.3836477987,0.3495864625,-2.2169946814,3.1552790823,-5.3711887984,8.5264678807,-6.9952369439,-18.9031339427,2.7980947775,7.5612535771,0.0000000000,0.0000000000,6.9952369439,18.9031339427,4.1971421663,11.3418803656
1.4150943396,0.2662662711,-2.6495820885,-3.2379803156,-5.9216715359,2.6836912204,8.5792946470,-7.1106601885,10.0932878200,2.8442640754,10.0932878200,0.0000000000,0.0000000000,7.1106601885,0.0000000000,4.2663961131
1.4465408805,0.1725849215,-2.9790669174,21.0195371321,-6.3797494503,27.3992865824,-62.6186076897,-81.6243082184,25.0474430759,32.6497232874,0.0000000000,0.0000000000,62.6186076897,81.6243082184,37.5711646138,48.9745849310
1.4779874214,0.0721878145,-3.1926280008,8.5163635912,-3.2886814973,11.8050450885,-27.1895808664,-37.6891175005,10.8758323465,15.0756470002,0.0000000000,0.0000000000,27.1895808664,37.6891175005,16.3137485198,22.6134705003
1.5094339623,-0.0310183202,-3.2819550854,-4.3366383796,8.1402816641,-12.4769200437,14.2326523834,40.9486911875,16.7442969217,48.1749308088,16.7442969217,48.1749308088,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.5408805031,-0.1330174462,-3.2435722069,-17.0393228718,5.7817416449,-22.8210645166,55.2682740912,74.0217705979,65.0214989309,87.0844359976,65.0214989309,87.0844359976,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.5723270440,-0.2298404950,-3.0789729494,-29.0973932465,3.8825087664,-32.9799020129,89.5900867042,101.5442261716,105.4001020049,119.4637954960,105.4001020049,119.4637954960,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.6037735849,-0.3177198134,-2.7945623260,-40.0416365857,4.9582167800,-44.9998533658,111.8988490723,125.7548948897,131.6457047909,147.9469351643,131.6457047909,147.9469351643,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.6352201258,-0.3932357738,-2.4014075417,-49.4461820665,8.5255880136,-57.9717700800,118.7404345237,139.2138458772,139.6946288514,163.7809951496,139.6946288514,163.7809951496,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.6666666667,-0.4534498411,-1.9148073383,-43.4712801228,13.3987631368,-56.8700432596,83.2391261864,108.8951761656,97.9283837488,128.1119719595,97.9283837488,128.1119719595,0.0000000000,0.0000000000,0.0000000000,0.0000000000
