t,theta,theta_dot,tau_target,tau_spring,residual_torque,baseline_mechanical_power,motor_mechanical_power,baseline_energy_burden_power,motor_energy_burden_power,baseline_electrical_draw_power,motor_electrical_draw_power,baseline_braking_power,motor_braking_power,baseline_regenerated_power,motor_regenerated_power
0.0000000000,0.0000000000,0.0000000000,-24.9921665036,0.0000000000,-24.9921665036,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0314465409,0.1027831452,3.2685040159,4.4258360362,-10.1055593777,14.5313954138,14.4658628580,47.4959242671,17.0186621859,55.8775579613,17.0186621859,55.8775579613,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0628930818,0.2015667134,3.1413174712,4.9098908851,-0.9238757346,5.8337666196,15.4235260189,18.3257130051,18.1453247281,21.5596623590,18.1453247281,21.5596623590,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0943396226,0.2925067626,2.8918935625,-51.7674354438,-1.7919853014,-49.9754501424,-149.7059133065,-144.5236825494,59.8823653226,57.8094730198,0.0000000000,0.0000000000,149.7059133065,144.5236825494,89.8235479839,86.7142095297
0.1257861635,0.3720645634,2.5299380650,-91.0665059707,-52.3071965136,-38.7593094571,-230.3926198991,-98.0586523675,92.1570479596,39.2234609470,0.0000000000,0.0000000000,230.3926198991,98.0586523675,138.2355719394,58.8351914205
0.1572327044,0.4371443014,2.0695356696,-57.2752817316,-81.0839190272,23.8086372956,-118.5332385320,49.2728241285,47.4132954128,57.9680283865,0.0000000000,57.9680283865,118.5332385320,0.0000000000,71.1199431192,0.0000000000
0.1886792453,0.4852135438,1.5286019090,-32.3163836388,-27.8541614898,-4.4622221490,-49.3988857210,-6.8209612952,19.7595542884,2.7283845181,0.0000000000,0.0000000000,49.3988857210,6.8209612952,29.6393314326,4.0925767771
0.2201257862,0.5144017832,0.9281860139,-17.1610315509,-12.3252604516,-4.8357710993,-15.9286294699,-4.4884951009,6.3714517880,1.7953980403,0.0000000000,0.0000000000,15.9286294699,4.4884951009,9.5571776819,2.6930970605
0.2515723270,0.5235732244,0.2916518301,-12.3989621967,-7.0365364854,-5.3624257113,-3.6161800157,-1.5639612723,1.4464720063,0.6255845089,0.0000000000,0.0000000000,3.6161800157,1.5639612723,2.1697080094,0.9383767634
0.2830188679,0.5123709812,-0.3562313343,-18.2154808853,-16.4157695075,-1.7997113778,6.4889250612,0.6411135855,7.6340294837,0.7542512771,7.6340294837,0.7542512771,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3144654088,0.4812309639,-0.9902525508,-34.3842507633,-37.1988733438,2.8146225805,34.0490920249,-2.7871871899,40.0577553234,1.1148748759,40.0577553234,0.0000000000,0.0000000000,2.7871871899,0.0000000000,1.6723123139
0.3459119497,0.4313649168,-1.5857402976,-60.2761002086,-60.9595048678,0.6834046592,95.5822410808,-1.0837023076,112.4496953892,0.4334809231,112.4496953892,0.0000000000,0.0000000000,1.0837023076,0.0000000000,0.6502213846
0.3773584906,0.3647132660,-2.1195224970,-94.8835056412,-73.7714137721,-21.1120918691,201.1077248018,44.7475536755,236.5973232962,52.6441807947,236.5973232962,52.6441807947,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.4088050314,0.2838696117,-2.5708282052,-46.3844317785,-85.8552767374,39.4708449588,119.2464054988,-101.4727615035,140.2898888221,40.5891046014,140.2898888221,0.0000000000,0.0000000000,101.4727615035,0.0000000000,60.8836569021
0.4402515723,0.1919798046,-2.9220958670,10.8848201623,-2.8019057410,13.6867259033,-31.8064880090,-39.9939251943,12.7225952036,15.9975700777,0.0000000000,0.0000000000,31.8064880090,39.9939251943,19.0838928054,23.9963551166
0.4716981132,0.0926195315,-3.1596566846,1.5168647961,-0.4318500613,1.9487148574,-4.7927719927,-6.1572699256,1.9171087971,2.4629079703,0.0000000000,0.0000000000,4.7927719927,6.1572699256,2.8756631956,3.6943619554
0.5031446541,-0.0103448241,-3.2742665087,-27.9530027634,0.0489139202,-28.0019166837,91.5255807646,91.6857379754,107.6771538406,107.8655740887,107.6771538406,107.8655740887,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.5345911950,-0.1129066340,-3.2614655534,-56.7856292078,0.5208613381,-57.3064905459,185.2043735909,186.9031449032,217.8874983422,219.8860528273,217.8874983422,219.8860528273,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.5660377358,-0.2110749340,-3.1217519395,-64.9829905315,0.9490034408,-65.9319939723,202.8607767286,205.8233300606,238.6597373277,242.1450941890,238.6597373277,242.1450941890,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.5974842767,-0.3010297236,-2.8605623107,-72.4944979490,1.3411438066,-73.8356417556,207.3750285663,211.2114539927,243.9706218427,248.4840635209,243.9706218427,248.4840635209,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6289308176,-0.3792706129,-2.4880602789,-79.0278579006,1.6746338566,-80.7024917572,196.6260741653,200.7926641455,231.3247931357,236.2266637005,231.3247931357,236.2266637005,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6603773585,-0.4427530321,-2.0187409298,-84.3288392538,1.9416596320,-86.2704988858,170.2380793675,174.1577871386,200.2800933736,204.8915142807,200.2800933736,204.8915142807,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.6918238994,-0.4890067044,-1.4708667795,-88.1911661408,2.1262588208,-90.3174249616,129.7174565229,132.8448999871,152.6087723799,156.2881176319,152.6087723799,156.2881176319,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7232704403,-0.5162317713,-0.8657571286,-90.4645447241,2.2362033282,-92.7007480523,78.3203244823,80.2563334547,92.1415582145,94.4192158291,92.1415582145,94.4192158291,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7547169811,-0.5233688301,-0.2269584698,-91.0605115460,2.2600130583,-93.3205246044,20.6669543581,21.1798834635,24.3140639507,24.9175099571,24.3140639507,24.9175099571,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.7861635220,-0.5101401581,0.4206717718,-89.9558758868,2.2052951874,-92.1611710741,-37.8418976904,-38.7696031241,15.1367590761,15.5078412496,0.0000000000,0.0000000000,37.8418976904,38.7696031241,22.7051386142,23.2617618745
0.8176100629,-0.4770605194,1.0519325095,-87.1936221795,2.0708489972,-89.2644711767,-91.7218057880,-93.9001991704,36.6887223152,37.5600796681,0.0000000000,0.0000000000,91.7218057880,93.9001991704,55.0330834728,56.3401195022
0.8490566038,-0.4254171345,1.6422596394,-82.8812373672,1.8630168981,-84.7442542653,-136.1125109953,-139.1720684546,54.4450043981,55.6688273818,0.0000000000,0.0000000000,136.1125109953,139.1720684546,81.6675065972,83.5032410728
0.8805031447,-0.3572195906,2.1686818979,-77.1865282879,1.5869321469,-78.7734604348,-167.3930266629,-170.8345776831,66.9572106652,68.3338310732,0.0000000000,0.0000000000,167.3930266629,170.8345776831,100.4358159977,102.5007466099
0.9119496855,-0.2751216429,2.6107147367,-70.3310918457,1.2281495289,-71.5592413746,-183.6144179319,-186.8207660058,73.4457671728,74.7283064023,0.0000000000,0.0000000000,183.6144179319,186.8207660058,110.1686507591,112.0924596035
0.9433962264,-0.1823179500,2.9511574337,-62.5816920615,0.8302127108,-63.4119047723,-184.6884257384,-187.1385141515,73.8753702954,74.8554056606,0.0000000000,0.0000000000,184.6884257384,187.1385141515,110.8130554430,112.2831084909
0.9748427673,-0.0824197607,3.1767624204,-48.5818778768,0.3798021618,-48.9616800387,-154.3330839516,-155.5396251865,61.7332335806,62.2158500746,0.0000000000,0.0000000000,154.3330839516,155.5396251865,92.5998503710,93.3237751119
1.0062893082,0.0206856098,3.2787507820,-19.0716498453,-6.1524718108,-12.9191780345,-62.5311868444,-42.3587650836,25.0124747378,16.9435060334,0.0000000000,0.0000000000,62.5311868444,42.3587650836,37.5187121066,25.4152590501
1.0377358491,0.1229860460,3.2531538688,10.2081944838,-0.8912754342,11.0994699180,33.2088273787,36.1082835057,39.0692086808,42.4803335361,39.0692086808,42.4803335361,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.0691823899,0.2205007544,3.1009677277,-6.8905295953,-1.0056484240,-5.8848811713,-21.3673099015,-18.2488265934,8.5469239606,7.2995306374,0.0000000000,0.0000000000,21.3673099015,18.2488265934,12.8203859409,10.9492959561
1.1006289308,0.3094351677,2.8281143428,-62.3178667497,-19.3334435933,-42.9844231564,-176.2420527681,-121.5648636461,70.4968211073,48.6259454585,0.0000000000,0.0000000000,176.2420527681,121.5648636461,105.7452316609,72.9389181877
1.1320754717,0.3863286015,2.4452111952,-83.6602175282,-63.3675255230,-20.2926920052,-204.5669004965,-49.6199176728,81.8267601986,19.8479670691,0.0000000000,0.0000000000,204.5669004965,49.6199176728,122.7401402979,29.7719506037
1.1635220126,0.4481889193,1.9671581071,-51.5406065041,-86.7472909232,35.2066844191,-101.3885219269,69.2571146773,40.5554087708,81.4789584439,0.0000000000,81.4789584439,101.3885219269,0.0000000000,60.8331131562,0.0000000000
1.1949685535,0.4926089649,1.4125574481,-28.4764737240,-26.7361693476,-1.7403043764,-40.2246550531,-2.4582799088,16.0898620213,0.9833119635,0.0000000000,0.0000000000,40.2246550531,2.4582799088,24.1347930319,1.4749679453
1.2264150943,0.5178602311,0.8029902661,-15.3653084798,-12.1480360460,-3.2172724338,-12.3381931448,-2.5834384477,4.9352772579,1.0333753791,0.0000000000,0.0000000000,12.3381931448,2.5834384477,7.4029158869,1.5500630686
1.2578616352,0.5229601213,0.1621765087,-12.7173025280,-8.3419159149,-4.3753866131,-2.0624477236,-0.7095849250,0.8249790895,0.2838339700,0.0000000000,0.0000000000,2.0624477236,0.7095849250,1.2374686342,0.4257509550
1.2893081761,0.5077101846,-0.4849479859,-20.6354971149,-19.9719220235,-0.6635750914,10.0071427645,0.3217994041,11.7731091347,0.3785875342,11.7731091347,0.3785875342,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.3207547170,0.4727038384,-1.1132018111,-38.8117733564,-39.8283597964,1.0165864400,43.2053363934,-1.1316658662,50.8298075216,0.4526663465,50.8298075216,0.0000000000,0.0000000000,1.1316658662,0.0000000000,0.6789995197
1.3522012579,0.4193032764,-1.6981378704,-66.5388419974,-63.4968897922,-3.0419522052,112.9921274471,5.1656542396,132.9319146436,6.0772402819,132.9319146436,6.0772402819,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.3836477987,0.3495864625,-2.2169946814,-87.3416935725,-73.8507756137,-13.4909179589,193.6360701153,29.9092933621,227.8071413121,35.1874039554,227.8071413121,35.1874039554,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.4150943396,0.2662662711,-2.6495820885,-35.4133547801,-84.5856774915,49.1723227114,93.8305905188,-130.2861055059,110.3889300221,52.1144422024,110.3889300221,0.0000000000,0.0000000000,130.2861055059,0.0000000000,78.1716633036
1.4465408805,0.1725849215,-2.9790669174,22.9724551348,-1.0205661034,23.9930212383,-68.4364811038,-71.4768158196,27.3745924415,28.5907263279,0.0000000000,0.0000000000,68.4364811038,71.4768158196,41.0618886623,42.8860894918
1.4779874214,0.0721878145,-3.1926280008,-4.3309840890,-0.3437322565,-3.9872518325,13.8272210737,12.7298118467,16.2673189102,14.9762492314,16.2673189102,14.9762492314,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.5094339623,-0.0310183202,-3.2819550854,-33.8700522888,0.1433153985,-34.0133676873,111.1599903521,111.6303450531,130.7764592377,131.3298177096,130.7764592377,131.3298177096,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.5408805031,-0.1330174462,-3.2435722069,-58.4649451823,0.6073813139,-59.0723264963,189.6352712710,191.6053564199,223.1003191423,225.4180663763,223.1003191423,225.4180663763,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.5723270440,-0.2298404950,-3.0789729494,-66.5499738011,1.0339471637,-67.5839209648,204.9055691169,208.0890644652,241.0653754316,244.8106640767,241.0653754316,244.8106640767,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.6037735849,-0.3177198134,-2.7945623260,-73.8881728544,1.4123498273,-75.3005226816,206.4851041928,210.4320038111,242.9236519915,247.5670633072,242.9236519915,247.5670633072,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.6352201258,-0.3932357738,-2.4014075417,-80.1939926908,1.7303689026,-81.9243615934,192.5784588484,196.7337797810,226.5628927629,231.4515056248,226.5628927629,231.4515056248,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.6666666667,-0.4534498411,-1.9148073383,-85.2220563940,1.9838449160,-87.2059013100,163.1838189721,166.9824997754,191.9809634966,196.4499997358,191.9809634966,196.4499997358,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.6981132075,-0.4960189190,-1.3536966776,-88.7767080779,2.1572574140,-90.9339654919,120.1767347721,123.0970069661,141.3843938495,144.8200081954,141.3843938495,144.8200081954,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.7295597484,-0.5192865268,-0.7399099295,-90.7196263996,2.2492620363,-92.9688884358,67.1243523717,68.7886036863,78.9698263196,80.9277690427,78.9698263196,80.9277690427,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.7610062893,-0.5223472575,-0.0973312365,-90.9752070252,2.2558286280,-93.2310356533,8.8547293934,9.0742919832,10.4173286981,10.6756376273,10.4173286981,10.6756376273,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.7924528302,-0.5050820096,0.5490348844,-89.5335046049,2.1824666799,-91.7159712848,-49.1570173534,-50.3552676948,19.6628069414,20.1421070779,0.0000000000,0.0000000000,49.1570173534,50.3552676948,29.4942104120,30.2131606169
1.8238993711,-0.4681626216,1.1740365373,-86.4506197731,2.0400722792,-88.4906920523,-101.4961862823,-103.8913056768,40.5984745129,41.5565222707,0.0000000000,0.0000000000,101.4961862823,103.8913056768,60.8977117694,62.3347834061
1.8553459119,-0.4130257293,1.7533531764,-81.8465161180,1.8153474161,-83.6618635341,-143.5058490164,-146.6887941748,57.4023396065,58.6755176699,0.0000000000,0.0000000000,143.5058490164,146.6887941748,86.1035094098,88.0132765049
1.8867924528,-0.3418168618,2.2644419869,-75.9003520657,1.5159953274,-77.4163473931,-171.8719440380,-175.3048275093,68.7487776152,70.1219310037,0.0000000000,0.0000000000,171.8719440380,175.3048275093,103.1231664228,105.1828965056
1.9182389937,-0.2573069534,2.6874150873,-68.8435093299,1.1552976491,-69.9988069789,-185.0110856384,-188.1158499708,74.0044342554,75.2463399883,0.0000000000,0.0000000000,185.0110856384,188.1158499708,111.0066513831,112.8695099825
1.9496855346,-0.1627845187,3.0058134228,-60.9505892083,0.7439348877,-61.6945240960,-183.2060991711,-185.4422286423,73.2824396685,74.1768914569,0.0000000000,0.0000000000,183.2060991711,185.4422286423,109.9236595027,111.2653371854
1.9811320755,-0.0619276875,3.2072472322,-42.7167541763,0.2801772737,-42.9969314500,-137.0031915999,-137.9017893854,54.8012766400,55.1607157542,0.0000000000,0.0000000000,137.0031915999,137.9017893854,82.2019149599,82.7410736312
2.0125786164,0.0413389216,3.2838781679,-13.1603773710,-13.4304245705,0.2700471995,-43.2170759304,0.8868021029,17.2868303722,1.0432965916,0.0000000000,1.0432965916,43.2170759304,0.0000000000,25.9302455582,0.0000000000
2.0440251572,0.1429969187,3.2327243081,15.9355917463,-0.7759164000,16.7115081463,51.5153748027,54.0236986101,60.6063232973,63.5572924825,60.6063232973,63.5572924825,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.0754716981,0.2390905096,3.0557761911,-18.4763779904,-1.0808925688,-17.3954854216,-56.4596759616,-53.1567101846,22.5838703846,21.2626840738,0.0000000000,0.0000000000,56.4596759616,53.1567101846,33.8758055769,31.8940261107
2.1069182390,0.3258804265,2.7599193583,-72.5671827630,-42.3025375387,-30.2646452243,-200.2795724851,-83.5279802267,80.1118289940,33.4111920907,0.0000000000,0.0000000000,200.2795724851,83.5279802267,120.1677434911,50.1167881360
2.1383647799,0.3999894334,2.3566664185,-76.5671306798,-70.5459529204,-6.0211777594,-180.4431856341,-14.1899074254,72.1772742536,5.6759629701,0.0000000000,0.0000000000,180.4431856341,14.1899074254,108.2659113804,8.5139444552
2.1698113208,0.4585337435,1.8617090606,-46.1692838306,-75.8911514352,29.7218676046,-85.9537740287,55.3334702173,34.3815096115,65.0982002557,0.0000000000,65.0982002557,85.9537740287,0.0000000000,51.5722644172,0.0000000000
2.2012578616,0.4992352355,1.2943074464,-25.0359282685,-23.2752581314,-1.7606701372,-32.4041883849,-2.2788484691,12.9616753539,0.9115393877,0.0000000000,0.0000000000,32.4041883849,2.2788484691,19.4425130309,1.3673090815
2.2327044025,0.5205101017,0.6765407443,-13.9894213962,-9.7043395653,-4.2850818309,-9.4644135636,-2.8990324512,3.7857654254,1.1596129805,0.0000000000,0.0000000000,9.4644135636,2.8990324512,5.6786481382,1.7394194707
2.2641509434,0.5215304780,0.0324479679,-13.4596133937,-9.7720681861,-3.6875452076,-0.4367371033,-0.1196533485,0.1746948413,0.0478613394,0.0000000000,0.0000000000,0.4367371033,0.1196533485,0.2620422620,0.0717920091
