t,theta,theta_dot,tau_target,tau_spring,residual_torque,baseline_mechanical_power,motor_mechanical_power,baseline_energy_burden_power,motor_energy_burden_power,baseline_electrical_draw_power,motor_electrical_draw_power,baseline_braking_power,motor_braking_power,baseline_regenerated_power,motor_regenerated_power
0.0000000000,0.0000000000,0.0000000000,-24.9921665036,0.0000000000,-24.9921665036,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0322580645,0.1053996586,3.2673894181,5.1747195274,-10.7118278778,15.8865474052,16.9078238254,51.9075368818,19.8915574417,61.0676904492,19.8915574417,61.0676904492,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0645161290,0.2064842429,3.1336221114,1.8450979326,-0.9445365452,2.7896344778,5.7818396794,8.7416602824,6.8021643287,10.2843062146,6.8021643287,10.2843062146,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0967741935,0.2991153380,2.8715639473,-55.8861530803,-2.7010918286,-53.1850612517,-160.4806623392,-152.7243044257,64.1922649357,61.0897217703,0.0000000000,0.0000000000,160.4806623392,152.7243044257,96.2883974035,91.6345826554
0.1290322581,0.3795006160,2.4919436178,-87.2054990190,-55.5564088896,-31.6490901294,-217.3111867180,-78.8677481574,86.9244746872,31.5470992630,0.0000000000,0.0000000000,217.3111867180,78.8677481574,130.3867120308,47.3206488944
0.1612903226,0.4443490941,2.0103028238,-53.5343513774,-83.4226031880,29.8882518107,-107.6202577443,60.0844370134,43.0481030977,70.6875729570,0.0000000000,70.6875729570,107.6202577443,0.0000000000,64.5721546466,0.0000000000
0.1935483871,0.4910058682,1.4463599960,-29.3088464478,-24.4875042510,-4.8213421968,-42.3911430307,-6.9733964805,16.9564572123,2.7893585922,0.0000000000,0.0000000000,42.3911430307,6.9733964805,25.4346858184,4.1840378883
0.2258064516,0.5175608043,0.8232030200,-15.5207792486,-9.4652961257,-6.0554831229,-12.7767523502,-4.9848919944,5.1107009401,1.9939567977,0.0000000000,0.0000000000,12.7767523502,4.9848919944,7.6660514101,2.9909351966
0.2580645161,0.5229267403,0.1663440156,-12.7346348708,-7.0787588946,-5.6558759762,-2.1183303022,-0.9408211219,0.8473321209,0.3763284488,0.0000000000,0.0000000000,2.1183303022,0.9408211219,1.2709981813,0.5644926731
0.2903225806,0.5068839941,-0.4973251322,-21.0644783926,-20.1835320007,-0.8809463919,10.4758945023,0.4381167809,12.3245817674,0.5154315069,12.3245817674,0.5154315069,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3225806452,0.4700893576,-1.1406337308,-40.1692850416,-41.5008285490,1.3315435075,45.8184414603,-1.5188034386,53.9040487769,0.6075213754,53.9040487769,0.0000000000,0.0000000000,1.5188034386,0.0000000000,0.9112820632
0.3548387097,0.4140492076,-1.7372446504,-69.2669017887,-64.5987715824,-4.6681302063,120.3335545812,8.1096842282,141.5688877426,9.5408049744,141.5688877426,9.5408049744,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3870967742,0.3410578344,-2.2627325699,-82.0263254351,-74.4587275045,-7.5675979306,185.6036381488,17.1234503132,218.3572213515,20.1452356626,218.3572213515,20.1452356626,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.4193548387,0.2541035134,-2.6955839521,-27.8330577176,-79.0763937718,51.2433360542,75.0263437211,-138.1307143191,88.2662867308,55.2522857276,88.2662867308,0.0000000000,0.0000000000,138.1307143191,0.0000000000,82.8784285914
0.4516129032,0.1567461646,-3.0180778106,19.8708220998,-0.7992654067,20.6700875065,-59.9716872575,-62.3839324462,23.9886749030,24.9535729785,0.0000000000,0.0000000000,59.9716872575,62.3839324462,35.9830123545,37.4303594677
0.4838709677,0.0529716095,-3.2170112089,-9.8309361180,-0.2499641222,-9.5809719958,31.6262316857,30.8220943027,37.2073313949,36.2612874150,37.2073313949,36.2612874150,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.5161290323,-0.0529716095,-3.2842397904,-40.1533968892,0.2423411488,-40.3957380380,131.8733837815,132.6692902254,155.1451573901,156.0815179122,155.1451573901,156.0815179122,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.5483870968,-0.1567461646,-3.2170112089,-60.4463676845,0.7108691622,-61.1572368467,194.4566423789,196.7435164419,228.7725204458,231.4629605199,228.7725204458,231.4629605199,0.0000000000,0.0000000000,0.0000000000,0.0000000000
