profile,family,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_0005,mixed_terrain,7.535446,76.776255,6.856901,12.559454
flat_terrain_0007,flat_terrain,16.640467,32.971429,13.958493,32.152045
rough_terrain_0003,rough_terrain,17.746201,72.443944,14.804983,32.765923
mixed_terrain_0062,mixed_terrain,9.147585,72.710940,7.819900,22.320342
mixed_terrain_0001,mixed_terrain,7.609432,84.785798,6.223839,16.461433
flat_terrain_0000,flat_terrain,3.712613,81.705110,3.104256,6.873375
mixed_terrain_0085,mixed_terrain,2.632091,94.565687,2.101813,6.865077
rough_terrain_0056,rough_terrain,10.042869,72.596349,8.717798,22.329389
flat_terrain_0088,flat_terrain,11.483816,50.016674,10.854567,18.925339
rough_terrain_0057,rough_terrain,18.037437,61.266496,16.229284,29.725324
mixed_terrain_0033,mixed_terrain,3.476960,84.972780,2.788372,7.720176
flat_terrain_0068,flat_terrain,5.395237,81.222899,4.484524,10.562104
flat_terrain_0003,flat_terrain,17.843025,30.119029,15.788725,29.447982
rough_terrain_0049,rough_terrain,11.044749,73.654789,8.886522,23.276984
rough_terrain_0086,rough_terrain,9.235863,75.536689,7.930391,23.936484
flat_terrain_0072,flat_terrain,3.265383,79.596529,2.903079,5.631729
mixed_terrain_0069,mixed_terrain,7.184938,79.504530,6.174715,15.279907
flat_terrain_0029,flat_terrain,5.443965,73.810554,4.223382,9.840719
flat_terrain_0050,flat_terrain,6.883143,68.425866,6.110984,11.844478
flat_terrain_0047,flat_terrain,15.919227,18.455232,14.416837,23.789707
mixed_terrain_0080,mixed_terrain,12.134270,64.319958,10.640333,20.179910
mixed_terrain_0029,mixed_terrain,12.094608,74.884325,10.390974,22.904540
flat_terrain_0054,flat_terrain,5.201026,62.216777,4.594678,8.452780
mixed_terrain_0089,mixed_terrain,19.225118,37.764312,17.975298,27.841094
rough_terrain_0091,rough_terrain,18.762727,-2.160579,15.310164,41.658465
mixed_terrain_0016,mixed_terrain,7.128324,75.888810,6.130402,12.526069
mixed_terrain_0027,mixed_terrain,14.436085,40.465457,14.060954,20.296622
mixed_terrain_0097,mixed_terrain,5.465540,89.733411,4.085905,14.702250
rough_terrain_0053,rough_terrain,23.626919,64.822042,21.193820,39.035484
flat_terrain_0079,flat_terrain,5.493261,60.766647,5.382391,7.462262
rough_terrain_0021,rough_terrain,22.386527,58.078209,19.461995,39.147297
mixed_terrain_0026,mixed_terrain,6.451837,83.644691,5.349478,13.274211
mixed_terrain_0072,mixed_terrain,7.637850,85.225999,6.405723,15.727920
mixed_terrain_0013,mixed_terrain,11.865557,70.054533,9.531193,26.971214
flat_terrain_0062,flat_terrain,8.551964,41.124714,7.782108,11.928063
flat_terrain_0069,flat_terrain,2.311262,93.667066,1.556576,5.292958
rough_terrain_0037,rough_terrain,13.055713,69.198659,11.189963,24.617460
mixed_terrain_0009,mixed_terrain,18.024073,55.869319,15.487688,29.374680
rough_terrain_0048,rough_terrain,9.627448,76.762795,8.654611,17.832396
rough_terrain_0016,rough_terrain,13.239999,84.178315,11.524857,24.480302
flat_terrain_0017,flat_terrain,21.153061,-0.377867,18.778663,37.355704
rough_terrain_0034,rough_terrain,12.411488,68.675271,10.416595,25.789428
mixed_terrain_0028,mixed_terrain,10.091918,72.443558,8.166894,16.483125
flat_terrain_0067,flat_terrain,9.849172,46.947113,8.880207,15.978956
rough_terrain_0074,rough_terrain,10.857503,78.614542,9.083684,21.593118
