profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_1393,medium_roughness,0.513747,61.805331,-3.368378,637.072515,658.531525,298.342090,360.189435,216.113661,58.069152,107.207839
medium_roughness_1029,medium_roughness,0.499162,30.813550,10.456269,224.986898,201.461663,96.126179,105.335484,63.201290,24.880170,47.974436
low_roughness_0998,low_roughness,0.401016,38.338930,-9.898016,142.827598,156.964696,80.657577,76.307118,45.784271,28.648136,107.374461
high_roughness_1488,high_roughness,0.620369,31.972425,55.995684,535.050062,235.445118,38.446268,196.998850,118.199310,24.164441,111.519375
low_roughness_0660,low_roughness,0.373720,4.943731,82.326700,80.892922,14.296449,1.994648,12.301801,7.381081,3.060207,16.228255
medium_roughness_1933,medium_roughness,0.535631,15.455408,61.089775,191.621432,74.560330,32.090046,42.470284,25.482170,10.659513,54.899422
low_roughness_1116,low_roughness,0.408067,53.680704,24.279238,732.949321,554.994811,261.400868,293.593943,176.156366,42.176491,83.011428
high_roughness_0787,high_roughness,0.572932,78.117561,-1.935173,595.990104,607.523542,296.725222,310.798320,186.478992,65.286338,118.419621
high_roughness_0194,high_roughness,0.546923,16.180717,20.248638,52.559967,41.917290,22.242608,19.674682,11.804809,12.384579,27.347949
low_roughness_1092,low_roughness,0.406750,62.138703,21.857470,781.910916,611.004974,300.452673,310.552300,186.331380,51.915355,92.541128
high_roughness_1324,high_roughness,0.604633,18.587503,71.628619,447.286942,126.901483,1.081046,125.820437,75.492262,11.329931,86.293718
low_roughness_0263,low_roughness,0.312700,67.666360,27.537821,663.050015,480.460491,219.175263,261.285228,156.771137,54.425215,91.753615
low_roughness_1896,low_roughness,0.448630,35.505120,22.961739,367.357958,283.006183,141.251341,141.754842,85.052905,29.349306,77.289745
high_roughness_1101,high_roughness,0.589434,75.327142,26.428355,449.755009,330.892160,131.872266,199.019893,119.411936,63.593963,108.420042
high_roughness_1350,high_roughness,0.606610,36.999699,18.795207,586.462582,476.235725,180.344070,295.891655,177.534993,25.929314,108.119760
medium_roughness_1127,medium_roughness,0.503386,49.511357,3.840306,642.332813,617.665268,293.200725,324.464542,194.678725,41.795556,79.697294
high_roughness_0768,high_roughness,0.572368,50.888516,-5.678963,362.294629,382.869206,190.164788,192.704417,115.622650,44.691034,88.376121
medium_roughness_1526,medium_roughness,0.519067,11.624972,45.131644,143.816115,78.909538,42.652150,36.257388,21.754433,8.017961,37.001126
medium_roughness_0475,medium_roughness,0.473975,20.281018,51.137211,416.774453,203.647623,43.196081,160.451542,96.270925,16.564657,58.545508
low_roughness_1219,low_roughness,0.414493,13.808466,40.351292,142.291259,84.874898,36.248796,48.626102,29.175661,10.652704,32.406856
low_roughness_0422,low_roughness,0.342982,37.482893,-9.719583,298.605531,327.628744,166.216596,161.412148,96.847289,30.300376,65.051162
low_roughness_0901,low_roughness,0.394660,46.769724,43.119151,477.895323,271.830918,121.933008,149.897911,89.938746,30.082540,91.455873
high_roughness_1235,high_roughness,0.597216,38.304324,16.169060,120.586960,101.089182,52.524233,48.564949,29.138969,26.545826,73.884162
medium_roughness_1291,medium_roughness,0.510110,18.381307,12.059903,200.450700,176.276540,101.299711,74.976829,44.986097,13.481398,49.104522
low_roughness_0706,low_roughness,0.377977,18.906259,58.939920,256.303149,105.238278,42.227153,63.011126,37.806675,12.098409,83.590345
high_roughness_1103,high_roughness,0.589563,24.680539,-3.450942,47.962027,49.617169,20.638681,28.978488,17.387093,14.229818,75.071223
low_roughness_0762,low_roughness,0.383250,12.444947,55.832344,74.054173,32.707992,11.466730,21.241262,12.744757,9.252005,39.948807
low_roughness_1882,low_roughness,0.447720,63.415658,4.363787,455.724922,435.838056,200.909646,234.928410,140.957046,58.893646,92.763019
high_roughness_0231,high_roughness,0.548106,60.234628,20.013458,340.144205,272.069587,114.972358,157.097229,94.258337,46.262672,86.647516
low_roughness_0027,low_roughness,0.158328,57.414848,15.714840,312.114447,263.066162,135.076838,127.989324,76.793594,44.648867,93.009302
high_roughness_0796,high_roughness,0.573507,56.113906,22.977667,216.162867,166.493683,67.258884,99.234799,59.540880,42.545049,94.814408
low_roughness_0546,low_roughness,0.360670,72.867623,3.851355,666.039446,640.387902,299.108390,341.279511,204.767707,64.769026,111.833753
high_roughness_0814,high_roughness,0.574613,23.789820,40.641140,359.735900,213.535130,91.550137,121.984992,73.190995,17.358074,49.135125
medium_roughness_0311,medium_roughness,0.467045,43.882749,32.661950,395.337046,266.212260,113.115162,153.097098,91.858259,33.642463,81.684682
low_roughness_1525,low_roughness,0.431194,55.989878,24.632431,542.399336,408.793195,168.760831,240.032364,144.019418,41.345568,105.217096
low_roughness_0047,low_roughness,0.179088,12.537341,18.744190,111.403078,90.521474,33.729320,56.792154,34.075292,11.165015,19.341366
medium_roughness_0631,medium_roughness,0.481272,20.433080,34.207407,186.028545,122.393003,-17.252578,139.645581,83.787349,13.825649,80.056221
medium_roughness_1529,medium_roughness,0.519112,41.426537,42.622908,478.367198,274.473186,127.618127,146.855060,88.113036,32.656968,80.626879
medium_roughness_0841,medium_roughness,0.491006,46.860787,43.676611,317.458796,178.803553,98.706327,80.097226,48.058335,27.168670,116.772571
low_roughness_1289,low_roughness,0.418379,34.590846,16.695590,444.073294,369.932637,150.872131,219.060506,131.436304,26.085982,76.413253
low_roughness_0831,low_roughness,0.388934,68.177752,27.170548,613.345659,446.696284,195.134390,251.561894,150.937136,53.757795,107.170376
medium_roughness_0774,medium_roughness,0.488211,59.796536,-9.007016,504.871134,550.344960,274.498170,275.846790,165.508074,55.924798,113.887819
low_roughness_0559,low_roughness,0.362514,30.841675,36.453999,202.423347,128.631942,41.905234,86.726708,52.036025,18.328942,66.764311
medium_roughness_0447,medium_roughness,0.472933,45.122261,14.900240,430.251889,366.143327,144.716111,221.427216,132.856330,37.257159,84.721686
low_roughness_1926,low_roughness,0.450241,27.328732,6.617230,216.434579,202.112604,95.834524,106.278080,63.766848,18.591496,66.345055
high_roughness_0658,high_roughness,0.567077,42.071532,37.781075,197.723952,123.021718,32.613815,90.407903,54.244742,34.180334,64.036167
medium_roughness_1346,medium_roughness,0.512112,24.412191,49.637248,601.034425,302.697475,74.346427,228.351048,137.010629,17.417884,69.869417
high_roughness_0233,high_roughness,0.548151,11.537069,76.305006,195.530969,46.331052,4.643992,41.687060,25.012236,7.357176,35.588442
medium_roughness_1287,medium_roughness,0.509908,61.226265,4.911281,371.807738,353.547214,132.345598,221.201616,132.720970,53.170271,89.406808
medium_roughness_0466,medium_roughness,0.473642,48.298333,21.658572,302.409902,236.912236,108.565853,128.346384,77.007830,34.077376,109.655918
low_roughness_1175,low_roughness,0.411687,29.124371,59.152988,520.230463,212.498598,48.482058,164.016540,98.409924,18.425570,84.771813
medium_roughness_1024,medium_roughness,0.499001,54.026164,3.075387,200.971087,194.790449,86.269694,108.520755,65.112453,40.867556,86.853230
medium_roughness_1130,medium_roughness,0.503565,26.557211,-3.562182,235.989610,244.395988,110.702423,133.693565,80.216139,22.113612,48.924038
low_roughness_0449,low_roughness,0.346314,16.874799,10.525829,96.953270,86.748135,42.967702,43.780432,26.268259,13.819840,33.916402
low_roughness_1432,low_roughness,0.425968,64.443649,-4.359610,401.545413,419.051227,183.819908,235.231319,141.138791,59.961090,90.584334
high_roughness_0220,high_roughness,0.547690,9.774752,91.493044,235.114335,20.001074,-8.407517,28.408591,17.045155,5.279439,92.108895
medium_roughness_1263,medium_roughness,0.508834,49.167264,7.224928,240.832339,223.432375,83.700562,139.731813,83.839088,42.631793,78.213382
medium_roughness_0074,medium_roughness,0.456538,48.571221,28.074642,330.085163,237.414934,88.416855,148.998079,89.398847,39.438006,75.482373
low_roughness_0037,low_roughness,0.171137,26.177912,2.545808,189.810605,184.978391,96.912728,88.065663,52.839398,22.479393,44.609718
medium_roughness_0613,medium_roughness,0.480287,32.886580,-2.583702,178.290503,182.896999,91.639250,91.257749,54.754650,30.031130,58.349070
low_roughness_0476,low_roughness,0.349186,60.551374,29.907872,530.432686,371.791559,166.237279,205.554279,123.332568,47.604357,90.333361
high_roughness_1534,high_roughness,0.627322,5.638721,64.190382,81.086996,29.036943,5.159539,23.877404,14.326443,3.922127,14.285227
high_roughness_0963,high_roughness,0.582130,35.032250,40.956176,348.804037,205.947240,58.756272,147.190968,88.314581,25.348459,101.246636
low_roughness_1704,low_roughness,0.440192,60.329562,20.259182,295.531439,235.659186,98.598485,137.060701,82.236421,45.350500,110.762024
low_roughness_1411,low_roughness,0.425053,40.522192,40.173812,222.349493,133.023226,33.704523,99.318704,59.591222,31.831577,75.359379
high_roughness_0886,high_roughness,0.578185,25.569112,37.330707,129.495507,81.153919,33.061093,48.092826,28.855696,20.501505,37.781912
low_roughness_1102,low_roughness,0.407603,67.922299,20.870903,846.373468,669.727678,304.572921,365.154757,219.092854,53.448640,111.981812
low_roughness_1273,low_roughness,0.417467,34.473090,36.453449,285.526340,181.442141,79.642927,101.799214,61.079528,26.670706,50.790391
medium_roughness_0394,medium_roughness,0.470891,42.826443,16.880420,178.323028,148.221351,68.377244,79.844108,47.906465,25.869977,127.686739
medium_roughness_0689,medium_roughness,0.483900,54.165362,35.758191,868.741635,558.095341,167.184144,390.911197,234.546718,39.577643,96.629949
low_roughness_1745,low_roughness,0.441895,13.166557,71.548338,270.017028,76.824333,3.232634,73.591699,44.155019,8.112070,43.809953
high_roughness_1463,high_roughness,0.617629,67.781632,-0.935348,281.924521,284.561498,129.526599,155.034899,93.020940,59.472174,111.123912
high_roughness_0826,high_roughness,0.575206,39.796692,26.444702,617.715248,454.362292,193.162530,261.199762,156.719857,27.549675,91.983626
medium_roughness_1357,medium_roughness,0.512368,58.000079,-1.102652,495.466104,500.929369,270.183925,230.745444,138.447267,46.833553,101.531542
high_roughness_1755,high_roughness,0.663128,56.220498,-1.149025,789.340322,798.410041,327.062644,471.347397,282.808438,48.312591,108.133402
medium_roughness_0725,medium_roughness,0.485903,61.329730,10.094067,426.699039,383.627751,172.440370,211.187380,126.712428,45.242107,108.078375
low_roughness_1239,low_roughness,0.415475,69.142117,33.984009,919.678427,607.134831,208.857963,398.276868,238.966121,55.344173,115.515038
medium_roughness_1812,medium_roughness,0.531116,49.184366,25.693710,493.410078,366.634724,181.752732,184.881992,110.929195,32.344544,113.594368
low_roughness_1866,low_roughness,0.447093,8.377886,87.990132,184.341953,22.139226,6.722529,15.416697,9.250018,4.405659,66.212300
low_roughness_1818,low_roughness,0.444981,59.780672,32.857205,396.558959,266.260768,137.286559,128.974209,77.384526,48.115849,80.736410
high_roughness_0626,high_roughness,0.565671,52.373801,0.428591,566.749715,564.320677,268.528280,295.792397,177.475438,46.960702,98.201910
low_roughness_0091,low_roughness,0.229511,60.370026,34.969563,777.343113,505.509624,194.220580,311.289044,186.773427,47.064983,99.334662
low_roughness_1355,low_roughness,0.421843,19.606541,72.629493,532.188066,145.662572,7.723692,137.938880,82.763328,13.832298,99.711508
high_roughness_0439,high_roughness,0.556966,53.911066,37.704105,657.581465,409.646259,156.384456,253.261804,151.957082,43.058680,77.661231
low_roughness_0326,low_roughness,0.329100,69.626960,18.014264,863.530379,707.971738,335.028787,372.942952,223.765771,55.545693,114.180687
medium_roughness_1169,medium_roughness,0.505059,52.518332,19.253803,270.470098,218.394317,76.335249,142.059068,85.235441,40.176317,182.931412
high_roughness_1760,high_roughness,0.663458,28.801247,54.685881,312.422106,141.571325,39.851634,101.719691,61.031815,17.176775,66.157685
medium_roughness_1178,medium_roughness,0.505597,60.537379,-4.321390,466.876061,487.051596,212.574245,274.477352,164.686411,53.904262,111.530817
high_roughness_0318,high_roughness,0.551670,40.946922,-3.590274,173.799762,180.039648,87.708455,92.331193,55.398716,32.692142,91.505514
low_roughness_1595,low_roughness,0.434704,25.993914,43.182190,120.849533,68.664058,27.639758,41.024300,24.614580,20.383286,40.996627
high_roughness_1632,high_roughness,0.639753,49.009829,26.217498,398.147716,293.763348,127.844521,165.918828,99.551297,35.951692,105.938868
high_roughness_0707,high_roughness,0.569414,2.755958,80.979549,62.991855,11.981335,0.227420,11.753915,7.052349,2.106761,7.581019
high_roughness_0073,high_roughness,0.542093,19.333419,58.461758,82.538508,34.285045,12.938290,21.346755,12.808053,10.363684,64.184436
medium_roughness_0632,medium_roughness,0.481392,40.105757,1.063089,408.202789,403.863232,211.869977,191.993254,115.195953,31.073638,80.758620
medium_roughness_0853,medium_roughness,0.491638,23.180491,22.695738,66.692033,51.555784,23.110648,28.445136,17.067081,12.930331,61.485947
high_roughness_1189,high_roughness,0.594983,37.953219,25.436052,171.164090,127.626704,38.638113,88.988590,53.393154,29.073102,106.991954
high_roughness_1152,high_roughness,0.592632,8.254774,73.610617,169.839431,44.819577,10.442978,34.376599,20.625959,5.025508,30.370234
high_roughness_0438,high_roughness,0.556919,25.617793,64.394923,566.159647,201.581578,42.755786,158.825791,95.295475,18.166422,62.062878
high_roughness_1176,high_roughness,0.594244,48.818524,7.814448,184.006382,169.627299,81.302511,88.324788,52.994873,37.273991,95.694857
medium_roughness_1331,medium_roughness,0.511602,49.879898,24.222148,192.933285,146.200699,53.033326,93.167373,55.900424,38.007436,76.867887
low_roughness_1933,low_roughness,0.450600,28.096623,21.741618,243.696188,190.712693,79.607721,111.104972,66.662983,19.491694,68.008120
medium_roughness_0996,medium_roughness,0.497877,26.518277,40.806995,197.418238,116.857787,35.966893,80.890893,48.534536,20.592721,40.203838
medium_roughness_0622,medium_roughness,0.480796,50.411268,42.157721,403.547514,233.421079,97.452122,135.968958,81.581375,37.978672,87.064054
medium_roughness_1640,medium_roughness,0.524144,36.630498,19.731348,132.322861,106.213777,46.804891,59.408886,35.645331,26.700843,66.468568
medium_roughness_0901,medium_roughness,0.493445,10.519719,79.274434,152.464492,31.599129,-17.301781,48.900911,29.340546,6.499700,44.231945
high_roughness_1318,high_roughness,0.604348,19.665252,52.798548,179.973027,84.949882,19.612699,65.337184,39.202310,14.066711,41.512332
medium_roughness_0079,medium_roughness,0.456821,59.138289,-4.566926,463.598211,484.770398,289.470444,195.299954,117.179972,43.053414,115.833820
medium_roughness_1639,medium_roughness,0.524140,73.929660,-4.156734,753.411869,784.729193,372.076974,412.652219,247.591331,61.572660,109.113609
high_roughness_1477,high_roughness,0.618846,17.945047,69.157998,290.431283,89.574821,13.147426,76.427395,45.856437,9.945683,65.945142
high_roughness_0919,high_roughness,0.579793,51.287878,23.383606,811.457319,621.709336,291.897642,329.811694,197.887016,44.730029,105.668056
high_roughness_1325,high_roughness,0.604692,39.277672,-6.648901,192.964798,205.794836,84.405404,121.389433,72.833660,33.014046,103.947337
medium_roughness_1410,medium_roughness,0.514555,25.738771,12.023298,363.223443,319.552007,153.912578,165.639429,99.383657,21.631281,43.142519
low_roughness_0584,low_roughness,0.366108,9.077517,90.524146,415.216225,39.345282,-10.568362,49.913644,29.948187,6.128575,61.004129
low_roughness_1071,low_roughness,0.405672,34.020058,56.772620,179.234523,77.478388,26.122846,51.355542,30.813325,21.437134,88.308577
medium_roughness_0516,medium_roughness,0.476139,24.227911,50.975470,346.637342,169.937327,60.817974,109.119354,65.471612,17.726571,46.131568
low_roughness_0221,low_roughness,0.300753,23.330748,52.748834,487.318417,230.263636,75.566550,154.697086,92.818251,15.299047,60.267501
high_roughness_1507,high_roughness,0.622571,24.360052,4.669052,138.459865,131.995103,58.060751,73.934352,44.360611,13.427881,114.771730
low_roughness_1077,low_roughness,0.405914,20.236618,52.432161,163.964813,77.994519,25.929255,52.065263,31.239158,15.475236,40.133203
