profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_1393,mixed_terrain,0.513747,56.352343,4.090251,787.292187,755.089963,391.688946,363.401017,0.000000,49.878035,104.370850
mixed_terrain_1029,mixed_terrain,0.499162,35.105412,24.720751,536.412875,403.807587,211.487532,192.320054,0.000000,27.592064,62.332691
flat_terrain_0998,flat_terrain,0.401016,36.466997,-8.561422,345.778592,375.382157,181.476336,193.905821,0.000000,25.601701,110.077444
rough_terrain_1488,rough_terrain,0.620369,40.092529,50.744031,864.353958,425.745915,210.548447,215.197467,0.000000,29.674816,93.268093
flat_terrain_0660,flat_terrain,0.373720,12.654466,68.917769,383.981465,119.350007,53.911970,65.438037,0.000000,8.613488,34.006631
mixed_terrain_1933,mixed_terrain,0.535631,15.575835,63.885650,443.386051,160.125989,78.714723,81.411266,0.000000,10.648197,68.738062
flat_terrain_1116,flat_terrain,0.408067,54.676959,24.764147,886.577893,667.024442,345.488410,321.536033,0.000000,43.986999,81.863137
rough_terrain_0787,rough_terrain,0.572932,68.606436,6.751589,903.813518,842.791744,456.171831,386.619913,0.000000,56.468488,116.032939
rough_terrain_0194,rough_terrain,0.546923,18.727692,47.702722,404.562414,211.575128,102.869394,108.705734,0.000000,14.206516,62.185300
flat_terrain_1092,flat_terrain,0.406750,64.523356,17.768941,1002.341133,824.235730,449.783639,374.452091,0.000000,55.578768,95.710039
rough_terrain_1324,rough_terrain,0.604633,33.307571,63.423539,790.963174,289.306337,166.334640,122.971698,0.000000,20.851782,106.020970
flat_terrain_0263,flat_terrain,0.312700,64.119146,33.047880,1082.179973,724.542436,378.055168,346.487268,0.000000,49.059335,94.233550
flat_terrain_1896,flat_terrain,0.448630,39.534982,29.069203,614.399266,435.798294,236.615848,199.182446,0.000000,29.917695,86.013095
