profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_1393,mixed_terrain,0.513747,56.355712,4.269050,805.185191,770.811435,400.485782,370.325654,0.000000,49.786138,104.752744
mixed_terrain_1029,mixed_terrain,0.499162,35.073263,24.758953,548.604077,412.775454,216.847127,195.928327,0.000000,27.567691,61.831337
flat_terrain_0998,flat_terrain,0.401016,36.469139,-8.383390,353.637196,383.283981,184.380849,198.903131,0.000000,25.515518,110.645098
rough_terrain_1488,rough_terrain,0.620369,39.740353,50.733237,883.998366,435.517378,208.591959,226.925419,0.000000,29.656967,92.461597
flat_terrain_0660,flat_terrain,0.373720,12.407007,68.749443,392.708316,122.723538,55.127940,67.595597,0.000000,8.661010,36.693498
mixed_terrain_1933,mixed_terrain,0.535631,15.357208,64.675789,453.463007,160.182229,78.517691,81.664537,0.000000,10.413297,68.525133
flat_terrain_1116,flat_terrain,0.408067,54.529637,25.092124,906.727390,679.210228,351.979494,327.230734,0.000000,43.786594,81.828009
rough_terrain_0787,rough_terrain,0.572932,68.479705,6.796686,924.354735,861.529248,466.184136,395.345112,0.000000,56.461560,115.715615
rough_terrain_0194,rough_terrain,0.546923,18.811215,47.077147,413.757014,218.972014,103.987775,114.984240,0.000000,14.289417,63.445950
flat_terrain_1092,flat_terrain,0.406750,64.284683,18.145030,1025.121613,839.112986,457.258433,381.854553,0.000000,55.320621,95.361281
rough_terrain_1324,rough_terrain,0.604633,33.354412,62.566988,808.939610,302.810464,170.811286,131.999178,0.000000,21.346680,111.106846
flat_terrain_0263,flat_terrain,0.312700,64.096506,32.923631,1106.774972,742.384470,387.218248,355.166222,0.000000,49.105894,94.454856
flat_terrain_1896,flat_terrain,0.448630,39.237573,29.152058,628.362886,445.182171,240.972726,204.209445,0.000000,29.855100,86.000618
rough_terrain_1101,rough_terrain,0.589434,47.276585,52.527070,972.195882,461.529868,259.456859,202.073008,0.000000,30.641772,108.786962
rough_terrain_1350,rough_terrain,0.606610,38.633557,40.855628,694.628279,410.833533,193.696398,217.137135,0.000000,26.792990,104.553877
mixed_terrain_1127,mixed_terrain,0.503386,48.347932,6.490702,641.345074,599.717274,308.791699,290.925574,0.000000,38.753788,79.384530
rough_terrain_0768,rough_terrain,0.572368,46.070688,-4.539452,559.314926,584.704757,298.906466,285.798290,0.000000,39.162327,114.119615
mixed_terrain_1526,mixed_terrain,0.519067,13.813985,77.549148,611.208024,137.221406,69.816513,67.404893,0.000000,9.150479,95.048856
mixed_terrain_0475,mixed_terrain,0.473975,28.876967,43.388647,559.918149,316.977238,166.792558,150.184680,0.000000,21.562827,91.199308
flat_terrain_1219,flat_terrain,0.414493,15.214440,43.141857,324.489398,184.498647,94.651689,89.846958,0.000000,12.407429,44.832010
flat_terrain_0422,flat_terrain,0.342982,34.159215,-7.912694,382.269681,412.517511,220.573135,191.944376,0.000000,27.721978,66.545392
flat_terrain_0901,flat_terrain,0.394660,39.763345,69.772261,1186.215754,358.566197,165.898652,192.667545,0.000000,23.950663,117.128178
rough_terrain_1235,rough_terrain,0.597216,41.726654,35.062786,684.160046,444.274476,211.988287,232.286189,0.000000,28.584041,98.299969
mixed_terrain_1291,mixed_terrain,0.510110,21.054763,30.251237,318.619303,222.233022,131.541094,90.691928,0.000000,15.309756,48.524607
flat_terrain_0706,flat_terrain,0.377977,22.483668,63.977958,625.556459,225.338210,113.945334,111.392876,0.000000,15.681610,114.548625
rough_terrain_1103,rough_terrain,0.589563,33.258328,21.236796,357.224786,281.361687,152.736086,128.625602,0.000000,19.600041,96.931843
flat_terrain_0762,flat_terrain,0.383250,12.974517,76.057339,520.759076,124.683580,53.265651,71.417929,0.000000,8.288370,77.334916
flat_terrain_1882,flat_terrain,0.447720,62.064087,10.181819,942.866270,846.865328,457.569442,389.295886,0.000000,54.850030,93.093759
rough_terrain_0231,rough_terrain,0.548106,62.425263,14.023813,879.109115,755.824499,381.649711,374.174788,0.000000,50.122895,101.683237
flat_terrain_0027,flat_terrain,0.158328,65.189237,11.986381,897.260217,789.711191,433.895792,355.815399,0.000000,53.327690,105.434342
rough_terrain_0796,rough_terrain,0.573507,43.912261,21.881107,602.751087,470.862475,251.953368,218.909107,0.000000,30.316732,94.083970
flat_terrain_0546,flat_terrain,0.360670,67.662695,6.581542,948.087403,885.688637,473.357634,412.331004,0.000000,57.781540,109.364083
rough_terrain_0814,rough_terrain,0.574613,21.284002,49.255864,445.510424,226.070417,116.796112,109.274306,0.000000,15.135336,47.331790
mixed_terrain_0311,mixed_terrain,0.467045,35.263233,48.227950,675.050295,349.487376,189.822204,159.665172,0.000000,23.659264,80.912388
flat_terrain_1525,flat_terrain,0.431194,60.694789,22.146929,933.601926,726.837770,376.355151,350.482619,0.000000,48.045084,105.258069
flat_terrain_0047,flat_terrain,0.179088,41.239063,1.926779,426.643965,418.423480,242.395017,176.028464,0.000000,29.354399,96.373311
mixed_terrain_0631,mixed_terrain,0.481272,14.176733,48.954434,293.222263,149.676964,47.958063,101.718901,0.000000,9.811482,58.506936
mixed_terrain_1529,mixed_terrain,0.519112,45.355158,44.556153,941.554518,522.034047,271.716298,250.317748,0.000000,34.181116,181.470760
mixed_terrain_0841,mixed_terrain,0.491006,39.722871,46.974375,618.491944,327.959219,170.882491,157.076728,0.000000,22.881315,110.150380
flat_terrain_1289,flat_terrain,0.418379,36.824047,29.485581,590.479224,416.372993,204.217534,212.155458,0.000000,27.518719,86.053512
flat_terrain_0831,flat_terrain,0.388934,53.617885,38.669632,946.798116,580.674769,294.799048,285.875721,0.000000,37.137282,105.896485
mixed_terrain_0774,mixed_terrain,0.488211,61.630156,-4.233271,833.188493,868.459623,475.162133,393.297490,0.000000,56.731445,117.167580
flat_terrain_0559,flat_terrain,0.362514,26.059474,60.776847,575.132971,225.585287,104.830544,120.754743,0.000000,15.033295,86.406708
mixed_terrain_0447,mixed_terrain,0.472933,35.429327,36.030725,635.360190,406.435308,207.049791,199.385517,0.000000,26.030903,83.660236
flat_terrain_1926,flat_terrain,0.450241,22.180080,65.465002,617.485486,213.248598,122.797402,90.451196,0.000000,14.122765,76.036109
rough_terrain_0658,rough_terrain,0.567077,40.648124,53.885361,969.411472,447.040599,226.623110,220.417489,0.000000,30.085099,171.519186
mixed_terrain_1346,mixed_terrain,0.512112,21.852329,68.626041,691.668520,217.003798,114.843892,102.159906,0.000000,14.096996,68.000274
rough_terrain_0233,rough_terrain,0.548151,17.117423,61.399463,491.081005,189.559905,100.149176,89.410729,0.000000,13.063761,45.092751
mixed_terrain_1287,mixed_terrain,0.509908,59.427346,3.545014,819.731644,790.672041,401.435673,389.236368,0.000000,51.278773,89.336020
mixed_terrain_0466,mixed_terrain,0.473642,41.626324,47.449113,801.249700,421.063826,189.428737,231.635088,0.000000,27.660267,107.849896
flat_terrain_1175,flat_terrain,0.411687,26.590442,71.887775,931.598922,261.893185,121.780352,140.112833,0.000000,16.883486,83.665147
mixed_terrain_1024,mixed_terrain,0.499001,55.401612,15.613349,774.002891,653.155118,356.989943,296.165175,0.000000,43.084910,88.264797
mixed_terrain_1130,mixed_terrain,0.503565,24.157742,0.496945,304.513062,302.999800,154.744830,148.254971,0.000000,19.379117,48.904115
flat_terrain_0449,flat_terrain,0.346314,28.769868,2.038832,320.204650,313.676214,184.041018,129.635197,0.000000,21.765903,71.742214
flat_terrain_1432,flat_terrain,0.425968,63.879304,-1.452321,874.464082,887.164110,482.046924,405.117186,0.000000,59.049787,90.239510
rough_terrain_0220,rough_terrain,0.547690,22.643353,69.629325,707.335410,214.822535,112.108601,102.713934,0.000000,15.354999,89.072814
mixed_terrain_1263,mixed_terrain,0.508834,48.399353,6.995041,647.532128,602.236990,310.267595,291.969395,0.000000,40.520171,120.922517
mixed_terrain_0074,mixed_terrain,0.456538,34.894620,41.941538,642.910315,373.263842,182.540463,190.723379,0.000000,24.435019,84.073580
