profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_1393,medium_roughness,0.513747,56.304710,5.102296,805.185191,764.102255,396.581612,367.520644,0.000000,49.533527,105.926773
medium_roughness_1029,medium_roughness,0.499162,35.611858,23.207382,548.604077,421.287432,223.328135,197.959297,0.000000,28.386341,65.154669
low_roughness_0998,low_roughness,0.401016,35.722580,-6.869079,353.637196,377.928816,187.983528,189.945288,0.000000,25.320155,105.822064
high_roughness_1488,high_roughness,0.620369,41.630177,48.415616,883.998366,456.005115,225.300495,230.704620,0.000000,31.213792,107.017407
low_roughness_0660,low_roughness,0.373720,12.775995,70.564714,392.708316,115.594815,60.050324,55.544491,0.000000,8.433206,43.418399
medium_roughness_1933,medium_roughness,0.535631,15.928027,64.007564,453.463007,163.212383,91.467900,71.744483,0.000000,10.614518,72.422899
low_roughness_1116,low_roughness,0.408067,54.808651,23.997694,906.727390,689.133721,368.167018,320.966703,0.000000,44.717143,81.135255
high_roughness_0787,high_roughness,0.572932,68.410766,8.515506,924.354735,845.641256,459.302608,386.338648,0.000000,55.412794,112.105802
high_roughness_0194,high_roughness,0.546923,18.549176,47.915504,413.757014,215.503257,111.726685,103.776572,0.000000,14.042085,63.336328
low_roughness_1092,low_roughness,0.406750,65.351035,16.888372,1025.121613,851.995265,480.514652,371.480613,0.000000,56.433966,93.390776
high_roughness_1324,high_roughness,0.604633,35.724998,59.093357,808.939610,330.910040,204.303387,126.606654,0.000000,23.281474,126.288197
low_roughness_0263,low_roughness,0.312700,64.613036,31.118949,1106.774972,762.358236,395.953014,366.405222,0.000000,50.609053,90.444058
low_roughness_1896,low_roughness,0.448630,39.825642,29.732051,628.362886,441.537714,237.415573,204.122142,0.000000,29.639574,92.402647
high_roughness_1101,high_roughness,0.589434,48.846961,49.025621,972.195882,495.570816,271.523254,224.047562,0.000000,33.067405,107.890503
high_roughness_1350,high_roughness,0.606610,39.036936,38.587282,694.628279,426.590104,205.213350,221.376754,0.000000,27.711569,103.839715
medium_roughness_1127,medium_roughness,0.503386,48.378979,5.991029,641.345074,602.921901,317.658370,285.263531,0.000000,39.145384,77.657909
high_roughness_0768,high_roughness,0.572368,45.817776,-3.942232,559.314926,581.364420,301.967326,279.397095,0.000000,39.220634,108.461651
medium_roughness_1526,medium_roughness,0.519067,15.827378,73.652265,611.208024,161.039470,83.133294,77.906177,0.000000,10.674203,94.542223
medium_roughness_0475,medium_roughness,0.473975,30.541655,42.100465,559.918149,324.190004,171.860859,152.329145,0.000000,22.311225,102.147598
low_roughness_1219,low_roughness,0.414493,15.762422,40.074911,324.489398,194.450562,101.477643,92.972919,0.000000,13.148532,38.107109
low_roughness_0422,low_roughness,0.342982,34.537285,-6.482334,382.269681,407.049678,220.414013,186.635665,0.000000,27.493961,73.270293
