profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_1393,mixed_terrain,0.513747,56.299322,4.954146,805.185191,765.295143,398.707459,366.587684,0.000000,49.631277,105.930317
mixed_terrain_1029,mixed_terrain,0.499162,35.465664,25.388682,548.604077,409.320732,215.321054,193.999678,0.000000,27.505821,65.324036
flat_terrain_0998,flat_terrain,0.401016,35.841762,-8.104973,353.637196,382.299395,187.806326,194.493068,0.000000,25.549180,105.815404
rough_terrain_1488,rough_terrain,0.620369,40.212289,51.147757,883.998366,431.853033,210.320956,221.532077,0.000000,29.677012,92.595530
flat_terrain_0660,flat_terrain,0.373720,13.110636,70.277577,392.708316,116.722427,53.553776,63.168651,0.000000,8.466040,43.587766
mixed_terrain_1933,mixed_terrain,0.535631,15.624883,64.945785,453.463007,158.957896,80.368184,78.589712,0.000000,10.253244,71.010515
flat_terrain_1116,flat_terrain,0.408067,54.689824,24.791818,906.727390,681.933188,356.326502,325.606687,0.000000,44.263608,81.139912
rough_terrain_0787,rough_terrain,0.572932,68.545016,7.819688,924.354735,852.073078,464.813243,387.259835,0.000000,55.736856,112.110248
rough_terrain_0194,rough_terrain,0.546923,18.447972,49.924475,413.757014,207.190996,103.252752,103.938244,0.000000,13.408175,63.946746
flat_terrain_1092,flat_terrain,0.406750,64.856621,18.236285,1025.121613,838.177512,460.328669,377.848843,0.000000,55.559624,93.377172
rough_terrain_1324,rough_terrain,0.604633,34.524326,61.200161,808.939610,313.867265,187.387434,126.479830,0.000000,22.188644,110.721913
flat_terrain_0263,flat_terrain,0.312700,64.412658,33.477563,1106.774972,736.253682,388.258106,347.995577,0.000000,48.850132,90.437977
flat_terrain_1896,flat_terrain,0.448630,39.882395,29.308405,628.362886,444.199750,245.890042,198.309708,0.000000,29.721669,92.404192
rough_terrain_1101,rough_terrain,0.589434,48.356287,51.019436,972.195882,476.187023,269.109369,207.077653,0.000000,31.848425,107.865194
rough_terrain_1350,rough_terrain,0.606610,38.760481,40.040534,694.628279,416.495405,197.649451,218.845954,0.000000,26.963598,103.839882
mixed_terrain_1127,mixed_terrain,0.503386,48.346135,6.753319,641.345074,598.032995,310.916816,287.116179,0.000000,38.822407,77.657967
rough_terrain_0768,rough_terrain,0.572368,45.794659,-3.815830,559.314926,580.657433,300.849911,279.807522,0.000000,39.176898,108.463016
mixed_terrain_1526,mixed_terrain,0.519067,14.028599,78.631856,611.208024,130.603813,66.489695,64.114118,0.000000,8.637861,95.026139
mixed_terrain_0475,mixed_terrain,0.473975,30.253597,43.369661,559.918149,317.083548,175.039852,142.043695,0.000000,21.881852,102.148321
flat_terrain_1219,flat_terrain,0.414493,15.231158,45.042891,324.489398,178.329994,95.623294,82.706700,0.000000,11.968934,37.937741
flat_terrain_0422,flat_terrain,0.342982,34.533759,-6.457597,382.269681,406.955115,221.099915,185.855200,0.000000,27.510769,73.439660
