profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_1393,mixed_terrain,0.513747,53.617570,10.881744,805.185191,717.567000,386.852889,330.714111,0.000000,46.456660,104.306626
mixed_terrain_1029,mixed_terrain,0.499162,33.842175,28.853868,548.604077,390.310582,205.049310,185.261272,0.000000,26.146877,66.442358
flat_terrain_0998,flat_terrain,0.401016,31.709649,10.656290,353.637196,315.952590,148.719857,167.232733,0.000000,21.109992,107.698716
rough_terrain_1488,rough_terrain,0.620369,39.463996,49.655826,883.998366,445.041678,197.608528,247.433150,0.000000,30.149502,93.833569
flat_terrain_0660,flat_terrain,0.373720,9.932799,74.434903,392.708316,100.396264,34.669971,65.726292,0.000000,7.099366,38.269708
mixed_terrain_1933,mixed_terrain,0.535631,15.685076,63.811202,453.463007,164.102813,79.344945,84.757868,0.000000,10.668344,73.609133
flat_terrain_1116,flat_terrain,0.408067,47.705112,35.151829,906.727390,587.996126,303.929519,284.066608,0.000000,37.713413,83.491109
rough_terrain_0787,rough_terrain,0.572932,63.417313,10.826062,924.354735,824.283517,469.801446,354.482071,0.000000,53.512524,112.505719
rough_terrain_0194,rough_terrain,0.546923,14.994924,61.722008,413.757014,158.377877,81.409319,76.968558,0.000000,10.527744,67.276728
flat_terrain_1092,flat_terrain,0.406750,55.392381,29.643897,1025.121613,721.235621,396.830575,324.405046,0.000000,47.132714,90.644018
rough_terrain_1324,rough_terrain,0.604633,29.069513,64.355927,808.939610,288.339026,156.258133,132.080892,0.000000,19.984432,103.776997
flat_terrain_0263,flat_terrain,0.312700,63.700426,34.272724,1106.774972,727.453036,384.570369,342.882667,0.000000,48.222204,109.225014
flat_terrain_1896,flat_terrain,0.448630,35.093923,35.004003,628.362886,408.410724,228.806097,179.604627,0.000000,26.896029,81.885944
rough_terrain_1101,rough_terrain,0.589434,46.536691,50.337364,972.195882,482.818101,266.014983,216.803118,0.000000,31.490892,116.192326
rough_terrain_1350,rough_terrain,0.606610,40.478500,43.491786,694.628279,392.522037,187.802371,204.719666,0.000000,25.611015,123.277470
mixed_terrain_1127,mixed_terrain,0.503386,41.147417,20.663809,641.345074,508.818750,256.181942,252.636807,0.000000,33.050946,77.211360
rough_terrain_0768,rough_terrain,0.572368,41.724738,6.474121,559.314926,523.104202,261.305814,261.798389,0.000000,35.367697,138.226285
mixed_terrain_1526,mixed_terrain,0.519067,14.575774,76.509400,611.208024,143.576431,72.572044,71.004388,0.000000,9.689145,98.484400
mixed_terrain_0475,mixed_terrain,0.473975,24.087584,49.615245,559.918149,282.113386,139.617665,142.495722,0.000000,18.996432,60.880471
flat_terrain_1219,flat_terrain,0.414493,13.685625,50.762880,324.489398,159.769234,88.077386,71.691848,0.000000,10.570940,43.255800
flat_terrain_0422,flat_terrain,0.342982,32.513927,1.636274,382.269681,376.014703,203.037348,172.977355,0.000000,25.409934,68.797658
flat_terrain_0901,flat_terrain,0.394660,39.028139,67.911280,1186.215754,380.641457,184.854932,195.786525,0.000000,25.345182,115.551969
rough_terrain_1235,rough_terrain,0.597216,43.346726,35.532853,684.160046,441.058462,221.544420,219.514042,0.000000,28.386446,113.178261
mixed_terrain_1291,mixed_terrain,0.510110,17.908910,37.047472,318.619303,200.578907,106.508519,94.070388,0.000000,13.686371,50.095336
flat_terrain_0706,flat_terrain,0.377977,21.634902,69.060057,625.556459,193.546814,105.452262,88.094552,0.000000,13.368992,112.972415
rough_terrain_1103,rough_terrain,0.589563,27.263189,24.427642,357.224786,269.963195,146.714482,123.248714,0.000000,18.489532,91.115216
flat_terrain_0762,flat_terrain,0.383250,12.670213,77.822973,520.759076,115.488883,50.612871,64.876012,0.000000,7.744417,82.340576
flat_terrain_1882,flat_terrain,0.447720,59.561196,15.101956,942.866270,800.475016,455.574962,344.900054,0.000000,51.557738,108.328583
rough_terrain_0231,rough_terrain,0.548106,54.046436,25.905714,879.109115,651.369621,329.183007,322.186615,0.000000,42.848458,100.107027
flat_terrain_0027,flat_terrain,0.158328,62.954056,17.542523,897.260217,739.858137,405.248527,334.609610,0.000000,49.601409,108.184454
rough_terrain_0796,rough_terrain,0.573507,39.260608,29.791114,602.751087,423.184823,225.209103,197.975720,0.000000,27.006102,99.950729
flat_terrain_0546,flat_terrain,0.360670,59.126321,16.159516,948.087403,794.881067,426.701629,368.179439,0.000000,51.821168,99.615084
rough_terrain_0814,rough_terrain,0.574613,21.416406,49.004133,445.510424,227.191902,110.275717,116.916185,0.000000,15.021403,58.257496
