profile,family,roughness_score,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0057,rough_terrain,0.645586,2.935602,95.126063,2.508552,5.741270
mixed_terrain_0049,mixed_terrain,0.528396,4.620953,84.811761,3.968351,11.265506
rough_terrain_0002,rough_terrain,0.580278,2.632849,87.958500,2.153997,5.499064
flat_terrain_0024,flat_terrain,0.385367,5.602202,83.317460,4.667228,11.669850
mixed_terrain_0062,mixed_terrain,0.545184,1.801978,93.790300,1.437063,5.801180
mixed_terrain_0097,mixed_terrain,0.574225,9.125115,80.882093,7.159230,20.999977
flat_terrain_0059,flat_terrain,0.436208,5.868681,92.159772,4.999573,20.664525
rough_terrain_0041,rough_terrain,0.623524,3.132565,71.602055,2.629039,6.175647
rough_terrain_0082,rough_terrain,0.699762,20.647097,29.762270,17.017039,41.348976
flat_terrain_0020,flat_terrain,0.373535,3.618560,87.787165,2.678706,18.303353
rough_terrain_0096,rough_terrain,0.762752,8.486778,67.283150,6.809683,19.505798
mixed_terrain_0043,mixed_terrain,0.518069,6.928464,94.928801,6.115865,17.499885
mixed_terrain_0068,mixed_terrain,0.548934,6.955960,94.642045,5.857038,17.303817
flat_terrain_0050,flat_terrain,0.424800,2.046746,90.060149,1.674685,4.620522
flat_terrain_0072,flat_terrain,0.450193,6.541825,92.772835,4.510065,45.706411
mixed_terrain_0015,mixed_terrain,0.494043,6.401906,88.735702,4.632762,23.781728
rough_terrain_0022,rough_terrain,0.599387,5.908423,95.182842,5.215623,12.911367
mixed_terrain_0096,mixed_terrain,0.574087,5.310240,87.370903,4.169175,24.889420
rough_terrain_0053,rough_terrain,0.639456,4.539432,93.314992,3.240335,29.921448
rough_terrain_0029,rough_terrain,0.610425,4.156486,88.663884,3.189860,22.975635
flat_terrain_0035,flat_terrain,0.401768,7.283976,69.743076,5.773088,15.588151
rough_terrain_0081,rough_terrain,0.699659,7.192076,82.167561,5.292290,17.356918
flat_terrain_0026,flat_terrain,0.389209,1.835542,87.996082,1.510203,3.599989
mixed_terrain_0095,mixed_terrain,0.573663,4.918746,81.304824,3.585905,20.721038
rough_terrain_0043,rough_terrain,0.626402,6.710761,92.738360,5.305909,16.242212
flat_terrain_0083,flat_terrain,0.464000,5.023868,72.305041,4.113328,10.086331
rough_terrain_0016,rough_terrain,0.593975,3.783099,82.399000,3.147443,12.056745
mixed_terrain_0045,mixed_terrain,0.524268,6.096184,76.889884,4.744412,16.630307
flat_terrain_0094,flat_terrain,0.475852,5.003458,88.972259,4.007464,22.693200
mixed_terrain_0033,mixed_terrain,0.510233,3.290917,76.358641,2.694109,10.582764
flat_terrain_0090,flat_terrain,0.470004,2.218142,83.474196,1.848162,4.928247
rough_terrain_0084,rough_terrain,0.705586,2.777204,85.233467,2.222852,6.157016
flat_terrain_0017,flat_terrain,0.361466,5.799655,89.559148,4.628182,28.240529
flat_terrain_0016,flat_terrain,0.351260,4.930102,73.143132,4.229125,10.359854
mixed_terrain_0090,mixed_terrain,0.568883,8.701225,80.451963,6.763821,32.827684
rough_terrain_0073,rough_terrain,0.687021,6.602989,95.391509,5.316690,32.121981
mixed_terrain_0040,mixed_terrain,0.514615,3.317079,94.844918,2.731451,8.573495
mixed_terrain_0050,mixed_terrain,0.530821,4.901583,71.701676,3.775177,10.360862
rough_terrain_0006,rough_terrain,0.583065,6.505574,59.496001,5.333998,16.695437
mixed_terrain_0076,mixed_terrain,0.554366,13.522737,63.077575,10.248558,32.228958
rough_terrain_0045,rough_terrain,0.628299,10.682727,80.046630,7.928479,24.890940
rough_terrain_0088,rough_terrain,0.723165,8.947031,81.326693,7.405434,19.580199
flat_terrain_0092,flat_terrain,0.470548,2.242223,93.137121,1.779757,10.762672
rough_terrain_0093,rough_terrain,0.733751,8.090579,82.861483,6.379283,17.672472
rough_terrain_0034,rough_terrain,0.613763,4.056501,88.708048,2.979013,13.057814
flat_terrain_0008,flat_terrain,0.319404,3.392142,89.194998,2.500799,18.796149
rough_terrain_0052,rough_terrain,0.639302,5.653963,54.182698,4.609791,11.156883
mixed_terrain_0029,mixed_terrain,0.506059,7.876807,57.813191,6.389699,19.968373
mixed_terrain_0032,mixed_terrain,0.508430,7.585647,84.809128,5.903916,20.842898
flat_terrain_0052,flat_terrain,0.426353,4.825983,92.749952,3.598574,15.030299
rough_terrain_0020,rough_terrain,0.597227,11.459205,23.106014,9.935144,19.923769
rough_terrain_0032,rough_terrain,0.613304,7.880241,79.192224,6.158862,32.287139
rough_terrain_0094,rough_terrain,0.736189,3.922742,81.422105,3.291555,11.810186
mixed_terrain_0080,mixed_terrain,0.559593,4.801737,86.584370,3.622003,15.315156
mixed_terrain_0012,mixed_terrain,0.491484,4.805561,83.021550,3.679432,24.460726
flat_terrain_0003,flat_terrain,0.302221,2.010454,92.861523,1.333478,13.507972
flat_terrain_0042,flat_terrain,0.415319,8.598600,1.523891,7.295568,15.646960
rough_terrain_0063,rough_terrain,0.665476,3.506234,94.296317,3.004979,7.932680
mixed_terrain_0044,mixed_terrain,0.518875,3.757499,96.850254,3.137008,15.654583
mixed_terrain_0020,mixed_terrain,0.499396,4.108395,97.042582,2.997922,21.054821
flat_terrain_0064,flat_terrain,0.441335,4.228761,84.284221,3.321212,25.262699
rough_terrain_0015,rough_terrain,0.593281,5.739552,80.023126,4.566488,12.912849
flat_terrain_0021,flat_terrain,0.375115,3.055311,94.442936,2.643851,7.314780
flat_terrain_0031,flat_terrain,0.391849,3.517487,91.078403,2.650439,23.444638
mixed_terrain_0074,mixed_terrain,0.553602,8.849473,68.584212,6.210345,22.921066
flat_terrain_0051,flat_terrain,0.425033,5.404806,95.972591,4.275556,29.883121
flat_terrain_0028,flat_terrain,0.389795,1.341244,97.217897,1.059946,7.832526
flat_terrain_0076,flat_terrain,0.453272,3.918374,70.729480,3.342647,7.104491
flat_terrain_0047,flat_terrain,0.420568,7.285153,38.417766,6.002923,21.112123
rough_terrain_0027,rough_terrain,0.607659,4.573680,96.657407,3.258296,15.412276
rough_terrain_0039,rough_terrain,0.618312,10.732747,62.699788,8.052685,28.504638
flat_terrain_0069,flat_terrain,0.445275,4.233180,42.601366,3.866252,6.798590
rough_terrain_0003,rough_terrain,0.580360,2.934106,89.546399,2.556000,6.012638
flat_terrain_0061,flat_terrain,0.437321,7.205002,86.931026,5.813703,24.463002
flat_terrain_0043,flat_terrain,0.416351,5.745886,94.930706,4.746627,24.240939
rough_terrain_0066,rough_terrain,0.677298,5.432031,97.210554,4.154089,19.393850
rough_terrain_0087,rough_terrain,0.720203,5.125867,86.960861,4.012558,11.500966
flat_terrain_0018,flat_terrain,0.365285,6.011371,96.893602,4.591748,30.551852
mixed_terrain_0047,mixed_terrain,0.526686,5.774821,94.783792,4.990840,18.100600
rough_terrain_0005,rough_terrain,0.581968,5.574386,86.988578,4.207829,17.768533
mixed_terrain_0041,mixed_terrain,0.514645,7.999478,80.267251,6.383419,25.164973
flat_terrain_0013,flat_terrain,0.349796,3.584940,88.206785,2.712403,12.975113
rough_terrain_0019,rough_terrain,0.597014,3.383468,86.673154,2.652700,12.750640
mixed_terrain_0008,mixed_terrain,0.486040,6.785194,80.334274,5.516701,17.652715
flat_terrain_0068,flat_terrain,0.442969,9.286682,46.229042,7.698855,17.235790
mixed_terrain_0042,mixed_terrain,0.517742,5.744509,81.538886,4.554293,16.991499
rough_terrain_0064,rough_terrain,0.675029,12.189892,65.387624,9.085944,27.522315
rough_terrain_0004,rough_terrain,0.581642,4.071290,94.837629,3.212238,12.702619
flat_terrain_0087,flat_terrain,0.467916,16.017971,36.625540,13.304988,29.911681
mixed_terrain_0063,mixed_terrain,0.545486,3.087310,95.842922,2.373612,18.041543
mixed_terrain_0089,mixed_terrain,0.568438,5.888903,92.652381,4.612745,29.848310
rough_terrain_0049,rough_terrain,0.633144,7.020827,67.888708,5.147665,14.482992
mixed_terrain_0002,mixed_terrain,0.482781,5.546236,93.986943,4.527074,30.223062
mixed_terrain_0009,mixed_terrain,0.487725,2.267627,97.048927,1.798568,8.955154
mixed_terrain_0056,mixed_terrain,0.536450,6.274524,88.951512,5.112479,16.455309
flat_terrain_0038,flat_terrain,0.404762,12.533995,53.210998,9.656836,25.858339
