profile,family,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
flat_0075,flat_terrain,7.530436,70.676948,5.786788,14.386809
mixed_0038,mixed_terrain,14.289614,67.211055,11.612517,35.222039
mixed_0071,mixed_terrain,8.590942,77.173600,7.100093,19.051236
flat_0114,flat_terrain,12.223279,76.825518,7.509445,30.429071
rough_0091,rough_terrain,32.450144,61.521438,26.224793,73.471241
rough_0103,rough_terrain,15.881130,77.618033,12.128733,34.952334
mixed_0056,mixed_terrain,12.896135,78.661074,10.337094,30.777580
rough_0052,rough_terrain,20.997935,60.942647,15.851815,56.084533
flat_0006,flat_terrain,10.077081,73.945771,7.001463,22.721149
mixed_0089,mixed_terrain,4.920219,84.189006,3.758116,14.015305
mixed_0080,mixed_terrain,14.268431,74.177352,11.533446,33.383264
flat_0030,flat_terrain,11.613355,58.035952,8.941492,22.105749
rough_0067,rough_terrain,14.684850,73.392714,10.279033,41.530243
flat_0057,flat_terrain,5.577626,80.287223,4.573394,13.023271
flat_0042,flat_terrain,6.814847,81.345971,5.675764,14.327377
rough_0004,rough_terrain,23.965055,64.292308,20.358633,48.781171
mixed_0005,mixed_terrain,7.248781,84.676765,6.029870,17.920961
mixed_0065,mixed_terrain,7.787453,81.432635,5.593967,26.899528
flat_0084,flat_terrain,7.617891,65.740345,6.072207,16.745424
rough_0061,rough_terrain,17.744258,70.393956,14.293175,37.895714
mixed_0113,mixed_terrain,4.212306,82.321296,3.197530,12.029634
flat_0060,flat_terrain,13.531509,67.741653,9.417615,27.641922
flat_0054,flat_terrain,6.144244,60.832050,5.250870,13.331629
flat_0108,flat_terrain,5.548387,75.119331,4.527710,10.204110
flat_0015,flat_terrain,10.742306,65.013969,8.881712,21.730052
flat_0051,flat_terrain,13.037817,51.096708,10.468680,30.022516
mixed_0002,mixed_terrain,6.936331,83.709223,5.285748,17.561371
mixed_0104,mixed_terrain,11.324780,75.817214,8.634555,29.145228
flat_0105,flat_terrain,5.687898,76.365118,4.688444,14.175835
flat_0027,flat_terrain,8.693692,71.226329,6.275003,17.774241
mixed_0107,mixed_terrain,3.781147,86.287948,2.774577,10.827076
rough_0058,rough_terrain,26.560596,66.796723,21.957005,52.622367
flat_0090,flat_terrain,13.116548,56.432320,9.755670,25.673276
rough_0118,rough_terrain,10.613058,74.741521,7.776562,30.443015
mixed_0014,mixed_terrain,5.506245,82.026633,4.250953,14.416316
rough_0040,rough_terrain,19.766306,74.630139,14.488242,47.955127
flat_0066,flat_terrain,7.531528,71.773065,6.078687,20.246846
flat_0096,flat_terrain,1.728486,91.457695,1.449796,5.190434
mixed_0026,mixed_terrain,9.050198,79.539148,6.567582,24.433775
flat_0000,flat_terrain,3.986761,67.408637,3.646104,6.460178
mixed_0059,mixed_terrain,11.155076,74.366514,8.143564,31.317370
flat_0081,flat_terrain,5.082153,71.960150,4.578106,12.128689
mixed_0053,mixed_terrain,5.320938,85.617320,4.002680,14.121309
flat_0063,flat_terrain,4.771655,84.359283,3.473435,10.836104
mixed_0041,mixed_terrain,4.721796,85.094187,3.482189,17.078771
rough_0043,rough_terrain,11.337707,66.889431,9.471715,24.338558
mixed_0047,mixed_terrain,7.284337,81.537693,5.637482,17.690488
rough_0079,rough_terrain,25.683275,64.645594,22.054194,49.982635
rough_0037,rough_terrain,21.280716,74.129579,17.512514,43.010456
mixed_0077,mixed_terrain,4.994926,83.862456,3.586180,15.027354
flat_0024,flat_terrain,4.921172,65.697814,4.459116,8.269336
rough_0001,rough_terrain,16.281728,74.852390,12.523123,38.067142
rough_0073,rough_terrain,25.670666,60.453567,19.425637,60.016045
flat_0012,flat_terrain,4.635071,70.171459,3.546086,10.256448
mixed_0023,mixed_terrain,11.380705,78.937517,8.468598,25.676942
rough_0013,rough_terrain,21.115221,67.369132,17.602919,41.171172
mixed_0110,mixed_terrain,8.270229,79.545771,6.198387,19.019576
rough_0016,rough_terrain,21.688410,65.950591,16.500293,54.277840
flat_0102,flat_terrain,8.359484,49.119455,7.025952,15.896905
rough_0007,rough_terrain,24.530025,68.138927,20.582792,48.783577
rough_0094,rough_terrain,15.733602,67.979190,11.158492,42.613062
mixed_0044,mixed_terrain,7.317021,81.641763,5.282718,19.049318
flat_0072,flat_terrain,9.506665,80.491920,7.758192,18.335035
mixed_0020,mixed_terrain,4.505074,88.088319,3.350910,14.766006
rough_0112,rough_terrain,13.958379,67.940626,10.510411,40.253724
rough_0046,rough_terrain,12.733702,79.426358,9.697834,32.041587
rough_0076,rough_terrain,19.448959,59.114947,15.680891,47.309880
rough_0070,rough_terrain,15.013855,79.819342,10.920267,52.227792
mixed_0029,mixed_terrain,4.401792,84.919499,3.229246,14.802017
flat_0018,flat_terrain,11.966980,48.666669,8.851889,24.202126
flat_0045,flat_terrain,11.944139,60.771559,9.795689,23.195236
rough_0022,rough_terrain,15.501409,69.997319,12.497291,37.329139
mixed_0035,mixed_terrain,12.157898,75.596605,8.482324,33.497935
rough_0019,rough_terrain,21.522915,76.233476,16.915851,46.495639
mixed_0086,mixed_terrain,4.423746,85.068937,3.290449,14.337339
mixed_0116,mixed_terrain,3.964834,85.518038,2.786205,14.944027
rough_0085,rough_terrain,12.780586,70.950609,9.953103,37.127834
flat_0033,flat_terrain,6.095549,76.544345,4.778593,16.412581
rough_0049,rough_terrain,28.970731,70.779139,20.154049,71.714051
mixed_0101,mixed_terrain,8.681229,78.221407,6.237095,25.888104
mixed_0062,mixed_terrain,12.222840,72.378954,9.944529,29.687774
rough_0100,rough_terrain,22.988166,64.736528,19.882211,42.344028
flat_0093,flat_terrain,11.151617,66.693059,8.449156,23.159504
rough_0115,rough_terrain,14.593499,67.821131,11.879922,37.370850
flat_0087,flat_terrain,2.891374,85.414372,2.377016,8.838135
rough_0109,rough_terrain,18.023010,77.953663,15.141299,42.536562
flat_0048,flat_terrain,6.917770,86.052144,4.928168,20.140268
rough_0025,rough_terrain,30.107199,64.334325,24.270268,60.687545
mixed_0092,mixed_terrain,7.027649,84.296759,5.129638,20.334185
flat_0039,flat_terrain,8.605300,68.389303,6.398417,19.565568
