profile,family,roughness_score,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0057,rough_terrain,0.645586,12.154726,73.056424,9.798740,23.594024
mixed_terrain_0049,mixed_terrain,0.528396,8.751742,82.397913,6.992779,35.242964
rough_terrain_0002,rough_terrain,0.580278,6.422353,79.480517,5.000173,17.676540
flat_terrain_0024,flat_terrain,0.385367,16.132763,70.016303,12.101373,40.928035
mixed_terrain_0062,mixed_terrain,0.545184,6.452122,81.606956,5.048670,16.595226
mixed_terrain_0097,mixed_terrain,0.574225,22.438985,70.629206,17.528175,74.679937
flat_terrain_0059,flat_terrain,0.436208,15.511297,84.464198,12.618036,30.959922
rough_terrain_0041,rough_terrain,0.623524,4.757000,82.121795,3.676468,13.099411
rough_terrain_0082,rough_terrain,0.699762,29.703957,18.215807,27.021284,44.688857
flat_terrain_0020,flat_terrain,0.373535,9.914705,71.845524,8.411227,38.524058
rough_terrain_0096,rough_terrain,0.762752,14.941940,54.950542,12.520489,29.555808
mixed_terrain_0043,mixed_terrain,0.518069,20.228100,84.211325,16.483563,67.497269
mixed_terrain_0068,mixed_terrain,0.548934,25.228590,75.650702,20.671347,96.986238
flat_terrain_0050,flat_terrain,0.424800,5.527781,80.543167,4.266513,16.354637
flat_terrain_0072,flat_terrain,0.450193,26.785873,64.182891,20.155384,74.801135
mixed_terrain_0015,mixed_terrain,0.494043,23.565862,73.267446,15.917024,74.047180
rough_terrain_0022,rough_terrain,0.599387,19.016247,85.504773,15.787066,71.514305
mixed_terrain_0096,mixed_terrain,0.574087,13.118905,86.204568,10.538013,25.796435
rough_terrain_0053,rough_terrain,0.639456,10.148364,81.843255,7.943990,45.285323
rough_terrain_0029,rough_terrain,0.610425,9.342308,86.330801,6.554495,57.504389
flat_terrain_0035,flat_terrain,0.401768,15.053410,50.722916,12.152545,29.504063
rough_terrain_0081,rough_terrain,0.699659,10.136565,81.735851,7.406756,31.837111
flat_terrain_0026,flat_terrain,0.389209,4.671793,83.243584,3.783501,13.259563
mixed_terrain_0095,mixed_terrain,0.573663,8.817997,72.948237,7.165075,32.066828
rough_terrain_0043,rough_terrain,0.626402,18.932808,78.072275,14.357018,75.094094
flat_terrain_0083,flat_terrain,0.464000,10.181908,56.325749,8.754580,20.465845
rough_terrain_0016,rough_terrain,0.593975,7.896451,76.467850,6.483978,20.218921
mixed_terrain_0045,mixed_terrain,0.524268,15.058191,62.899066,11.693218,31.690706
flat_terrain_0094,flat_terrain,0.475852,11.825055,83.543131,10.280495,33.626318
mixed_terrain_0033,mixed_terrain,0.510233,5.729194,73.142938,4.571380,21.577930
flat_terrain_0090,flat_terrain,0.470004,6.067337,79.428772,4.752351,18.935487
rough_terrain_0084,rough_terrain,0.705586,7.863295,77.943751,6.600668,30.531877
flat_terrain_0017,flat_terrain,0.361466,18.193278,74.959013,14.881481,72.490909
flat_terrain_0016,flat_terrain,0.351260,7.458577,61.088067,6.285903,15.491323
mixed_terrain_0090,mixed_terrain,0.568883,16.103000,74.150318,13.274668,51.278171
rough_terrain_0073,rough_terrain,0.687021,30.705966,79.677555,23.457742,89.232250
mixed_terrain_0040,mixed_terrain,0.514615,9.833427,90.547490,8.081892,21.512502
mixed_terrain_0050,mixed_terrain,0.530821,7.304116,77.526115,5.545271,30.199324
rough_terrain_0006,rough_terrain,0.583065,6.509389,68.391518,4.817076,31.741662
mixed_terrain_0076,mixed_terrain,0.554366,26.845737,47.994733,22.284835,100.655791
rough_terrain_0045,rough_terrain,0.628299,28.227345,60.977405,23.021814,51.772717
rough_terrain_0088,rough_terrain,0.723165,25.033353,56.253149,21.560998,46.457059
flat_terrain_0092,flat_terrain,0.470548,8.452917,87.323062,6.566337,48.668141
rough_terrain_0093,rough_terrain,0.733751,19.232475,71.874681,14.952639,60.033850
rough_terrain_0034,rough_terrain,0.613763,9.499266,84.375116,7.717266,24.201270
flat_terrain_0008,flat_terrain,0.319404,10.411329,75.092042,7.684386,34.951829
rough_terrain_0052,rough_terrain,0.639302,6.251835,60.764894,4.982799,21.770894
mixed_terrain_0029,mixed_terrain,0.506059,15.961011,34.733467,13.122845,33.145685
mixed_terrain_0032,mixed_terrain,0.508430,16.745018,77.093804,14.481475,42.425506
flat_terrain_0052,flat_terrain,0.426353,16.461779,82.266141,12.805247,52.611508
rough_terrain_0020,rough_terrain,0.597227,15.549940,15.292240,13.697814,25.552171
rough_terrain_0032,rough_terrain,0.613304,20.625604,55.603350,17.627160,66.133166
rough_terrain_0094,rough_terrain,0.736189,10.496270,61.266898,8.496140,29.241927
mixed_terrain_0080,mixed_terrain,0.559593,9.770464,83.066900,7.528667,59.663303
mixed_terrain_0012,mixed_terrain,0.491484,13.870396,59.113813,10.686162,38.948757
flat_terrain_0003,flat_terrain,0.302221,6.363820,76.741934,4.885693,27.789449
flat_terrain_0042,flat_terrain,0.415319,5.465572,43.707873,4.340918,21.305142
rough_terrain_0063,rough_terrain,0.665476,13.231032,77.162086,11.186660,28.052425
mixed_terrain_0044,mixed_terrain,0.518875,15.900020,87.961300,11.827569,58.637268
mixed_terrain_0020,mixed_terrain,0.499396,10.678630,90.168853,7.952606,58.707894
flat_terrain_0064,flat_terrain,0.441335,7.551104,76.931732,5.531869,38.150297
rough_terrain_0015,rough_terrain,0.593281,14.022914,74.834576,11.369507,37.125516
flat_terrain_0021,flat_terrain,0.375115,9.865480,84.049073,7.595080,24.066719
flat_terrain_0031,flat_terrain,0.391849,13.411135,79.074246,10.196186,52.671149
mixed_terrain_0074,mixed_terrain,0.553602,13.510313,66.781867,11.378383,34.126569
flat_terrain_0051,flat_terrain,0.425033,18.767767,75.317901,15.608900,49.127946
flat_terrain_0028,flat_terrain,0.389795,7.373326,89.400142,5.547659,44.767536
flat_terrain_0076,flat_terrain,0.453272,7.207368,59.133035,5.802764,15.286049
flat_terrain_0047,flat_terrain,0.420568,6.154569,59.200369,4.896293,16.841476
rough_terrain_0027,rough_terrain,0.607659,10.443392,88.361261,7.690952,30.436656
rough_terrain_0039,rough_terrain,0.618312,15.177292,64.373257,11.317421,65.807497
flat_terrain_0069,flat_terrain,0.445275,3.487184,60.523972,2.713303,12.011744
rough_terrain_0003,rough_terrain,0.580360,8.163908,80.312791,6.838544,18.639818
flat_terrain_0061,flat_terrain,0.437321,19.313204,75.726484,15.490868,71.239574
flat_terrain_0043,flat_terrain,0.416351,22.588031,85.728381,15.711173,90.670702
rough_terrain_0066,rough_terrain,0.677298,24.588120,79.541732,19.329771,86.443633
rough_terrain_0087,rough_terrain,0.720203,14.108767,80.753225,11.511164,39.692897
flat_terrain_0018,flat_terrain,0.365285,25.195147,73.729566,20.178077,53.822182
mixed_terrain_0047,mixed_terrain,0.526686,24.459320,78.279954,20.559788,65.504220
rough_terrain_0005,rough_terrain,0.581968,20.243672,75.696910,14.435840,71.859022
mixed_terrain_0041,mixed_terrain,0.514645,19.918017,65.411754,17.208945,37.113437
flat_terrain_0013,flat_terrain,0.349796,7.641705,85.473928,5.877516,42.908638
rough_terrain_0019,rough_terrain,0.597014,6.066121,83.430722,4.725081,20.912584
mixed_terrain_0008,mixed_terrain,0.486040,10.017702,78.942960,8.235864,26.735050
flat_terrain_0068,flat_terrain,0.442969,7.893793,59.801789,5.618010,23.604657
mixed_terrain_0042,mixed_terrain,0.517742,15.220138,76.905328,12.197958,74.300179
rough_terrain_0064,rough_terrain,0.675029,17.625274,68.883268,13.196541,68.517112
rough_terrain_0004,rough_terrain,0.581642,13.536814,85.746974,9.915541,60.596047
flat_terrain_0087,flat_terrain,0.467916,24.136204,17.774564,21.104883,39.129724
mixed_terrain_0063,mixed_terrain,0.545486,9.649204,90.516670,7.116107,42.617977
mixed_terrain_0089,mixed_terrain,0.568438,23.924610,68.722000,19.551747,87.354142
rough_terrain_0049,rough_terrain,0.633144,10.358557,59.783004,8.686374,22.793106
mixed_terrain_0002,mixed_terrain,0.482781,17.465079,84.025221,13.391873,51.425990
mixed_terrain_0009,mixed_terrain,0.487725,8.135127,85.473761,6.750333,23.605630
mixed_terrain_0056,mixed_terrain,0.536450,18.068467,59.964103,15.065365,30.217832
flat_terrain_0038,flat_terrain,0.404762,21.229270,35.298634,17.791209,37.814149
rough_terrain_0089,rough_terrain,0.724699,27.170429,70.290383,24.229382,68.129625
rough_terrain_0012,rough_terrain,0.589733,20.944236,62.024659,17.676003,37.996843
mixed_terrain_0094,mixed_terrain,0.572475,8.735656,71.323490,6.833073,21.804618
rough_terrain_0008,rough_terrain,0.584501,17.622243,75.198949,14.534654,44.752334
mixed_terrain_0019,mixed_terrain,0.497618,11.141236,64.857947,7.847904,27.289298
rough_terrain_0026,rough_terrain,0.604959,20.327994,81.647129,16.444054,54.721840
flat_terrain_0062,flat_terrain,0.438648,6.913397,85.715846,5.687066,22.496404
rough_terrain_0097,rough_terrain,0.764657,15.799713,81.317273,12.246988,44.683678
mixed_terrain_0065,mixed_terrain,0.548394,19.103333,77.476212,15.138985,56.952119
flat_terrain_0049,flat_terrain,0.420729,12.849170,89.544358,9.842755,71.290236
rough_terrain_0075,rough_terrain,0.687764,4.459582,81.475416,3.416203,12.019971
mixed_terrain_0001,mixed_terrain,0.480965,17.561998,71.519051,14.297425,34.963642
rough_terrain_0092,rough_terrain,0.732098,25.368456,73.114112,20.899933,78.626925
rough_terrain_0030,rough_terrain,0.611476,16.024059,66.944913,12.983058,47.486079
rough_terrain_0023,rough_terrain,0.604209,21.831488,72.398193,17.826510,88.069029
mixed_terrain_0051,mixed_terrain,0.532094,12.524606,84.668124,9.814284,33.907516
flat_terrain_0019,flat_terrain,0.370120,20.012497,79.186174,16.474296,36.384622
