profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
flat_terrain_0001,flat_terrain,0.296527,63.568537,19.149295,474.010240,383.240623,175.670145,207.570478,124.542287,55.716452,120.174522
rough_terrain_0007,rough_terrain,0.579268,211.259616,-164.239420,593.161589,1567.366739,1066.699773,500.666966,300.400180,171.739868,486.912164
mixed_terrain_0009,mixed_terrain,0.515185,36.477860,-44.916870,143.376753,207.777103,71.306419,136.470684,81.882410,30.409683,82.438637
flat_terrain_0000,flat_terrain,0.221555,179.892422,-108.983931,720.691427,1506.129274,1088.177965,417.951309,250.770786,149.083666,330.565532
rough_terrain_0000,rough_terrain,0.518387,76.111969,-17.193308,279.810170,327.918793,157.355190,170.563603,102.338162,67.462881,131.200293
flat_terrain_0004,flat_terrain,0.357541,45.391224,1.186298,240.736690,237.880836,53.370930,184.509906,110.705944,36.263639,102.180678
flat_terrain_0008,flat_terrain,0.422083,40.474531,2.556530,169.912280,165.568421,84.816002,80.752419,48.451452,34.609077,75.514851
mixed_terrain_0004,mixed_terrain,0.475888,244.940032,-406.762379,407.902886,2067.098366,1414.612185,652.486181,391.491708,178.334915,602.663721
rough_terrain_0004,rough_terrain,0.546581,44.668155,-88.488952,101.770187,191.825559,100.864649,90.960910,54.576546,36.081033,95.696857
rough_terrain_0001,rough_terrain,0.518654,216.648146,-216.682735,497.064562,1574.117647,1091.217058,482.900589,289.740354,159.573924,544.518541
rough_terrain_0003,rough_terrain,0.525494,248.042264,-303.215641,546.541757,2203.741850,1562.971871,640.769979,384.461987,196.232662,532.786638
mixed_terrain_0000,mixed_terrain,0.436507,264.411894,-169.174934,607.653990,1635.652228,1037.221850,598.430379,359.058227,210.174909,511.549659
rough_terrain_0005,rough_terrain,0.557722,237.905449,-268.324050,503.312567,1853.821229,1223.263325,630.557904,378.334742,182.542786,489.416081
flat_terrain_0007,flat_terrain,0.412093,154.407824,-138.808607,580.368358,1385.969593,857.344485,528.625108,317.175065,133.392709,295.552589
mixed_terrain_0003,mixed_terrain,0.445049,105.333441,-36.396020,373.066772,508.848227,298.121004,210.727224,126.436334,84.456345,259.360746
flat_terrain_0005,flat_terrain,0.400426,111.323421,-139.410366,214.823194,514.308996,283.206358,231.102638,138.661583,89.378520,236.126941
mixed_terrain_0005,mixed_terrain,0.481684,184.413150,-91.977781,605.808199,1163.017140,801.917335,361.099805,216.659883,149.201112,326.179846
mixed_terrain_0001,mixed_terrain,0.441171,155.858699,-104.228884,400.434312,817.802526,505.384725,312.417801,187.450681,117.896583,337.430945
flat_terrain_0002,flat_terrain,0.328563,35.543221,-69.247283,62.039865,105.000787,11.447448,93.553339,56.132003,31.992993,68.160175
mixed_terrain_0008,mixed_terrain,0.506738,250.318772,-314.513431,271.718195,1126.308410,690.433411,435.874999,261.525000,211.937004,441.132064
mixed_terrain_0002,mixed_terrain,0.442991,197.103979,-392.442025,265.093434,1305.431475,920.345257,385.086218,231.051731,150.624964,391.339868
rough_terrain_0006,rough_terrain,0.568855,196.091958,-218.832164,333.136890,1062.147555,695.707814,366.439742,219.863845,158.251330,356.691020
rough_terrain_0008,rough_terrain,0.596022,101.988998,-126.703444,264.911400,600.563266,367.435237,233.128030,139.876818,85.771875,203.342192
rough_terrain_0002,rough_terrain,0.522237,409.562281,-337.761242,482.267720,2111.181157,1133.634778,977.546379,586.527828,331.958128,923.135486
mixed_terrain_0007,mixed_terrain,0.502338,50.804476,1.859914,162.845221,159.816440,57.709986,102.106454,61.263872,40.446746,107.346746
mixed_terrain_0006,mixed_terrain,0.482913,173.008222,-464.609896,206.941929,1168.414611,836.443141,331.971470,199.182882,129.415771,347.348762
flat_terrain_0003,flat_terrain,0.339790,111.247192,-63.019136,427.240679,696.484061,413.329340,283.154721,169.892833,97.490459,202.633113
flat_terrain_0006,flat_terrain,0.408410,77.730465,17.529702,489.475572,403.671965,227.641559,176.030406,105.618243,70.974546,136.116474
rough_terrain_0009,rough_terrain,0.666868,65.608127,-102.630332,97.090113,196.734018,89.310914,107.423103,64.453862,55.798901,131.786583
flat_terrain_0009,flat_terrain,0.435235,120.297688,-75.380796,204.811877,359.200700,207.225165,151.975535,91.185321,90.995282,284.909201
