profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_0017,mixed_terrain,0.518654,19.570679,62.650025,531.496790,198.513921,33.225551,165.288369,99.173022,16.252899,49.979424
rough_terrain_0015,rough_terrain,0.607114,56.736446,26.208316,337.621011,249.136231,102.363519,146.772712,88.063627,46.498903,80.260219
rough_terrain_0018,rough_terrain,0.666868,25.500211,14.366724,98.826246,84.628152,28.505284,56.122868,33.673721,20.039998,68.222603
rough_terrain_0013,rough_terrain,0.592126,56.678718,18.935234,366.522833,297.120877,110.529540,186.591337,111.954802,47.019108,89.827633
flat_terrain_0016,flat_terrain,0.441171,46.281745,24.149763,400.805862,304.012198,121.858248,182.153950,109.292370,34.371827,83.969010
flat_terrain_0008,flat_terrain,0.400426,16.187015,65.227409,218.291989,75.905781,-3.359838,79.265620,47.559372,13.225027,48.789639
rough_terrain_0001,rough_terrain,0.525733,65.308322,11.667471,450.775802,398.181665,136.623048,261.558617,156.935170,54.017895,89.405984
mixed_terrain_0016,mixed_terrain,0.518387,51.056827,18.089981,280.942734,230.120248,94.292862,135.827386,81.496432,41.659046,91.785382
mixed_terrain_0019,mixed_terrain,0.522237,30.457455,61.047736,469.445200,182.859534,73.768131,109.091402,65.454841,24.241214,72.845617
flat_terrain_0013,flat_terrain,0.431194,56.112397,22.180955,545.444966,424.460061,166.901498,257.558563,154.535138,42.947708,104.952460
rough_terrain_0002,rough_terrain,0.543654,20.064126,70.966295,390.507791,113.378878,12.069490,101.309388,60.785633,15.948346,56.226012
mixed_terrain_0013,mixed_terrain,0.502338,28.134127,41.609105,165.092819,96.399175,43.859601,52.539574,31.523744,23.816610,46.820303
flat_terrain_0003,flat_terrain,0.328563,9.185542,76.308296,63.472835,15.037796,-5.724490,20.762286,12.457372,6.656708,23.062862
flat_terrain_0002,flat_terrain,0.296527,53.790717,34.007011,485.065264,320.109069,107.843779,212.265290,127.359174,45.920646,102.689087
