period,policy,rmse_nm,motor_work_offload_pct,baseline_motor_work_j,assisted_motor_work_j,mean_force_residual_n
1,default,32.28420549727635,20.174426031477225,103.38411648431142,82.52696437588776,8.701267074684437e-06
2,previous_period,18.722505818886898,57.70896472451851,103.38411648431142,43.72221317162502,0.00018154151064209145
3,previous_period,16.979852145420153,62.960644504757894,103.38411648431142,38.2928104302393,0.00016341782491053892
4,previous_period,17.38882201834883,62.4880225717869,103.38411648431142,38.78142643995244,0.00016691975379217182
5,previous_period,17.265382161442698,61.99036969709173,103.38411648431142,39.29592046761482,0.000180704212789351
6,previous_period,17.285646625531545,62.71982102167139,103.38411648431142,38.54178366051503,0.00016668625221427646
7,previous_period,17.287601521087936,62.026214965145854,103.38411648431142,39.258862153935624,0.00019541755364116398
8,previous_period,17.273255550844315,62.65270569311002,103.38411648431142,38.61117024997374,0.00022993080456217284
9,previous_period,17.284434314929324,62.12529353765426,103.38411648431142,39.15643064712255,0.00017521023873996456
10,previous_period,17.271610073395337,62.579141527656915,103.38411648431142,38.6872239124765,0.00025119930546679825
