profile,period,policy,rmse_nm,offload_pct,baseline_motor_work_j,assisted_motor_work_j
piecewise_0000,1,default,43.96775489438803,17.37366412796724,145.62745155791555,120.32662724612511
piecewise_0000,2,previous_period,29.507569541810156,52.92004487079333,145.62745155791555,68.56133884927381
piecewise_0000,3,previous_period,29.291300345491294,53.602114185514935,145.62745155791555,67.5680586883862
piecewise_0000,4,previous_period,29.281051175587187,53.641508707449525,145.62745155791555,67.51068945003944
piecewise_0000,5,previous_period,29.28081720170769,53.64265670486101,145.62745155791555,67.50901765066513
piecewise_0000,6,previous_period,29.28082465572987,53.64257034821076,145.62745155791555,67.50914340965414
piecewise_0000,7,previous_period,29.28082428562384,53.64256996003283,145.62745155791555,67.50914397494778
piecewise_0000,8,previous_period,29.28082203226416,53.64259200853928,145.62745155791555,67.50911186626973
piecewise_0000,9,previous_period,29.28082442613541,53.642557538339055,145.62745155791555,67.50916206434387
piecewise_0000,10,previous_period,29.280821313608275,53.64259899574202,145.62745155791555,67.50910169098444
piecewise_0001,1,default,22.03228967000772,28.55821921199453,82.60573399470402,59.015007398819364
piecewise_0001,2,previous_period,5.078557617670781,84.61844859050083,82.60573399470402,12.706043441589523
piecewise_0001,3,previous_period,4.865684624374398,87.14959029641636,82.60573399470402,10.615175256971929
piecewise_0001,4,previous_period,4.886126782211269,85.26084595114615,82.60573399470402,12.175386386665847
piecewise_0001,5,previous_period,4.768922989546678,87.23379287278556,82.60573399470402,10.545619100719708
piecewise_0001,6,previous_period,4.847689504695229,85.44419481171055,82.60573399470402,12.023929714625709
piecewise_0001,7,previous_period,4.7417179614472555,87.21819910553788,82.60573399470402,10.558500446612085
piecewise_0001,8,previous_period,4.830665326075789,85.54071808902913,82.60573399470402,11.944195952920959
piecewise_0001,9,previous_period,4.729269562609889,87.19885986605915,82.60573399470402,10.574475767332478
piecewise_0001,10,previous_period,4.821000527992353,85.59865702880623,82.60573399470402,11.896335066449327
piecewise_0002,1,default,50.668493764385566,-16.363295863971338,107.58704577887802,125.19183239098213
piecewise_0002,2,previous_period,30.117622734762968,28.358710014651635,107.58704577887802,77.0767474531155
piecewise_0002,3,previous_period,30.000083338431786,29.182223558111296,107.58704577887802,76.1907535601183
piecewise_0002,4,previous_period,29.99703883504432,29.079668019240547,107.58704577887802,76.30109003467194
piecewise_0002,5,previous_period,29.999365756169176,29.131739509491915,107.58704577887802,76.24506785661745
piecewise_0002,6,previous_period,29.995244041846046,29.10392974215731,107.58704577887802,76.27498756373075
piecewise_0002,7,previous_period,29.99775303412163,29.13350777020498,107.58704577887802,76.2431654371546
piecewise_0002,8,previous_period,29.99496824985387,29.112495146947083,107.58704577887802,76.26577229775842
piecewise_0002,9,previous_period,29.996846393126674,29.133912490712977,107.58704577887802,76.2427300103164
piecewise_0002,10,previous_period,29.99494865532791,29.11777868665848,107.58704577887802,76.26008789347037
piecewise_0003,1,default,61.23788075460674,4.2059201142292775,173.89630752009828,166.58236774420845
piecewise_0003,2,previous_period,25.65735816356833,65.04693982986224,173.89630752009828,60.782081001147745
piecewise_0003,3,previous_period,25.613248610435324,64.2084761510621,173.89630752009828,62.24013837847836
piecewise_0003,4,previous_period,25.508711853482005,65.38901576549935,173.89630752009828,60.18722358015996
piecewise_0003,5,previous_period,25.580808496207045,64.46945352922809,173.89630752009828,61.786308354384936
piecewise_0003,6,previous_period,25.51552975666446,65.2379656132983,173.89630752009828,60.4498942173411
piecewise_0003,7,previous_period,25.564570788124815,64.62010136033572,173.89630752009828,61.52433733872966
piecewise_0003,8,previous_period,25.52119575675038,65.1389399493853,173.89630752009828,60.62209619038305
piecewise_0003,9,previous_period,25.554963060415506,64.71673894386893,173.89630752009828,61.35628814928876
piecewise_0003,10,previous_period,25.525630060333544,65.07128023643955,173.89630752009828,60.73975393287442
piecewise_0004,1,default,68.38744210108231,-2.5185138070567215,175.17770378352833,179.58957844020142
piecewise_0004,2,previous_period,45.72588066600328,32.41380977758192,175.17770378352833,118.39593610639955
piecewise_0004,3,previous_period,45.73579321161477,32.174298147543126,175.17770378352833,118.815507080196
piecewise_0004,4,previous_period,45.73270543860235,32.20819060914116,175.17770378352833,118.75613504421283
piecewise_0004,5,previous_period,45.73238409231466,32.206407825173365,175.17770378352833,118.75925808423105
piecewise_0004,6,previous_period,45.732462850610425,32.20638668850368,175.17770378352833,118.75929511096366
piecewise_0004,7,previous_period,45.732449989211325,32.20641007329751,175.17770378352833,118.75925414601879
piecewise_0004,8,previous_period,45.73245100401636,32.20640688935135,175.17770378352833,118.75925972358257
piecewise_0004,9,previous_period,45.73245093326252,32.20640678178561,175.17770378352833,118.75925991201375
piecewise_0004,10,previous_period,45.73245113387006,32.20640636227918,175.17770378352833,118.75926064689548
piecewise_0005,1,default,79.44200944607026,-14.019864660890535,189.72546089569582,216.32471374052315
piecewise_0005,2,previous_period,42.64247833693523,36.20981202309031,189.72546089569582,121.02622814542265
piecewise_0005,3,previous_period,42.27660979760495,36.79900394854242,189.72546089569582,119.90838104929841
piecewise_0005,4,previous_period,42.27474286159707,36.80190141957913,189.72546089569582,119.9028838090197
piecewise_0005,5,previous_period,42.27473771419439,36.80190908194967,189.72546089569582,119.90286927155188
piecewise_0005,6,previous_period,42.2747377433498,36.80190912912563,189.72546089569582,119.90286918204706
piecewise_0005,7,previous_period,42.2747377433498,36.80190912912563,189.72546089569582,119.90286918204706
piecewise_0005,8,previous_period,42.2747377433498,36.80190912912563,189.72546089569582,119.90286918204706
piecewise_0005,9,previous_period,42.2747377433498,36.80190912912563,189.72546089569582,119.90286918204706
piecewise_0005,10,previous_period,42.2747377433498,36.80190912912563,189.72546089569582,119.90286918204706
piecewise_0006,1,default,63.56895259956331,7.223144757587074,202.20103466141347,187.59576122648076
