profile,family,residual_rmse_nm,peak_abs_residual_nm,mean_abs_residual_nm,offload_pct,baseline_energy_burden_j,assisted_energy_burden_j,mean_stiffness_n_per_m
low_roughness_0367,low_roughness,88.7540056539175,124.22840728746132,79.47211252762614,13.836148364424751,799.3502237260168,688.7509408199239,50.204360470403586
medium_roughness_0070,medium_roughness,43.324242450082636,86.31534136898566,33.537709556274784,-3.7245751502882963e-06,429.3238576037386,429.3238735942283,35.447751629387014
low_roughness_0116,low_roughness,60.41061721611115,82.01187595854677,53.54031634046969,12.585176886217006,500.5958867496615,437.59500891709,121.8880943183218
high_roughness_0145,high_roughness,66.87492109796142,105.96897583385962,57.85394549129508,-1.9693342094789648e-06,391.7803668158118,391.7803745312766,35.44775166885961
low_roughness_0148,low_roughness,1.1399126986056098,1.6574783963190693,0.9478713814715232,6.944144347759612,6.174989557866441,5.746189369509112,35.623322612831544
medium_roughness_0300,medium_roughness,65.97999239772186,122.38781569256733,53.58144716084247,14.663874804867046,328.64917366765735,280.456470293802,47.92744913629273
high_roughness_0175,high_roughness,19.02860969652483,37.483593434127,16.56933610470829,-2.344690183324374e-06,76.15150421192557,76.15150599744241,35.44775129539762
low_roughness_0328,low_roughness,46.34113174402584,75.02566892264619,39.71138790289429,27.539738079138385,290.1253766089789,210.2256077897523,50.016374796984664
medium_roughness_0231,medium_roughness,29.592916860933425,67.06689248226013,23.680968630612636,6.38629630580167,299.63316488275774,280.49770314289356,59.88204070364046
low_roughness_0094,low_roughness,35.505800871383045,57.40296838043329,30.10014884405179,18.153028215857333,325.0294381134085,266.0267525028389,155.11318698356155
low_roughness_0081,low_roughness,47.8822718526423,70.45795532742446,42.59922232778647,19.366369414418585,593.4425960061462,478.5143106010803,41.127495878039454
medium_roughness_0210,medium_roughness,33.31152964631495,57.660778540196,26.996438127870938,21.828666963780325,375.77545331272717,293.7486810774561,72.24183197119049
low_roughness_0109,low_roughness,28.30289367509103,35.21712171851321,27.379544751600456,13.815575531876757,138.25006820457986,119.150025608905,155.83500422327023
medium_roughness_0331,medium_roughness,55.34886555648722,98.84569998873211,45.98111894022348,-2.2868225690260855e-06,512.3978567674717,512.3978684851015,35.4477512073747
medium_roughness_0095,medium_roughness,13.173298242263424,25.9454023957897,10.378117669630473,-1.630563572953742e-05,83.36527325323598,83.36528684647377,35.447753509873436
high_roughness_0194,high_roughness,87.26704062998257,103.01315373488387,83.98001736980605,8.82529483422495,925.9347062627851,844.2182384626796,185.02575129106427
medium_roughness_0061,medium_roughness,34.22750461829581,48.584873854933505,31.446536617606228,26.951399523247844,496.02625272581713,362.3402356134871,113.42511629835167
high_roughness_0209,high_roughness,43.680207200660846,66.10518249636604,38.26243457953248,16.071660572973745,381.85136635831384,320.4815108639432,72.84919027137536
high_roughness_0178,high_roughness,39.53295379399842,74.77591897595158,33.077127246195964,6.454188947046311,368.3134270532675,344.54178255390804,37.7933368024909
