profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19
low_roughness_0367,low_roughness,117.35600280761719,46.9010009765625,1523.46923828125,1388.8135986328125,2.316611698915949e-06,1493.5340576171875,2.400338871666463e-06,1492.4586181640625,1279.69140625,3.4941760986839654e-06,1.3979777577333152e-05,1.4984350855229422e-05,0.0007438408792950213,3.6894239201501478e-06,2.3450336811947636e-05,7.724536772002466e-06,755.2281494140625,5.649797003570711e-06,1324.2952880859375,4.776552941621048e-06
medium_roughness_0070,medium_roughness,117.35600280761719,46.9010009765625,1518.7532958984375,1221.10693359375,1272.5225830078125,0.0006929312366992235,1.0539795766817406e-05,813.7393798828125,3.5604796721599996e-05,2.098449840559624e-05,6.085626228014007e-05,6.306589057203382e-05,2.9174563678679988e-05,1.9737843103939667e-05,6.941898027434945e-05,3.5760273021878675e-05,6.149707041913643e-05,2.8844464395660907e-05,2.6039562726509757e-05,2.7133455660077743e-05
low_roughness_0116,low_roughness,117.35600280761719,46.9010009765625,1.6312715160893276e-06,1.0414916687295772e-05,452.0026550292969,1.7030683920893352e-06,1429.548828125,1.0212570487055928e-05,6.201543783390662e-06,866.2496337890625,2.8228794690221548e-05,2.6289957531844266e-05,6.632263648498338e-06,0.00013113526802044362,2.2303573132376187e-05,2.753239641606342e-05,1.351599712506868e-05,6.399201811291277e-05,4.038235601910856e-06,811.9991455078125
high_roughness_0145,high_roughness,117.35600280761719,46.9010009765625,1392.7550048828125,3.548459426383488e-05,5.4724051068433255e-08,973.835693359375,6.411796221073018e-06,1240.3074951171875,5.087996396468952e-05,1.130859072873136e-05,2.55852810369106e-05,2.8810211006202735e-05,1.708544914436061e-05,8.475589311274234e-06,3.6442375858314335e-05,1.5610794434905984e-05,3.857074261759408e-05,1.8826392988557927e-05,4.116214404348284e-05,1.2338943633949384e-05
low_roughness_0148,low_roughness,117.35600280761719,46.9010009765625,547.6171264648438,359.5252990722656,0.0024634981527924538,245.18881225585938,0.0004375153803266585,128.2708282470703,0.10756416618824005,0.0024710441939532757,0.02702474035322666,0.03171954303979874,0.00455026188865304,0.0028255206998437643,1.6060817241668701,0.005581276025623083,0.014343488030135632,0.0034627693239599466,0.01793966442346573,0.003923348616808653
medium_roughness_0300,medium_roughness,117.35600280761719,46.9010009765625,1520.269287109375,1427.1768798828125,3.195313411197276e-06,1485.090576171875,2.7835201308334945e-06,1505.2806396484375,1306.5662841796875,4.004009952041088e-06,1.613209315109998e-05,1.7261309039895423e-05,0.002420886419713497,4.382230144983623e-06,2.9108836315572262e-05,9.091148058359977e-06,834.483642578125,6.198929895617766e-06,1330.9034423828125,5.618231170956278e-06
high_roughness_0175,high_roughness,117.35600280761719,46.9010009765625,1340.3607177734375,1158.06494140625,2.0716539438581094e-05,1198.968994140625,8.61106309457682e-06,1331.5941162109375,500.036376953125,2.1939436919637956e-05,6.574080180143937e-05,6.765205034753308e-05,3.873942841892131e-05,2.3642845917493105e-05,7.996239583007991e-05,4.231411003274843e-05,8.205998165067285e-05,3.29447393596638e-05,0.0003666800039354712,3.129552351310849e-05
low_roughness_0328,low_roughness,117.35600280761719,46.9010009765625,1507.5064697265625,1394.208740234375,4.590663138515083e-06,1403.349609375,3.288826519565191e-06,1370.799072265625,1222.6785888671875,4.988760338164866e-06,2.2223868654691614e-05,2.4078939532046206e-05,76.00902557373047,6.047477654647082e-06,4.427719613886438e-05,1.2889287063444499e-05,766.6918334960938,8.011025784071535e-06,1264.325439453125,7.081867806846276e-06
medium_roughness_0231,medium_roughness,117.35600280761719,46.9010009765625,3.675394282254274e-06,1.736094054649584e-05,4.7385368816321716e-05,7.780948362778872e-05,1232.9757080078125,0.0010046141687780619,150.46434020996094,0.00010670263145584613,0.000439773197285831,0.0007648375467397273,0.0038093142211437225,0.00012312819308135659,0.0010896183084696531,0.00027370458701625466,37.669960021972656,0.00015918767894618213,510.2495422363281,0.00013847528316546232
low_roughness_0094,low_roughness,117.35600280761719,46.9010009765625,3.239367060814402e-06,1.0057011422759388e-05,8.194815745810047e-05,1.761638486641459e-05,1401.8402099609375,6.525037315441296e-05,9.696827873995062e-06,1091.7576904296875,5.7947050663642585e-05,5.358343696570955e-05,1.2888340279459953e-05,37.909332275390625,4.009029362350702e-05,7.696749526076019e-05,2.3634775061509572e-05,0.00364693789742887,6.572115125891287e-06,1024.714599609375
