profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23,spring_24,spring_25,spring_26,spring_27,spring_28,spring_29
low_roughness_0367,low_roughness,85.0,85.0,100.0,100.0,1113.9027099609375,8.511369378538802e-05,7.3770344897639e-05,306.6416015625,0.00020102456619497389,6.306901923380792e-05,0.00013762630987912416,1190.8365478515625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1209.402099609375,1180.239990234375,2.240203866676893e-05,0.00014278075832407922,811.5283203125,2.832768404914532e-05
medium_roughness_0070,medium_roughness,85.0,85.0,100.0,100.0,306.39984130859375,0.0006166062084957957,0.00046471544192172587,152.92967224121094,0.0017825188115239143,0.0004262300208210945,637.1807250976562,562.98779296875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,675.7962646484375,992.3137817382812,0.0003176285536028445,559.18310546875,0.0003788065805565566,0.0002584159665275365
low_roughness_0116,low_roughness,85.0,85.0,100.0,100.0,0.000369405111996457,856.3754272460938,123.92048645019531,0.0003310379106551409,0.00029878102941438556,0.0001446533715352416,889.0431518554688,0.000472481973702088,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0004904050147160888,835.4622802734375,0.00021566258510574698,910.1834716796875,901.9334716796875,0.00020916263747494668
high_roughness_0145,high_roughness,85.0,85.0,100.0,100.0,121.66561126708984,6.472144013969228e-05,6.194280285853893e-05,239.26043701171875,0.0007453730795532465,7.51047846279107e-05,1126.5941162109375,1081.591552734375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1136.3004150390625,1313.135009765625,541.6078491210938,1086.5706787109375,8.572782826377079e-05,0.00017908343579620123
low_roughness_0148,low_roughness,85.0,85.0,100.0,100.0,52.79636764526367,42.1295051574707,30.164602279663086,33.35344696044922,16.467041015625,15.914281845092773,137.63938903808594,150.84124755859375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,174.36903381347656,153.3934326171875,0.021602554246783257,159.62939453125,157.82675170898438,0.02172110602259636
medium_roughness_0300,medium_roughness,85.0,85.0,100.0,100.0,1116.67041015625,0.0002069917827611789,0.0006999224424362183,168.90524291992188,0.0003168574767187238,101.34383392333984,9.117834270000458e-05,1135.1153564453125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1146.760986328125,0.008996077813208103,190.03985595703125,0.00010863978968700394,1098.2576904296875,468.8285827636719
high_roughness_0175,high_roughness,85.0,85.0,100.0,100.0,0.001432640478014946,0.0009822704596444964,0.0007100936491042376,0.0004336715501267463,115.1855697631836,52.16012191772461,562.376708984375,652.626953125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,609.6878662109375,504.3621520996094,1318.6112060546875,406.77178955078125,474.3416442871094,1313.0904541015625
low_roughness_0328,low_roughness,85.0,85.0,100.0,100.0,719.6760864257812,0.0015352426562458277,0.009800365194678307,373.2056579589844,0.14881916344165802,51.21297073364258,0.0006607327377423644,706.2533569335938,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,711.015380859375,96.89552307128906,1.0977047168125864e-05,0.0007812562398612499,641.8338623046875,0.00020951796614099294
medium_roughness_0231,medium_roughness,85.0,85.0,100.0,100.0,0.0004382269689813256,439.4825439453125,4.2015664803329855e-05,579.2743530273438,0.0009097113506868482,3.912559986929409e-05,1043.92333984375,2.3479336960008368e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,4.820400499738753e-05,1286.8824462890625,2.490507176844403e-05,1062.4991455078125,6.854439561720937e-05,2.3098866222426295e-05
low_roughness_0094,low_roughness,85.0,85.0,100.0,100.0,0.0006860536523163319,834.9926147460938,130.6737060546875,0.003034534165635705,234.9308624267578,0.001115544349886477,891.3474731445312,0.00034983892692252994,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0004011317214462906,954.6180419921875,124.69334411621094,900.1299438476562,0.00040441271266900003,0.0003067784127779305
low_roughness_0081,low_roughness,85.0,85.0,100.0,100.0,871.4954833984375,0.0008175314869731665,0.0007963426760397851,111.88152313232422,0.0007183376583270729,0.0007373417029157281,0.0003470252559054643,721.5460205078125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,748.3143920898438,659.1131591796875,0.000514297978952527,0.0004797157598659396,0.0005388722638599575,0.0005184852634556592
medium_roughness_0210,medium_roughness,85.0,85.0,100.0,100.0,738.9317016601562,0.0007426094962283969,134.1275177001953,0.0016213953495025635,19.490158081054688,110.84283447265625,0.00014934207138139755,862.8693237304688,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,853.2652587890625,8.381096995435655e-05,9.600462362868711e-05,0.00019498135952744633,1211.3790283203125,568.2993774414062
