source,cross_stiffness_k,cross_rest_scale,internal_stiffness_k,default_mean_rmse_nm,bounded_fit_mean_rmse_nm,bounded_fit_p90_rmse_nm,nonzero_direct_torque_springs
rank_01_candidate_0094.json,5.0,0.9,90.0,56.24648062465214,13.36520510923691,23.6926695020462,36
rank_01_candidate_0094.json,5.0,1.0,90.0,56.3603701622112,13.292725404325164,23.69377276744458,36
rank_01_candidate_0094.json,10.0,0.9,90.0,59.53364632442894,13.27218748907623,23.56605909189888,36
rank_01_candidate_0094.json,10.0,1.0,90.0,59.806499291313,13.199774161544905,23.576094231571766,36
rank_01_candidate_0115.json,5.0,0.9,90.0,54.971548270604465,13.033936363987749,23.0882165732894,36
rank_01_candidate_0115.json,5.0,1.0,90.0,55.078096114990146,12.965140897842511,23.053822331910272,36
rank_01_candidate_0115.json,10.0,0.9,90.0,58.00132674264014,12.865253697120693,22.91878045874469,36
rank_01_candidate_0115.json,10.0,1.0,90.0,58.263670139339524,12.779729940010288,22.886621194276298,36
rank_02_candidate_0017.json,5.0,0.9,90.0,52.99309289833709,14.391913407951813,25.471892650961035,36
rank_02_candidate_0017.json,5.0,1.0,90.0,53.094426884839116,14.386052053729205,25.49606074329131,36
rank_02_candidate_0017.json,10.0,0.9,90.0,55.62011930200738,14.343849597059982,25.437775244342955,36
rank_02_candidate_0017.json,10.0,1.0,90.0,55.890293120509355,14.346206185376536,25.49490642567154,36
rank_02_candidate_0219.json,5.0,0.9,90.0,53.06638699440405,13.004582423555203,21.792163071133206,36
rank_02_candidate_0219.json,5.0,1.0,90.0,53.16004056272931,12.903344406952655,21.607472757610008,36
rank_02_candidate_0219.json,10.0,0.9,90.0,55.60094437374515,12.639716201237615,21.505702684166877,36
rank_02_candidate_0219.json,10.0,1.0,90.0,55.84696410419624,12.533247397920698,21.436165730169517,36
rank_03_candidate_0002.json,5.0,0.9,90.0,56.37460753915116,13.86063017924667,24.390999777246666,36
rank_03_candidate_0002.json,5.0,1.0,90.0,56.483697685965716,13.701067841874316,24.340609805891685,36
rank_03_candidate_0002.json,10.0,0.9,90.0,59.52852374498832,13.733288194920542,24.378729067186963,36
rank_03_candidate_0002.json,10.0,1.0,90.0,59.78741375784987,13.611284810418937,24.319677690019372,36
rank_03_candidate_0103.json,5.0,0.9,90.0,57.11419901608432,12.817974164352702,23.47199900157005,36
rank_03_candidate_0103.json,5.0,1.0,90.0,57.2338573551634,12.744720130073581,23.483453930267018,36
rank_03_candidate_0103.json,10.0,0.9,90.0,60.43763883510267,12.67690049782041,23.501974451003562,36
rank_03_candidate_0103.json,10.0,1.0,90.0,60.71892370093078,12.620705421867111,23.52777085055683,36
rank_04_candidate_0020.json,5.0,0.9,90.0,51.915773446003186,15.507286669879681,27.279806864906337,36
rank_04_candidate_0020.json,5.0,1.0,90.0,51.993542447784804,15.468305742060858,27.214896493226924,36
rank_04_candidate_0020.json,10.0,0.9,90.0,54.14739036802716,15.437777085591488,27.218141296859024,36
rank_04_candidate_0020.json,10.0,1.0,90.0,54.3700447678259,15.419578064215074,27.162486229768678,36
rank_04_candidate_0210.json,5.0,0.9,90.0,57.53275256143395,13.928866050343249,24.516631141919813,36
rank_04_candidate_0210.json,5.0,1.0,90.0,57.67360114610666,13.889760341630389,24.527178563844124,36
rank_04_candidate_0210.json,10.0,0.9,90.0,61.09732478301673,13.921117209842867,24.448427606921012,36
rank_04_candidate_0210.json,10.0,1.0,90.0,61.429138257250635,13.899195270859295,24.470635661051322,36
rank_05_candidate_0007.json,5.0,0.9,90.0,55.91952363091527,13.748223103218255,24.6142426806132,36
rank_05_candidate_0007.json,5.0,1.0,90.0,56.05506115891576,13.722897169799438,24.622368999702232,36
rank_05_candidate_0007.json,10.0,0.9,90.0,59.278612844110434,13.718395736495356,24.67822011730497,36
rank_05_candidate_0007.json,10.0,1.0,90.0,59.607913262991566,13.710729139525005,24.69420285126887,36
rank_05_candidate_0076.json,5.0,0.9,90.0,56.593735040132614,16.46538078756007,27.878467426381444,36
rank_05_candidate_0076.json,5.0,1.0,90.0,56.735805958385185,16.414904515790997,27.890547739610323,36
rank_05_candidate_0076.json,10.0,0.9,90.0,60.0719139198746,16.457192906653994,28.158792946424942,36
rank_05_candidate_0076.json,10.0,1.0,90.0,60.41273589079124,16.420043610798682,28.185035691136708,36
rank_06_candidate_0010.json,5.0,0.9,90.0,55.60069259707111,13.300038329414956,23.833497561710466,36
rank_06_candidate_0010.json,5.0,1.0,90.0,55.71217639015365,13.244423057377622,23.754342045188583,36
rank_06_candidate_0010.json,10.0,0.9,90.0,58.751030037603925,13.224534339483956,23.793559697652167,36
rank_06_candidate_0010.json,10.0,1.0,90.0,59.02143398000142,13.142493869352057,23.55616486643436,36
rank_06_candidate_0150.json,5.0,0.9,90.0,50.89460511200769,14.483314553707288,26.019369234822616,36
rank_06_candidate_0150.json,5.0,1.0,90.0,50.95223226556262,14.421842440815386,25.90923788675857,36
rank_06_candidate_0150.json,10.0,0.9,90.0,52.59843809587869,14.382036005412392,25.855873566692264,36
rank_06_candidate_0150.json,10.0,1.0,90.0,52.78881838813827,14.330355751209675,25.780316502640183,36
rank_07_candidate_0032.json,5.0,0.9,90.0,55.568658270434526,12.275232848116044,22.965329007384916,36
rank_07_candidate_0032.json,5.0,1.0,90.0,55.6305647120963,12.246926674387288,22.926903960894357,36
rank_07_candidate_0032.json,10.0,0.9,90.0,58.40770893929785,12.260522621542478,23.025066959492687,36
