source,cross_stiffness_k,cross_rest_scale,internal_stiffness_k,default_mean_rmse_nm,bounded_fit_mean_rmse_nm,bounded_fit_p90_rmse_nm,nonzero_direct_torque_springs
rank_01_candidate_0022.json,5.0,0.9,90.0,56.75302356062885,12.704118685216791,22.52801070599055,42
rank_01_candidate_0022.json,5.0,1.0,90.0,56.90669480698159,12.623796461032242,22.512764821901914,42
rank_01_candidate_0022.json,10.0,0.9,90.0,60.74568456224563,12.544546623642251,22.39310908965004,42
rank_01_candidate_0022.json,10.0,1.0,90.0,61.11965453152703,12.454336644931596,22.401477536775836,42
rank_02_candidate_0040.json,5.0,0.9,90.0,54.123451467204724,14.151341252878245,23.931220824378013,42
rank_02_candidate_0040.json,5.0,1.0,90.0,54.25168602302399,14.049349941257237,23.37000284807518,42
rank_02_candidate_0040.json,10.0,0.9,90.0,57.54157462757348,13.86962376273351,23.087165463616287,42
rank_02_candidate_0040.json,10.0,1.0,90.0,57.87659175691321,13.764560877439312,23.07460573304093,42
rank_03_candidate_0062.json,5.0,0.9,90.0,54.09138784901794,14.5413127172659,24.145457272845807,42
rank_03_candidate_0062.json,5.0,1.0,90.0,54.2172733800129,14.431741220324573,24.102042573391895,42
rank_03_candidate_0062.json,10.0,0.9,90.0,57.49535577829916,14.24255153603158,23.858361454667993,42
rank_03_candidate_0062.json,10.0,1.0,90.0,57.82446412561683,14.134280190502585,23.78636660602064,42
rank_04_candidate_0068.json,5.0,0.9,90.0,58.698020827859565,13.030355130719386,24.546402278900675,42
rank_04_candidate_0068.json,5.0,1.0,90.0,58.76160564058821,12.988461961749058,24.490166055091507,42
rank_04_candidate_0068.json,10.0,0.9,90.0,62.5648576975168,13.007748313259118,24.50544998074475,42
rank_04_candidate_0068.json,10.0,1.0,90.0,62.71578852915775,12.989712426562471,24.311181685738074,42
rank_05_candidate_0053.json,5.0,0.9,90.0,58.91797611832574,12.429337824307279,22.77081741954794,42
rank_05_candidate_0053.json,5.0,1.0,90.0,58.92819298606778,12.357171313157078,22.266935509499067,42
rank_05_candidate_0053.json,10.0,0.9,90.0,62.46249678825062,12.27099963738806,22.29991447069397,42
rank_05_candidate_0053.json,10.0,1.0,90.0,62.4922155737022,12.196940660941273,21.744895700752075,42
rank_06_candidate_0096.json,5.0,0.9,90.0,51.503551505074824,11.174719277399845,20.39112587744073,42
rank_06_candidate_0096.json,5.0,1.0,90.0,51.5692609702982,11.081873514486956,20.401012929419267,42
rank_06_candidate_0096.json,10.0,0.9,90.0,53.8013113506034,10.94099381841159,20.43046859495597,42
rank_06_candidate_0096.json,10.0,1.0,90.0,54.002338583168445,10.908921546913094,20.4582772345685,42
rank_07_candidate_0074.json,5.0,0.9,90.0,55.561684497872605,12.925849533074302,23.819370371621304,42
rank_07_candidate_0074.json,5.0,1.0,90.0,55.638078391009046,12.906817860783821,23.804994062672268,42
rank_07_candidate_0074.json,10.0,0.9,90.0,58.91381484125136,12.918418156045988,23.785091514487718,42
rank_07_candidate_0074.json,10.0,1.0,90.0,59.10135800332059,12.911904200034177,23.77595870374599,42
rank_08_candidate_0069.json,5.0,0.9,90.0,57.36913671421355,13.88341434581174,24.90614493102636,42
rank_08_candidate_0069.json,5.0,1.0,90.0,57.40080085389368,13.851254717729825,24.90872290398905,42
rank_08_candidate_0069.json,10.0,0.9,90.0,60.80608655461778,13.910241425891414,25.110970122495324,42
rank_08_candidate_0069.json,10.0,1.0,90.0,60.885080589929075,13.90012639579017,25.13404306071142,42
rank_09_candidate_0009.json,5.0,0.9,90.0,51.95539136744473,11.538061678168328,21.072602628496735,42
rank_09_candidate_0009.json,5.0,1.0,90.0,52.03139808409715,11.425287444085,21.042530460966375,42
rank_09_candidate_0009.json,10.0,0.9,90.0,54.46683379241394,11.235310796170632,21.025936306961853,42
rank_09_candidate_0009.json,10.0,1.0,90.0,54.688348888485734,11.186486225357864,21.00092968403653,42
rank_10_candidate_0044.json,5.0,0.9,90.0,52.592414513459325,15.013418922763446,24.71507281634417,42
rank_10_candidate_0044.json,5.0,1.0,90.0,52.694342145294115,14.88492866564738,24.501243301119736,42
rank_10_candidate_0044.json,10.0,0.9,90.0,55.47340096347007,14.675039514800199,24.094748104982234,42
rank_10_candidate_0044.json,10.0,1.0,90.0,55.75962126170102,14.556851936557797,24.0490017957839,42
rank_11_candidate_0063.json,5.0,0.9,90.0,51.511486158012005,11.072817015738476,20.482429237388544,42
rank_11_candidate_0063.json,5.0,1.0,90.0,51.56580583055653,11.027356415979531,20.493876156424264,42
rank_11_candidate_0063.json,10.0,0.9,90.0,53.65681037193849,10.970734008401221,20.516708376736016,42
rank_11_candidate_0063.json,10.0,1.0,90.0,53.81915959815571,10.94860269028051,20.546578216009685,42
rank_12_candidate_0094.json,5.0,0.9,90.0,59.82877843701192,17.820337573426123,30.36300844880276,42
rank_12_candidate_0094.json,5.0,1.0,90.0,59.998863821488314,17.58521925838495,30.128147350270748,42
rank_12_candidate_0094.json,10.0,0.9,90.0,64.37289769199683,17.43426116380462,29.871654389403925,42
rank_12_candidate_0094.json,10.0,1.0,90.0,64.76894457089665,17.26032035299943,29.839357032629472,42
