bearing_intersections,collision_audit,distal_route_lane_shift,exact_bounded_fit_mean_rmse_nm,exact_bounded_fit_p90_rmse_nm,limb_intersections,minimum_spring_clearance_m,outer_lane_shift,spring_clearance_violations
6,fail,-3,,,30,0.00025908389943651855,-3,32
0,fail,-2,,,0,0.00024952329113148153,-3,22
0,fail,-1,,,0,0.0006282930844463408,-3,36
0,fail,0,,,0,6.556510925292969e-07,-3,48
0,fail,1,,,0,0.0002401969104539603,-3,48
2,fail,2,,,12,1.675086787145119e-05,-3,44
12,fail,3,,,68,0.00011253856791881844,-3,54
6,fail,-3,,,30,0.0006557217566296458,-2,16
0,fail,-2,,,0,0.0055587212555110455,-2,8
0,fail,-1,,,0,0.0055587212555110455,-2,6
0,fail,0,,,0,0.0039076064713299274,-2,6
0,fail,1,,,0,0.002033317694440484,-2,12
2,fail,2,,,12,7.931395521154627e-05,-2,14
12,fail,3,,,68,0.00011253856791881844,-2,30
6,fail,-3,,,30,0.0006557217566296458,-1,12
0,fail,-2,,,0,0.006240923888981342,-1,4
0,pass,-1,11.992344078578407,21.72020586110909,0,0.03466933220624924,-1,0
0,pass,0,11.961752409188776,22.176561531151894,0,0.034904636442661285,-1,0
0,fail,1,,,0,0.0030257042963057756,-1,2
2,fail,2,,,12,7.931395521154627e-05,-1,6
12,fail,3,,,68,0.00011253856791881844,-1,20
6,fail,-3,,,30,0.0006557217566296458,0,12
0,fail,-2,,,0,0.006240923888981342,0,4
0,pass,-1,12.164967817548659,23.07220348721012,0,0.03466933220624924,0,0
0,pass,0,11.983984159554137,21.446552691887085,0,0.034904636442661285,0,0
0,fail,1,,,0,0.0030257042963057756,0,2
2,fail,2,,,12,7.931395521154627e-05,0,6
12,fail,3,,,68,0.00011253856791881844,0,20
6,fail,-3,,,30,0.0006557217566296458,1,18
0,fail,-2,,,0,0.0036842150148004293,1,10
0,fail,-1,,,0,0.003440678818151355,1,6
0,fail,0,,,0,0.002844542032107711,1,6
0,fail,1,,,0,0.0026900742668658495,1,8
2,fail,2,,,12,7.931395521154627e-05,1,12
12,fail,3,,,68,0.00011253856791881844,1,26
6,fail,-3,,,30,0.0006557217566296458,2,28
0,fail,-2,,,0,0.0016787011409178376,2,24
0,fail,-1,,,0,0.0007101869559846818,2,16
0,fail,0,,,0,0.000770294398535043,2,18
0,fail,1,,,0,0.00038713894900865853,2,20
2,fail,2,,,12,7.931395521154627e-05,2,20
12,fail,3,,,68,0.00011253856791881844,2,34
6,fail,-3,,,30,0.0006557217566296458,3,78
0,fail,-2,,,0,0.00035280772135592997,3,80
0,fail,-1,,,0,0.0005612243548966944,3,86
0,fail,0,,,0,0.0014110174961388111,3,80
0,fail,1,,,0,0.00019603161490522325,3,48
2,fail,2,,,12,7.931395521154627e-05,3,38
12,fail,3,,,68,0.00011253856791881844,3,48
