profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
high_roughness_0045,high_roughness,0.579810,27.976158,43.468807,543.653532,307.333829,177.366062,129.967767,0.000000,20.937941,64.955462
high_roughness_0094,high_roughness,0.702551,39.852636,31.859579,703.070252,479.075031,256.703458,222.371572,0.000000,31.710355,94.615047
low_roughness_0045,low_roughness,0.401124,30.824081,38.450816,612.260695,376.841461,225.380648,151.460813,0.000000,26.076391,68.682534
low_roughness_0036,low_roughness,0.379969,50.149546,29.553611,963.171811,678.519763,395.865456,282.654307,0.000000,46.027356,85.806494
low_roughness_0085,low_roughness,0.443752,25.378163,40.810455,398.298483,235.751058,88.202018,147.549040,0.000000,16.412721,76.688986
medium_roughness_0088,medium_roughness,0.526051,34.319224,42.259503,792.888603,457.817822,241.359492,216.458331,0.000000,30.006783,100.924235
high_roughness_0098,high_roughness,0.719214,17.990387,55.582199,436.559672,193.910206,100.359651,93.550555,0.000000,13.066129,57.941090
low_roughness_0046,low_roughness,0.402981,51.566410,26.600218,784.534775,575.846811,312.591956,263.254855,0.000000,39.020040,92.557492
high_roughness_0030,high_roughness,0.562477,29.271722,45.271700,591.195990,323.551514,158.235264,165.316250,0.000000,22.938704,87.258636
low_roughness_0065,low_roughness,0.430399,40.409891,43.163670,898.691790,510.783434,258.515225,252.268208,0.000000,33.696059,82.204043
low_roughness_0022,low_roughness,0.343455,19.215722,54.143920,475.381898,217.991504,121.394014,96.597490,0.000000,14.321251,37.277412
low_roughness_0026,low_roughness,0.357663,54.410761,26.485715,1004.021762,738.099418,421.059518,317.039899,0.000000,49.491445,103.951343
low_roughness_0020,low_roughness,0.333840,57.284560,29.339393,1170.645088,827.184926,438.184580,389.000346,0.000000,55.364670,102.462352
low_roughness_0010,low_roughness,0.302410,40.140548,32.342943,730.661303,494.343936,286.294167,208.049769,0.000000,34.019933,82.431874
medium_roughness_0046,medium_roughness,0.489593,32.777943,47.564135,674.330014,353.590776,188.555754,165.035022,0.000000,23.993841,96.099044
low_roughness_0050,low_roughness,0.407629,55.799627,27.278432,1026.065839,746.171165,408.658774,337.512391,0.000000,50.036717,74.345185
low_roughness_0042,low_roughness,0.396592,41.401828,23.740606,577.917866,440.716664,258.203852,182.512812,0.000000,31.114957,103.725986
low_roughness_0076,low_roughness,0.438543,42.775712,33.359550,869.663481,579.547657,313.634036,265.913621,0.000000,39.578145,103.086523
medium_roughness_0029,medium_roughness,0.478879,48.101423,36.274098,1036.765315,660.688050,315.637321,345.050728,0.000000,42.976180,66.262642
high_roughness_0072,high_roughness,0.625041,19.120619,48.952377,532.282632,271.717630,144.955709,126.761921,0.000000,17.733168,37.656101
high_roughness_0002,high_roughness,0.537154,30.869579,42.561204,599.789528,344.511886,160.781709,183.730176,0.000000,23.644199,86.667058
low_roughness_0051,low_roughness,0.408278,28.014455,44.710855,442.146700,244.459130,119.844606,124.614524,0.000000,17.168743,83.289887
medium_roughness_0034,medium_roughness,0.483419,40.938935,40.302625,913.289242,545.209704,267.858032,277.351672,0.000000,34.866938,79.738380
medium_roughness_0044,medium_roughness,0.487771,28.946647,37.141388,447.422963,281.243863,175.902965,105.340898,0.000000,20.193686,89.377859
high_roughness_0047,high_roughness,0.583582,16.752197,51.729582,407.440496,196.673229,114.083755,82.589475,0.000000,12.684259,44.561244
high_roughness_0040,high_roughness,0.573412,30.591841,44.871348,699.273356,385.499974,210.199780,175.300194,0.000000,26.076460,84.496129
high_roughness_0021,high_roughness,0.549467,53.543966,25.029029,959.047304,719.007079,380.073584,338.933495,0.000000,47.656410,86.804368
high_roughness_0065,high_roughness,0.611806,50.126664,34.358467,957.710437,628.655809,312.721124,315.934685,0.000000,41.793480,80.745973
high_roughness_0060,high_roughness,0.605258,52.616382,31.293309,939.225668,645.310877,322.204339,323.106538,0.000000,43.864062,97.272243
high_roughness_0017,high_roughness,0.546695,28.114795,48.007781,621.933057,323.356799,157.998313,165.358486,0.000000,20.943266,76.077076
medium_roughness_0095,medium_roughness,0.530936,29.273653,39.839196,491.929498,295.948741,125.853683,170.095058,0.000000,20.967487,83.626518
medium_roughness_0002,medium_roughness,0.457859,11.929005,63.258865,362.854054,133.316699,71.036658,62.280042,0.000000,8.672613,32.663987
high_roughness_0084,high_roughness,0.664804,37.234343,39.938606,819.964970,492.482389,249.938949,242.543440,0.000000,32.480101,82.754051
low_roughness_0048,low_roughness,0.406793,32.517179,37.599728,622.373113,388.362513,210.128827,178.233687,0.000000,25.301931,67.432133
high_roughness_0033,high_roughness,0.564411,24.003754,33.603804,223.272296,148.244310,108.413633,39.830677,0.000000,11.678592,114.000564
medium_roughness_0060,medium_roughness,0.499457,37.938013,41.425901,798.243726,467.564070,246.415439,221.148632,0.000000,29.731571,83.316921
low_roughness_0028,low_roughness,0.358387,16.011543,61.375270,528.981284,204.317594,91.285652,113.031943,0.000000,13.734853,49.351046
high_roughness_0034,high_roughness,0.565902,38.125286,37.376039,754.365533,472.413578,253.152415,219.261163,0.000000,30.882273,77.082712
high_roughness_0056,high_roughness,0.598641,46.375057,28.584602,825.983060,589.879088,312.937070,276.942018,0.000000,38.402222,103.949487
low_roughness_0011,low_roughness,0.304199,23.700555,55.029074,540.100870,242.888363,117.632612,125.255751,0.000000,16.346925,63.353548
low_roughness_0004,low_roughness,0.241326,23.324318,43.702656,473.797239,266.735260,173.864554,92.870706,0.000000,18.478723,54.668300
high_roughness_0049,high_roughness,0.584984,7.439597,68.268006,209.299097,66.414778,50.149629,16.265149,0.000000,4.691563,36.956220
medium_roughness_0025,medium_roughness,0.478131,64.658715,26.897755,1193.744109,872.653739,442.344128,430.309611,0.000000,57.509157,89.565178
high_roughness_0078,high_roughness,0.650466,30.008415,46.061963,651.223158,351.256991,174.567268,176.689722,0.000000,24.394111,81.033440
high_roughness_0012,high_roughness,0.545849,38.156922,35.967056,703.163508,450.256297,236.783875,213.472422,0.000000,28.672608,81.776311
low_roughness_0001,low_roughness,0.182680,33.395310,46.962342,715.543168,379.507339,172.306083,207.201257,0.000000,26.564147,78.466591
low_roughness_0049,low_roughness,0.406872,41.898118,37.789960,927.968622,577.289650,296.032220,281.257430,0.000000,37.739233,70.549186
high_roughness_0073,high_roughness,0.629089,21.130445,56.705892,392.913466,170.108380,105.656823,64.451557,0.000000,11.775823,96.817681
high_roughness_0082,high_roughness,0.662193,44.115099,33.057477,807.577726,540.612908,283.504639,257.108269,0.000000,35.624194,91.454338
medium_roughness_0053,medium_roughness,0.494951,45.168065,34.367530,967.196735,634.795103,320.013292,314.781811,0.000000,41.748522,91.581002
medium_roughness_0050,medium_roughness,0.492209,71.042838,24.341157,1415.366820,1070.850157,524.269426,546.580731,0.000000,69.955272,107.580330
low_roughness_0094,low_roughness,0.446174,21.646431,31.498792,298.929507,204.770324,110.088278,94.682046,0.000000,13.732911,72.153606
