profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0090,medium_roughness,0.480287,40.008631,30.729621,642.826877,445.288616,232.237351,213.051264,0.000000,31.203065,100.782071
medium_roughness_0015,medium_roughness,0.456345,25.382914,44.229596,534.430326,298.053952,142.769630,155.284322,0.000000,20.551577,91.512800
low_roughness_0152,low_roughness,0.416598,43.302309,41.092970,917.410354,540.419196,315.965519,224.453677,0.000000,37.279484,112.638710
low_roughness_0043,low_roughness,0.335613,18.860304,56.914662,441.837622,190.367235,69.288954,121.078281,0.000000,13.293463,70.543384
medium_roughness_0062,medium_roughness,0.471300,19.120193,55.158635,529.995116,237.657042,121.334042,116.323000,0.000000,16.152679,44.901274
low_roughness_0069,low_roughness,0.361275,16.688257,52.783554,443.358765,209.338250,99.265218,110.073032,0.000000,14.248475,73.792937
low_roughness_0173,low_roughness,0.424107,26.037565,30.774379,439.463943,304.221644,156.483556,147.738088,0.000000,20.103161,62.201511
medium_roughness_0238,medium_roughness,0.530860,17.370479,52.932287,339.686386,159.882612,91.957536,67.925076,0.000000,10.995643,85.230335
high_roughness_0002,high_roughness,0.535378,21.458713,34.799019,415.438764,270.870151,145.572962,125.297189,0.000000,17.613353,44.834253
high_roughness_0097,high_roughness,0.568542,28.500860,27.259390,349.789734,254.439187,130.888894,123.550293,0.000000,18.278954,95.064801
low_roughness_0116,low_roughness,0.398728,35.357742,31.961645,560.024578,381.031510,186.217310,194.814200,0.000000,25.259436,87.038478
low_roughness_0216,low_roughness,0.441304,25.548064,52.215185,698.020808,333.547948,160.766949,172.780999,0.000000,21.445400,40.018172
high_roughness_0062,high_roughness,0.557446,37.823270,30.541113,624.023386,433.439696,221.819328,211.620368,0.000000,28.824036,125.553951
medium_roughness_0147,medium_roughness,0.502283,44.735060,23.809079,723.714647,551.404851,299.769747,251.635105,0.000000,36.702183,83.671935
high_roughness_0000,high_roughness,0.534052,23.465208,58.799144,611.704567,252.027520,136.592572,115.434948,0.000000,17.433890,93.293021
low_roughness_0026,low_roughness,0.299867,44.003757,43.560117,1127.455504,636.334563,305.351783,330.982780,0.000000,41.610351,61.350552
low_roughness_0146,low_roughness,0.413396,26.770128,43.843501,678.015077,380.749526,188.612562,192.136964,0.000000,24.199208,47.364443
high_roughness_0249,high_roughness,0.777463,39.219737,34.850639,861.453229,561.231274,286.988116,274.243158,0.000000,36.329746,60.947154
high_roughness_0093,high_roughness,0.567834,52.471014,23.738846,810.026076,617.735232,328.508905,289.226328,0.000000,39.750621,120.241896
low_roughness_0105,low_roughness,0.388702,59.622447,33.170241,1297.722975,867.265138,416.631504,450.633634,0.000000,57.206968,104.773661
medium_roughness_0019,medium_roughness,0.458670,53.112835,37.809880,1074.653038,668.328012,341.872779,326.455233,0.000000,43.185293,92.740355
medium_roughness_0100,medium_roughness,0.485739,25.256031,38.016037,484.471210,300.294453,145.934507,154.359946,0.000000,20.047476,58.060879
