profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0090,medium_roughness,0.480287,39.962138,31.169977,642.826877,442.457885,235.420543,207.037342,0.000000,31.030972,101.708803
medium_roughness_0015,medium_roughness,0.456345,25.997795,43.856929,534.430326,300.045599,147.078305,152.967294,0.000000,20.676105,92.439532
low_roughness_0152,low_roughness,0.416598,44.987850,37.082674,917.410354,577.210063,340.596665,236.613399,0.000000,39.582361,111.711979
low_roughness_0043,low_roughness,0.335613,18.677277,53.602976,441.837622,204.999509,89.540890,115.458619,0.000000,14.155646,71.470116
medium_roughness_0062,medium_roughness,0.471300,20.182957,50.606408,529.995116,261.783627,146.954981,114.828646,0.000000,17.720597,43.974542
low_roughness_0069,low_roughness,0.361275,16.271218,54.438381,443.358765,202.001433,97.376706,104.624727,0.000000,13.781420,74.719668
low_roughness_0173,low_roughness,0.424107,25.939317,31.664481,439.463943,300.309968,158.502025,141.807943,0.000000,19.878980,62.505168
medium_roughness_0238,medium_roughness,0.530860,16.927587,56.833072,339.686386,146.632179,93.579695,53.052483,0.000000,10.111010,86.077971
high_roughness_0002,high_roughness,0.535378,21.574708,34.949286,415.438764,270.245883,145.390081,124.855802,0.000000,17.610482,46.561579
high_roughness_0097,high_roughness,0.568542,28.511652,30.250713,349.789734,243.975845,129.651275,114.324570,0.000000,17.607747,94.138069
low_roughness_0116,low_roughness,0.398728,35.654852,32.120776,560.024578,380.140340,189.499773,190.640567,0.000000,25.175317,87.401375
low_roughness_0216,low_roughness,0.441304,27.092820,47.545304,698.020808,366.144692,188.155727,177.988965,0.000000,23.518250,40.474929
high_roughness_0062,high_roughness,0.557446,37.940740,29.982198,624.023386,436.927458,221.256654,215.670804,0.000000,29.065396,124.421682
medium_roughness_0147,medium_roughness,0.502283,45.004580,22.823442,723.714647,558.538057,301.434027,257.104031,0.000000,37.158748,83.246330
high_roughness_0000,high_roughness,0.534052,23.972427,56.053581,611.704567,268.822250,157.628028,111.194222,0.000000,18.563162,92.366289
low_roughness_0026,low_roughness,0.299867,46.878344,40.166773,1127.455504,674.593008,324.336667,350.256341,0.000000,43.995071,66.491253
low_roughness_0146,low_roughness,0.413396,27.585795,42.644579,678.015077,388.878399,191.780827,197.097573,0.000000,24.687284,46.491358
high_roughness_0249,high_roughness,0.777463,40.025038,33.533170,861.453229,572.580651,291.956267,280.624385,0.000000,37.032996,63.810484
high_roughness_0093,high_roughness,0.567834,52.928861,22.720825,810.026076,625.981470,330.506397,295.475073,0.000000,40.298173,117.581884
low_roughness_0105,low_roughness,0.388702,62.162761,30.206869,1297.722975,905.721490,431.318411,474.403079,0.000000,59.737409,105.700393
medium_roughness_0019,medium_roughness,0.458670,54.415985,34.151354,1074.653038,707.644474,367.464861,340.179614,0.000000,45.708338,92.470847
medium_roughness_0100,medium_roughness,0.485739,25.365279,40.340141,484.471210,289.034842,146.519367,142.515475,0.000000,19.292755,58.771176
high_roughness_0129,high_roughness,0.581641,24.597478,46.696311,534.051645,284.669230,139.125134,145.544096,0.000000,19.432881,81.181531
high_roughness_0058,high_roughness,0.556108,26.643281,41.497580,525.363997,307.350653,157.743289,149.607364,0.000000,20.377706,66.519662
high_roughness_0050,high_roughness,0.551785,22.155155,45.870282,432.082751,233.885174,121.575768,112.309406,0.000000,16.079357,61.960834
high_roughness_0012,high_roughness,0.540446,42.775565,26.747085,754.323881,552.564230,279.276710,273.287520,0.000000,37.065575,69.729517
high_roughness_0005,high_roughness,0.537143,22.046464,29.993636,348.719952,244.126160,117.039898,127.086262,0.000000,16.172551,86.000019
low_roughness_0134,low_roughness,0.407603,56.070171,28.727480,998.431264,711.607118,385.694108,325.913011,0.000000,47.837714,104.082046
low_roughness_0188,low_roughness,0.430011,55.961449,28.446041,1084.109126,775.722996,412.764351,362.958645,0.000000,50.983216,100.044182
medium_roughness_0094,medium_roughness,0.482677,60.192151,27.107859,1212.782466,884.023106,464.655585,419.367521,0.000000,57.480665,82.229190
medium_roughness_0180,medium_roughness,0.512292,32.729777,46.752060,761.424194,405.442701,202.404287,203.038415,0.000000,26.774355,67.542894
medium_roughness_0222,medium_roughness,0.526865,48.519600,38.599453,1154.056384,708.596931,347.690433,360.906498,0.000000,46.387776,102.181369
low_roughness_0071,low_roughness,0.361608,16.756762,50.181611,241.620041,120.371211,71.780770,48.590441,0.000000,9.137740,91.763763
high_roughness_0044,high_roughness,0.550096,26.156888,52.870878,687.737199,324.124503,150.309901,173.814602,0.000000,21.341435,59.116552
medium_roughness_0185,medium_roughness,0.512936,31.336497,51.306612,701.890880,341.774452,168.174212,173.600240,0.000000,22.808797,94.548258
high_roughness_0133,high_roughness,0.583960,25.853063,50.689255,569.368596,280.759895,154.621136,126.138759,0.000000,18.859207,68.390635
high_roughness_0128,high_roughness,0.581130,32.652459,42.603081,641.791492,368.368543,199.786929,168.581614,0.000000,25.656275,97.568429
high_roughness_0177,high_roughness,0.615550,48.853959,31.319861,906.012817,622.250865,282.752107,339.498757,0.000000,41.593291,127.425152
medium_roughness_0249,medium_roughness,0.533814,62.096131,29.601212,1213.919198,854.584409,452.717536,401.866873,0.000000,56.055534,103.644916
low_roughness_0079,low_roughness,0.368834,34.682844,47.224003,806.060199,425.406306,211.621241,213.785065,0.000000,27.297858,75.057084
medium_roughness_0067,medium_roughness,0.472747,53.416677,30.795623,1054.408413,729.696775,390.063451,339.633324,0.000000,49.000146,108.983635
low_roughness_0244,low_roughness,0.450524,30.868392,36.472460,500.280579,317.815944,169.921153,147.894790,0.000000,22.841945,97.167200
high_roughness_0091,high_roughness,0.566834,27.338760,36.173115,524.278396,334.630568,175.404893,159.225674,0.000000,22.038636,65.970099
low_roughness_0201,low_roughness,0.434380,47.081681,24.765205,791.722362,595.650693,339.168734,256.481959,0.000000,40.686887,88.104431
low_roughness_0027,low_roughness,0.307056,52.004319,20.211790,806.167825,643.226876,357.352821,285.874054,0.000000,43.755046,89.278152
low_roughness_0029,low_roughness,0.309735,53.272185,26.089141,810.024614,598.696148,318.785268,279.910881,0.000000,39.882284,95.456688
