profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0090,medium_roughness,0.480287,39.601810,32.364670,642.826877,434.778079,228.528392,206.249688,0.000000,30.497273,102.147046
medium_roughness_0015,medium_roughness,0.456345,24.725290,46.801375,534.430326,284.309584,141.946185,142.363399,0.000000,19.652594,92.877774
low_roughness_0152,low_roughness,0.416598,43.994745,39.742961,917.410354,552.804314,329.445882,223.358432,0.000000,38.066078,111.273736
low_roughness_0043,low_roughness,0.335613,18.530672,54.760661,441.837622,199.884418,81.953751,117.930667,0.000000,13.832097,71.908359
medium_roughness_0062,medium_roughness,0.471300,19.830857,52.176328,529.995116,253.463125,138.775975,114.687149,0.000000,17.174712,44.999229
low_roughness_0069,low_roughness,0.361275,16.407615,53.193089,443.358765,207.522545,96.318644,111.203901,0.000000,14.110625,75.157911
low_roughness_0173,low_roughness,0.424107,25.979445,31.536276,439.463943,300.873383,155.300216,145.573167,0.000000,19.915065,62.349413
medium_roughness_0238,medium_roughness,0.530860,17.708973,50.695329,339.686386,167.481257,99.845222,67.636035,0.000000,11.453825,85.099900
high_roughness_0002,high_roughness,0.535378,21.292960,35.489430,415.438764,268.001914,142.281144,125.720770,0.000000,17.489011,46.297432
high_roughness_0097,high_roughness,0.568542,28.415192,31.055346,349.789734,241.161322,128.137379,113.023943,0.000000,17.442128,93.699826
low_roughness_0116,low_roughness,0.398728,35.173981,33.812496,560.024578,370.666290,184.641148,186.025142,0.000000,24.540270,87.839618
low_roughness_0216,low_roughness,0.441304,25.985650,50.221782,698.020808,347.462320,174.918754,172.543565,0.000000,22.324830,40.064312
high_roughness_0062,high_roughness,0.557446,38.076146,29.604590,624.023386,439.283819,221.916780,217.367039,0.000000,29.268223,125.004450
medium_roughness_0147,medium_roughness,0.502283,44.992778,23.154574,723.714647,556.141603,299.320303,256.821301,0.000000,36.985387,83.712400
high_roughness_0000,high_roughness,0.534052,23.522454,57.791765,611.704567,258.189703,149.305523,108.884180,0.000000,17.839782,91.928047
low_roughness_0026,low_roughness,0.299867,43.818996,43.924668,1127.455504,632.224422,311.951152,320.273270,0.000000,41.173818,61.006740
low_roughness_0146,low_roughness,0.413396,27.595705,42.410950,678.015077,390.462444,189.687981,200.774463,0.000000,24.809277,49.868344
high_roughness_0249,high_roughness,0.777463,39.409940,34.559436,861.453229,563.739854,285.745607,277.994247,0.000000,36.476156,61.402132
high_roughness_0093,high_roughness,0.567834,52.661793,22.868968,810.026076,624.781474,334.313645,290.467830,0.000000,40.200855,119.110321
low_roughness_0105,low_roughness,0.388702,60.032041,32.518182,1297.722975,875.727056,415.855685,459.871371,0.000000,57.724208,106.138635
medium_roughness_0019,medium_roughness,0.458670,53.383111,36.474781,1074.653038,682.675695,357.288887,325.386808,0.000000,44.099546,92.771394
medium_roughness_0100,medium_roughness,0.485739,24.925965,41.460486,484.471210,283.607093,143.305585,140.301508,0.000000,18.904099,58.050412
high_roughness_0129,high_roughness,0.581641,24.942333,44.845543,534.051645,294.553285,143.076892,151.476393,0.000000,19.969764,81.619773
high_roughness_0058,high_roughness,0.556108,25.553079,43.898660,525.363997,294.736243,155.956100,138.780143,0.000000,19.595860,66.957904
high_roughness_0050,high_roughness,0.551785,21.912843,47.543184,432.082751,226.656855,118.877370,107.779485,0.000000,15.620603,61.522591
high_roughness_0012,high_roughness,0.540446,42.685441,27.423755,754.323881,547.459945,274.624901,272.835043,0.000000,36.801741,69.291274
high_roughness_0005,high_roughness,0.537143,22.048835,29.506921,348.719952,245.823432,114.202152,131.621280,0.000000,16.288179,86.028441
low_roughness_0134,low_roughness,0.407603,55.004187,30.643878,998.431264,692.473207,379.044399,313.428808,0.000000,46.631762,103.643803
low_roughness_0188,low_roughness,0.430011,54.632471,29.825294,1084.109126,760.770391,411.173788,349.596604,0.000000,50.133332,99.605939
medium_roughness_0094,medium_roughness,0.482677,58.892887,28.600631,1212.782466,865.919025,465.308803,400.610222,0.000000,56.326532,77.965118
medium_roughness_0180,medium_roughness,0.512292,31.940985,47.118291,761.424194,402.654125,199.308486,203.345639,0.000000,26.572034,66.615217
medium_roughness_0222,medium_roughness,0.526865,45.648652,42.147613,1154.056384,667.649168,334.632127,333.017041,0.000000,43.662292,99.892066
low_roughness_0071,low_roughness,0.361608,16.938676,47.740338,241.620041,126.269816,71.827787,54.442029,0.000000,9.528821,91.668293
high_roughness_0044,high_roughness,0.550096,26.171118,52.884540,687.737199,324.030545,150.111506,173.919039,0.000000,21.409651,60.267917
medium_roughness_0185,medium_roughness,0.512936,30.809353,53.928905,701.890880,323.368811,164.956443,158.412367,0.000000,21.557673,95.621603
high_roughness_0133,high_roughness,0.583960,24.540921,52.674971,569.368596,269.453853,154.207694,115.246159,0.000000,18.237140,65.578684
high_roughness_0128,high_roughness,0.581130,33.137595,40.929549,641.791492,379.109132,199.002627,180.106505,0.000000,26.320815,98.154760
high_roughness_0177,high_roughness,0.615550,47.850076,33.263814,906.012817,604.638402,268.367766,336.270636,0.000000,40.360283,129.073695
medium_roughness_0249,medium_roughness,0.533814,60.800339,31.610319,1213.919198,830.195471,447.300410,382.895061,0.000000,54.445475,103.997409
low_roughness_0079,low_roughness,0.368834,32.666892,51.291065,806.060199,392.623335,204.201901,188.421434,0.000000,25.091589,77.324723
medium_roughness_0067,medium_roughness,0.472747,52.556512,31.653397,1054.408413,720.652327,380.325224,340.327103,0.000000,48.359980,108.373808
low_roughness_0244,low_roughness,0.450524,30.158816,37.573879,500.280579,312.305760,157.881362,154.424397,0.000000,22.432291,97.824018
high_roughness_0091,high_roughness,0.566834,26.903240,37.212232,524.278396,329.182703,171.778003,157.404700,0.000000,21.689867,65.433605
low_roughness_0201,low_roughness,0.434380,46.627823,25.914173,791.722362,586.554059,335.842630,250.711429,0.000000,40.116292,87.666188
low_roughness_0027,low_roughness,0.307056,51.942794,20.526902,806.167825,640.686544,351.309951,289.376593,0.000000,43.600873,88.839909
low_roughness_0029,low_roughness,0.309735,52.783326,27.826122,810.024614,584.626174,312.388734,272.237440,0.000000,38.997958,95.345468
medium_roughness_0226,medium_roughness,0.527722,29.899385,38.505694,577.658509,355.227094,185.771155,169.455939,0.000000,22.730233,65.443070
high_roughness_0186,high_roughness,0.620756,52.178682,27.794816,964.403213,696.349112,332.438055,363.911056,0.000000,45.662312,97.822067
medium_roughness_0033,medium_roughness,0.464845,34.554738,39.600937,646.425854,390.435159,215.175617,175.259542,0.000000,26.817989,76.499601
high_roughness_0207,high_roughness,0.649278,31.750387,38.202546,588.566111,363.718871,179.747879,183.970992,0.000000,23.440502,83.576895
medium_roughness_0214,medium_roughness,0.524960,33.753426,32.570959,668.252955,450.596561,217.517303,233.079258,0.000000,29.729414,76.067402
high_roughness_0152,high_roughness,0.592726,45.153921,24.511317,730.731986,551.619953,291.601782,260.018172,0.000000,35.987839,104.211702
medium_roughness_0078,medium_roughness,0.477284,22.825284,50.930128,522.074034,256.181060,113.691854,142.489205,0.000000,17.237967,56.258535
high_roughness_0248,high_roughness,0.764837,30.039037,43.062575,725.768486,413.233885,212.399750,200.834135,0.000000,27.019208,98.030043
medium_roughness_0115,medium_roughness,0.491930,54.889516,28.489251,890.748486,636.980912,357.516878,279.464034,0.000000,43.101871,130.178618
