profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0090,medium_roughness,0.480287,36.733685,37.957697,642.826877,398.824597,212.370986,186.453611,0.000000,28.155685,95.986834
medium_roughness_0015,medium_roughness,0.456345,23.698224,51.062752,534.430326,261.535495,127.623992,133.911504,0.000000,18.123133,86.717563
low_roughness_0152,low_roughness,0.416598,42.490023,41.670982,917.410354,535.116451,323.315509,211.800941,0.000000,36.884944,117.433947
low_roughness_0043,low_roughness,0.335613,20.408831,44.220323,441.837622,246.455597,97.273147,149.182449,0.000000,16.914577,77.287379
medium_roughness_0062,medium_roughness,0.471300,21.969903,43.339012,529.995116,300.300469,158.432183,141.868286,0.000000,20.294251,49.696511
low_roughness_0069,low_roughness,0.361275,14.490841,61.571192,443.358765,170.377487,87.699003,82.678484,0.000000,11.702671,68.997700
low_roughness_0173,low_roughness,0.424107,22.712229,39.472907,439.463943,265.994751,136.225574,129.769178,0.000000,17.664987,56.289170
medium_roughness_0238,medium_roughness,0.530860,18.012791,49.067280,339.686386,173.011514,105.282576,67.728938,0.000000,11.641172,82.080164
high_roughness_0002,high_roughness,0.535378,17.596548,46.855057,415.438764,220.784693,115.936490,104.848203,0.000000,14.463982,45.438833
high_roughness_0097,high_roughness,0.568542,26.819204,31.803039,349.789734,238.545968,123.936457,114.609511,0.000000,17.376811,99.860037
low_roughness_0116,low_roughness,0.398728,30.299895,43.240016,560.024578,317.869860,153.979028,163.890833,0.000000,21.082779,81.679407
low_roughness_0216,low_roughness,0.441304,24.575405,49.062116,698.020808,355.557031,176.497975,179.059056,0.000000,23.010561,37.984647
high_roughness_0062,high_roughness,0.557446,34.471983,39.372007,624.023386,378.332857,191.470446,186.862411,0.000000,25.191464,125.535484
medium_roughness_0147,medium_roughness,0.502283,41.325270,28.221948,723.714647,519.468277,286.428975,233.039302,0.000000,34.671115,77.974631
high_roughness_0000,high_roughness,0.534052,26.461068,48.289525,611.704567,316.315334,182.807096,133.508239,0.000000,21.773424,98.088258
low_roughness_0026,low_roughness,0.299867,43.140373,45.902908,1127.455504,609.920637,297.611177,312.309460,0.000000,39.972971,69.834637
low_roughness_0146,low_roughness,0.413396,24.383409,50.736025,678.015077,334.017178,171.283359,162.733819,0.000000,21.401798,48.599837
high_roughness_0249,high_roughness,0.777463,35.031489,42.774844,861.453229,492.967952,260.659681,232.308272,0.000000,31.739540,58.941153
high_roughness_0093,high_roughness,0.567834,49.273547,25.504050,810.026076,603.436623,312.719524,290.717100,0.000000,38.923457,121.691488
