"rest_length_scale","nominal_preload_pct","baseline_torque_rms_nm","baseline_peak_abs_torque_nm","mean_force_residual_n","max_force_residual_n","minimum_spring_length_m","minimum_spring_clearance_m","spring_clearance_violations","bearing_intersections","strict_geometry_passed"
"0.4","60","29.073957","52.498795","1.51506E-05","2.06532E-05","0.32193854451179504","0.0014809255953878164","159","81","False"
"0.5","50","18.291023","34.450123","1.4216E-05","1.96605E-05","0.332577645778656","0.0015270308358594775","158","83","False"
"0.6","40","8.656744","17.180801","1.44247E-05","2.20792E-05","0.31535565853118896","0.0015857676044106483","157","87","False"
"0.65","35","5.271246","8.849628","1.52775E-05","2.92945E-05","0.3083684742450714","0.0016218849923461676","156","89","False"
"0.7","30","5.351239","8.787027","1.49197E-05","3.93903E-05","0.3044671416282654","0.0016627979930490255","155","91","False"
"0.75","25","8.295611","12.615177","1.34727E-05","2.68091E-05","0.3072444796562195","0.0017107721650972962","154","94","False"
"0.78","22","10.282193","15.141167","1.35393E-05","2.15845E-05","0.3133942484855652","0.001742386957630515","154","95","False"
"0.85","15","14.208277","20.241209","1.71389E-05","3.42369E-05","0.32884687185287476","0.0018278670031577349","182","98","False"
"0.9","10","16.076513","23.491856","2.30659E-05","5.86368E-05","0.3423554003238678","0.0014166570035740733","164","102","False"
"1","0","17.65114","28.603897","0.0117675","0.205006","0.373031884431839","0.00011774623999372125","212","140","False"
