rest_length_scale,nominal_preload_pct,mean_rmse_nm,mean_motor_work_offload_pct,screen_stage
1.0000,0.00,91.551,-99.818,coarse
0.9000,10.00,55.549,-18.932,coarse
0.8400,16.00,35.803,24.627,coarse
0.7800,22.00,27.557,44.172,coarse
0.7200,28.00,43.089,11.589,coarse
0.6600,34.00,68.630,-46.044,coarse
0.7500,25.00,33.151,32.627,refined
0.7650,23.50,29.636,39.468,refined
0.7800,22.00,27.557,44.172,refined
0.7950,20.50,27.246,44.925,refined
0.8100,19.00,28.821,40.939,refined
0.7875,21.25,27.163,45.217,fine
0.7925,20.75,27.164,45.168,fine
0.7975,20.25,27.382,44.554,fine
0.8025,19.75,27.813,43.412,fine
