profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
high_roughness_0890,high_roughness,0.668297,21.706783,43.978610,343.104107,192.211691,95.022897,97.188794,0.000000,13.251941,91.349284
medium_roughness_0824,medium_roughness,0.522290,45.936748,39.278470,1050.256055,637.731543,331.340632,306.390910,0.000000,41.546705,97.583592
medium_roughness_0114,medium_roughness,0.460410,35.651769,53.721546,819.123076,379.077498,204.066367,175.011130,0.000000,25.816297,91.354538
low_roughness_0271,low_roughness,0.357541,52.299002,23.484114,825.310514,631.493655,294.054205,337.439450,0.000000,42.340865,114.790425
low_roughness_0298,low_roughness,0.363870,39.336684,33.720191,778.684449,516.110564,233.019149,283.091415,0.000000,33.763418,111.845709
medium_roughness_0360,medium_roughness,0.481621,44.467023,49.427225,1202.526402,608.150975,343.055576,265.095400,0.000000,40.398210,111.549488
medium_roughness_0052,medium_roughness,0.454217,33.084640,28.211962,559.439822,401.610873,165.878501,235.732373,0.000000,27.174452,108.376969
high_roughness_0173,high_roughness,0.550824,17.034623,48.706832,384.378568,197.159946,85.711381,111.448565,0.000000,12.803847,42.643238
medium_roughness_0751,medium_roughness,0.515821,22.476917,57.988706,605.235875,254.267423,152.612234,101.655189,0.000000,16.758403,94.857570
medium_roughness_0448,medium_roughness,0.489754,9.679086,63.301017,249.361226,91.513034,41.614631,49.898403,0.000000,6.638582,37.266962
high_roughness_0819,high_roughness,0.639426,27.159323,48.515028,520.979641,268.226225,108.774470,159.451755,0.000000,18.377094,91.217536
high_roughness_0866,high_roughness,0.658046,18.283049,55.151314,375.406508,168.364886,89.010536,79.354350,0.000000,11.312172,63.833862
low_roughness_0746,low_roughness,0.425607,15.724110,59.756739,394.212613,158.644009,79.168439,79.475570,0.000000,10.909504,79.814083
medium_roughness_0643,medium_roughness,0.506537,33.173676,30.759253,436.027041,301.908379,154.003936,147.904443,0.000000,21.024320,88.100460
high_roughness_0823,high_roughness,0.640601,41.109941,43.818270,970.235240,545.094945,269.844017,275.250928,0.000000,36.456343,134.877981
medium_roughness_0864,medium_roughness,0.526051,20.995485,59.028756,591.239350,242.238117,129.118877,113.119240,0.000000,16.429262,64.194999
low_roughness_0011,low_roughness,0.155197,50.207240,25.256313,853.410743,637.870657,287.054062,350.816595,0.000000,43.150271,103.274561
low_roughness_0515,low_roughness,0.399366,53.103803,30.835566,832.808895,576.007561,278.203320,297.804241,0.000000,38.757568,130.720537
low_roughness_0005,low_roughness,0.115734,22.060042,67.727807,731.217073,235.979788,141.336931,94.642857,0.000000,16.811495,86.522203
medium_roughness_0732,medium_roughness,0.513896,31.059454,31.017518,516.254850,356.125409,187.102612,169.022797,0.000000,23.636740,88.287766
low_roughness_0441,low_roughness,0.388572,36.232998,41.953686,856.534719,497.186831,241.023791,256.163041,0.000000,32.507702,78.136592
low_roughness_0900,low_roughness,0.441437,55.135411,37.484393,1125.293987,703.484363,345.509445,357.974918,0.000000,47.438449,134.231009
high_roughness_0739,high_roughness,0.617567,26.611254,40.082067,496.255110,297.345803,124.956785,172.389018,0.000000,19.398520,81.523564
low_roughness_0569,low_roughness,0.406040,55.746280,37.571263,1113.302951,695.020970,353.043198,341.977773,0.000000,44.480078,105.320424
medium_roughness_0102,medium_roughness,0.458777,41.740558,42.595204,1047.435599,601.278273,313.131303,288.146970,0.000000,39.445255,85.170480
low_roughness_0264,low_roughness,0.354950,29.127742,56.051266,884.076107,388.540259,211.468279,177.071980,0.000000,25.989967,73.388965
low_roughness_0788,low_roughness,0.429642,27.086280,30.032427,345.615088,241.818488,124.658173,117.160315,0.000000,16.669416,106.683552
low_roughness_0835,low_roughness,0.434814,16.013310,66.624009,581.546329,194.096852,80.391332,113.705520,0.000000,13.480103,79.930300
medium_roughness_0711,medium_roughness,0.512221,13.087436,67.809325,440.922395,141.935894,90.672211,51.263683,0.000000,9.167861,41.956494
high_roughness_0016,high_roughness,0.538512,30.704983,39.349970,594.786598,360.738251,181.046328,179.691923,0.000000,23.785988,63.937518
medium_roughness_0297,medium_roughness,0.476817,54.931561,22.168730,967.709438,753.180550,348.441301,404.739249,0.000000,49.661570,103.071981
high_roughness_0419,high_roughness,0.573319,29.684738,46.851479,614.093763,326.381751,157.110285,169.271467,0.000000,21.442140,69.082755
medium_roughness_0872,medium_roughness,0.526516,35.378991,37.275012,485.786941,304.709799,135.582395,169.127404,0.000000,21.657200,115.065739
high_roughness_0915,high_roughness,0.677611,37.463343,46.173410,901.860101,485.440542,258.205428,227.235114,0.000000,31.892995,83.094266
high_roughness_0546,high_roughness,0.587612,26.745183,44.483172,519.743288,288.544987,148.141987,140.403000,0.000000,19.136421,83.107933
high_roughness_0150,high_roughness,0.549061,19.357804,45.156124,315.397005,172.975941,53.701231,119.274710,0.000000,12.390133,95.656949
high_roughness_0725,high_roughness,0.615100,19.684970,60.462879,496.423597,196.271598,104.968489,91.303109,0.000000,12.907985,57.547561
high_roughness_0724,high_roughness,0.614889,38.830368,30.712464,561.326175,388.929074,161.745712,227.183362,0.000000,26.152950,151.240545
medium_roughness_0990,medium_roughness,0.536185,34.331158,52.920930,703.312750,331.113103,195.521447,135.591656,0.000000,23.262613,95.847298
high_roughness_0436,high_roughness,0.575337,45.410665,39.352670,1003.627962,608.673566,288.529661,320.143906,0.000000,39.255343,95.867378
medium_roughness_0714,medium_roughness,0.512392,42.898196,31.069243,682.441651,470.412198,218.818909,251.593288,0.000000,32.777159,134.637005
low_roughness_0759,low_roughness,0.426910,21.144310,64.092950,544.808243,195.624569,108.259250,87.365319,0.000000,14.454305,86.160471
high_roughness_0682,high_roughness,0.606847,25.911433,51.340634,553.185580,269.176597,130.554493,138.622104,0.000000,18.683168,103.022151
high_roughness_0132,high_roughness,0.547937,48.250681,39.934641,1111.803245,667.808615,340.956874,326.851741,0.000000,42.563228,74.279593
high_roughness_0767,high_roughness,0.625491,15.321173,64.801567,507.531072,178.642985,94.947162,83.695823,0.000000,12.339474,67.922032
low_roughness_0766,low_roughness,0.427878,42.318233,34.365649,882.051957,578.929080,276.889700,302.039380,0.000000,37.616045,59.001735
low_roughness_0938,low_roughness,0.444409,50.117524,34.174948,793.570578,522.368249,214.508958,307.859291,0.000000,35.190536,150.427125
low_roughness_0970,low_roughness,0.446907,33.100479,22.699073,484.896895,374.829797,154.087052,220.742745,0.000000,25.252627,90.720418
low_roughness_0387,low_roughness,0.379769,35.979238,56.582744,1044.112178,453.324859,266.770119,186.554740,0.000000,30.678504,93.689899
low_roughness_0381,low_roughness,0.378520,38.594651,40.686956,775.134529,459.755886,199.955172,259.800714,0.000000,31.559711,106.606378
medium_roughness_0553,medium_roughness,0.499001,31.682119,49.184302,774.002891,393.314974,209.760492,183.554482,0.000000,27.103041,95.592186
medium_roughness_0368,medium_roughness,0.482231,15.933143,-0.478206,120.546745,121.123206,60.173246,60.949960,0.000000,8.827394,82.008947
high_roughness_0433,high_roughness,0.574976,22.359751,56.244099,529.518510,231.695593,112.538338,119.157255,0.000000,16.628937,103.339029
high_roughness_0972,high_roughness,0.713877,43.902186,25.463888,712.022214,530.713671,257.411508,273.302163,0.000000,35.861519,88.337368
high_roughness_0214,high_roughness,0.554909,47.271660,31.446927,991.169819,679.477372,341.850745,337.626627,0.000000,43.574125,89.327922
high_roughness_0004,high_roughness,0.536923,16.013032,72.947219,564.112227,152.608043,81.804863,70.803180,0.000000,10.965228,56.507806
medium_roughness_0389,medium_roughness,0.484507,47.511791,41.757172,1087.547041,633.418155,325.947432,307.470723,0.000000,40.775965,95.346496
high_roughness_0899,high_roughness,0.671047,35.754547,46.620902,864.291918,461.351228,230.173091,231.178136,0.000000,29.784000,96.066175
high_roughness_0225,high_roughness,0.555557,24.525363,66.419891,652.246036,219.024930,99.654747,119.370183,0.000000,15.642995,135.691302
high_roughness_0576,high_roughness,0.591826,38.706168,36.495113,657.639216,417.633042,202.301159,215.331883,0.000000,27.969681,115.182018
medium_roughness_0832,medium_roughness,0.522836,24.493607,41.823151,408.255862,237.510397,131.756169,105.754228,0.000000,16.177714,75.030036
low_roughness_0638,low_roughness,0.413550,55.210165,34.691863,1203.762777,786.155040,393.320791,392.834249,0.000000,51.702014,100.522973
high_roughness_0027,high_roughness,0.539429,21.466766,66.777498,641.024036,212.964222,111.542589,101.421633,0.000000,14.718530,69.696788
high_roughness_0484,high_roughness,0.580963,28.223533,48.114304,537.503807,278.887593,176.483952,102.403641,0.000000,19.053683,91.408141
medium_roughness_0855,medium_roughness,0.525380,39.056207,42.931849,899.105199,513.102716,252.819518,260.283198,0.000000,34.090156,84.584910
low_roughness_0793,low_roughness,0.430040,31.427965,62.327493,735.220059,276.975831,153.126158,123.849673,0.000000,19.744255,134.610854
low_roughness_0921,low_roughness,0.443236,21.003981,58.009633,514.991734,216.246917,110.205670,106.041248,0.000000,14.539678,66.887275
medium_roughness_0425,medium_roughness,0.487518,50.082750,35.354612,953.585013,616.448731,312.611581,303.837150,0.000000,39.526220,95.193481
medium_roughness_0030,medium_roughness,0.452523,42.058152,44.744228,1013.932439,560.256200,287.760232,272.495968,0.000000,36.627162,73.335226
low_roughness_0836,low_roughness,0.435080,16.276090,56.496590,421.370496,183.310536,85.813056,97.497480,0.000000,12.755819,57.102811
low_roughness_0899,low_roughness,0.441436,51.115617,32.384957,845.812190,571.896279,302.734762,269.161517,0.000000,36.897051,100.619702
medium_roughness_0134,medium_roughness,0.462429,22.109289,30.700644,217.842563,150.963494,99.439085,51.524409,0.000000,10.009952,115.942826
low_roughness_0593,low_roughness,0.408410,70.516331,24.236416,1230.214547,932.054638,438.160039,493.894599,0.000000,61.721180,139.158162
medium_roughness_0701,medium_roughness,0.511602,20.436188,65.941932,698.105499,237.761249,125.716997,112.044252,0.000000,16.386579,67.791849
high_roughness_0151,high_roughness,0.549125,56.454455,30.306762,1083.467717,755.103737,365.793442,389.310294,0.000000,49.649790,130.382625
low_roughness_0830,low_roughness,0.434198,20.134723,55.418330,459.971280,205.062876,77.982828,127.080048,0.000000,14.709816,68.157901
low_roughness_0399,low_roughness,0.382047,47.504059,30.127110,810.787187,566.520441,258.823442,307.696999,0.000000,37.723083,90.638670
low_roughness_0574,low_roughness,0.406750,41.541043,41.941401,1025.121613,595.171251,312.908433,282.262818,0.000000,38.786701,68.933139
medium_roughness_0962,medium_roughness,0.533366,46.121307,37.973555,897.746720,556.840375,303.909732,252.930643,0.000000,36.910320,92.711491
low_roughness_0840,low_roughness,0.435443,27.656390,48.813399,554.422447,283.790005,159.714256,124.075750,0.000000,18.649520,70.667542
low_roughness_0577,low_roughness,0.407425,19.142893,51.785662,393.272607,189.613786,105.070088,84.543697,0.000000,12.677664,52.076269
low_roughness_0186,low_roughness,0.333874,10.443222,46.512278,225.844235,120.798937,56.134426,64.664511,0.000000,8.120091,39.699955
high_roughness_0918,high_roughness,0.677920,25.113074,50.775390,575.257351,283.168188,150.930383,132.237805,0.000000,18.622607,77.159856
low_roughness_0024,low_roughness,0.182345,9.085208,82.504420,493.942067,86.418028,54.644174,31.773854,0.000000,6.189540,49.407484
high_roughness_0637,high_roughness,0.599513,24.663744,66.651489,781.782185,260.712720,130.113192,130.599527,0.000000,17.185378,81.880971
low_roughness_0173,low_roughness,0.329300,42.707577,42.575418,1049.126248,602.456366,327.269561,275.186805,0.000000,39.683371,64.479749
medium_roughness_0954,medium_roughness,0.532889,33.755271,30.559570,472.091280,327.822216,150.843075,176.979141,0.000000,22.139858,81.671950
medium_roughness_0700,medium_roughness,0.511591,29.644842,31.901798,523.807708,356.703629,150.178686,206.524943,0.000000,22.757694,107.664922
low_roughness_0019,low_roughness,0.174443,29.213276,64.163963,934.453713,334.871178,208.953062,125.918116,0.000000,23.344883,71.574679
medium_roughness_0057,medium_roughness,0.454683,23.570507,52.990436,533.531249,250.810712,120.593352,130.217360,0.000000,16.581527,62.555413
medium_roughness_0965,medium_roughness,0.533593,56.360309,35.864996,1224.677176,785.446753,383.928491,401.518263,0.000000,50.406641,97.112689
high_roughness_0776,high_roughness,0.627704,15.575193,71.961810,414.993273,116.356601,62.258846,54.097755,0.000000,8.181121,72.545197
high_roughness_0001,high_roughness,0.536637,20.092443,60.977987,547.601232,213.685021,117.821205,95.863816,0.000000,14.240061,56.724464
high_roughness_0073,high_roughness,0.543605,28.136737,59.059920,696.278144,285.056828,131.811653,153.245174,0.000000,20.041796,110.882985
high_roughness_0291,high_roughness,0.561980,30.199929,31.560353,485.453738,332.242824,164.863353,167.379471,0.000000,21.193536,76.754422
medium_roughness_0171,medium_roughness,0.465513,23.781739,41.015576,429.027683,253.059508,141.554704,111.504805,0.000000,17.583622,73.449470
high_roughness_0778,high_roughness,0.627858,56.642608,25.211953,859.387422,642.719072,297.562217,345.156855,0.000000,43.820550,127.144130
high_roughness_0543,high_roughness,0.587330,22.444884,51.141693,461.356370,225.410909,110.584080,114.826829,0.000000,15.328467,77.930078
high_roughness_0475,high_roughness,0.579790,47.686506,37.709493,1036.895848,645.887682,315.456788,330.430894,0.000000,41.772864,91.878768
high_roughness_0954,high_roughness,0.698997,20.339160,66.955940,594.915392,196.584200,120.637755,75.946445,0.000000,12.990420,99.992521
high_roughness_0029,high_roughness,0.539831,36.930764,45.908662,679.949904,367.794001,145.672174,222.121827,0.000000,25.642402,102.907770
high_roughness_0464,high_roughness,0.579149,39.725938,31.259964,586.772729,403.347786,198.736673,204.611113,0.000000,26.830888,99.514112
high_roughness_0126,high_roughness,0.547433,56.906806,29.158927,1033.801588,732.356132,339.204717,393.151415,0.000000,48.876760,125.612408
high_roughness_0934,high_roughness,0.689767,18.386594,51.279482,265.377918,129.293495,56.003953,73.289542,0.000000,9.754532,96.185004
medium_roughness_0085,medium_roughness,0.457820,34.031084,51.302348,850.661652,414.252251,199.532884,214.719367,0.000000,27.512674,68.322306
high_roughness_0233,high_roughness,0.556383,60.471052,32.758286,1215.046101,817.017821,416.842708,400.175113,0.000000,52.383453,94.866511
medium_roughness_0905,medium_roughness,0.528947,62.257746,33.592149,1395.526671,926.739271,454.253030,472.486241,0.000000,60.881776,80.394909
low_roughness_0964,low_roughness,0.446724,27.627564,60.620295,831.844788,327.578025,177.992993,149.585032,0.000000,22.630407,81.285407
low_roughness_0760,low_roughness,0.426920,15.309805,55.295046,380.563180,170.130595,92.794011,77.336583,0.000000,11.777135,44.228583
high_roughness_0834,high_roughness,0.643008,30.237605,58.362045,695.878828,289.749713,110.222528,179.527184,0.000000,20.273163,80.798795
medium_roughness_0451,medium_roughness,0.489951,44.292755,34.371553,862.141658,565.810177,277.608998,288.201179,0.000000,36.346330,81.647600
low_roughness_0910,low_roughness,0.442177,16.144442,55.928156,421.461895,185.746030,85.155546,100.590483,0.000000,12.162893,51.451976
high_roughness_0319,high_roughness,0.564037,54.161779,40.886914,1060.976389,627.175883,308.277770,318.898113,0.000000,42.084000,102.655521
low_roughness_0631,low_roughness,0.412550,20.247093,73.844102,772.689553,202.103889,108.976649,93.127241,0.000000,13.046383,63.091174
medium_roughness_0211,medium_roughness,0.468417,21.580747,71.897987,489.189004,137.471957,56.558921,80.913036,0.000000,10.684410,129.579197
high_roughness_0701,high_roughness,0.610270,29.750838,58.509964,692.555751,287.341630,149.526716,137.814913,0.000000,20.525680,115.445928
medium_roughness_0021,medium_roughness,0.451873,17.661643,55.727127,400.554044,177.336783,92.933705,84.403078,0.000000,11.800621,70.696957
high_roughness_0989,high_roughness,0.745888,51.069089,20.971265,773.108744,610.978064,297.017697,313.960367,0.000000,40.417572,106.440190
low_roughness_0020,low_roughness,0.176508,26.503356,60.159074,773.107929,308.013355,178.298368,129.714987,0.000000,20.615604,61.952101
low_roughness_0971,low_roughness,0.446972,23.780126,57.422132,516.870749,220.072545,124.850948,95.221597,0.000000,14.345525,101.248742
low_roughness_0378,low_roughness,0.377992,15.587370,77.131296,598.327712,136.829795,89.824281,47.005514,0.000000,9.657919,56.916560
high_roughness_0727,high_roughness,0.615461,34.258710,53.651423,858.117613,397.725305,194.613639,203.111666,0.000000,26.462960,108.499506
low_roughness_0697,low_roughness,0.420269,49.202405,34.216173,1033.809601,680.079519,320.484264,359.595254,0.000000,44.887245,78.623867
low_roughness_0051,low_roughness,0.228548,23.072945,62.717608,610.701654,227.684186,138.419420,89.264767,0.000000,15.517100,67.657652
low_roughness_0468,low_roughness,0.394298,21.790517,60.517040,580.539406,229.214142,117.611287,111.602855,0.000000,14.732657,46.636845
low_roughness_0167,low_roughness,0.327086,30.388555,56.554207,891.564859,387.347424,213.084130,174.263294,0.000000,25.594797,63.438195
low_roughness_0783,low_roughness,0.429183,50.877130,36.941092,986.509206,622.081937,308.087989,313.993948,0.000000,39.539411,88.811577
low_roughness_0398,low_roughness,0.380958,19.449959,69.546987,529.467820,161.238902,107.490492,53.748410,0.000000,11.942254,85.860654
medium_roughness_0630,medium_roughness,0.505623,41.166381,44.223626,1053.067308,587.362762,292.595488,294.767273,0.000000,39.650182,80.045742
medium_roughness_0886,medium_roughness,0.527722,25.326281,50.424248,577.658509,286.378550,144.213639,142.164911,0.000000,18.591360,66.255883
medium_roughness_0177,medium_roughness,0.465867,25.670464,44.986463,445.789316,245.244472,126.460696,118.783775,0.000000,17.789670,93.103692
low_roughness_0826,low_roughness,0.433682,28.329992,32.362806,433.202226,293.005832,145.220215,147.785617,0.000000,18.803046,69.970345
low_roughness_0863,low_roughness,0.438268,28.605734,61.924412,883.504223,336.399427,196.196055,140.203373,0.000000,23.229229,66.522407
low_roughness_0140,low_roughness,0.316181,20.702630,73.229937,778.952544,208.526087,130.915253,77.610834,0.000000,14.537988,72.280896
low_roughness_0961,low_roughness,0.446521,35.444744,36.948415,592.119949,373.341013,189.064248,184.276764,0.000000,26.198774,104.136478
medium_roughness_0342,medium_roughness,0.479711,58.643871,31.677797,1197.184327,817.942703,390.965414,426.977289,0.000000,53.498340,83.328951
low_roughness_0232,low_roughness,0.344451,52.511278,39.731820,1040.408278,627.035135,292.680598,334.354538,0.000000,41.342218,83.584659
high_roughness_0473,high_roughness,0.579668,62.198854,31.459119,1297.563412,889.361393,436.037257,453.324137,0.000000,57.028909,89.319909
