profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0149,medium_roughness,0.476875,13.254083,84.803206,984.048373,149.543800,88.574648,60.969152,0.000000,9.806074,42.381247
medium_roughness_0114,medium_roughness,0.469147,8.563025,83.476936,406.666596,67.193781,29.171997,38.021785,0.000000,4.658561,58.506132
medium_roughness_0407,medium_roughness,0.522290,30.337434,81.410790,1050.256055,195.234302,124.865529,70.368773,0.000000,13.331478,157.297911
medium_roughness_0204,medium_roughness,0.486751,15.113278,70.612474,376.906320,110.763442,41.359435,69.404007,0.000000,7.735203,80.084678
high_roughness_0316,high_roughness,0.600109,24.563242,75.911470,979.013305,235.829914,85.829001,150.000913,0.000000,15.932199,95.929664
medium_roughness_0217,medium_roughness,0.489234,5.281679,92.599591,648.640391,48.002044,17.490348,30.511696,0.000000,3.406874,41.726969
high_roughness_0004,high_roughness,0.538712,16.183601,88.652342,629.122648,71.390685,45.889215,25.501470,0.000000,5.739313,135.665157
medium_roughness_0115,medium_roughness,0.469756,27.634161,79.937025,855.833649,171.705690,116.001137,55.704553,0.000000,12.139299,146.285625
medium_roughness_0218,medium_roughness,0.489307,10.893478,85.891070,584.047152,82.402805,39.478277,42.924528,0.000000,5.899037,88.215615
high_roughness_0293,high_roughness,0.592726,16.842986,82.247580,730.731986,129.722610,88.327842,41.394768,0.000000,8.930750,97.652970
high_roughness_0439,high_roughness,0.669975,14.685324,82.032809,684.339311,122.956553,74.835929,48.120624,0.000000,8.476407,84.103139
medium_roughness_0361,medium_roughness,0.513474,14.768022,76.780875,535.353908,124.304493,39.419160,84.885333,0.000000,8.350812,78.392838
high_roughness_0288,high_roughness,0.592126,25.694558,76.579381,879.596868,206.007029,94.853496,111.153533,0.000000,14.162225,141.072231
low_roughness_0482,low_roughness,0.445604,13.043978,90.254039,1021.908231,99.594783,41.747439,57.847344,0.000000,6.844156,100.067838
medium_roughness_0443,medium_roughness,0.527930,16.169191,75.221265,461.965136,114.469119,40.639433,73.829686,0.000000,7.791399,102.780204
low_roughness_0300,low_roughness,0.409179,4.958560,94.351898,1060.954893,59.923818,35.962538,23.961280,0.000000,3.880305,21.329595
medium_roughness_0231,medium_roughness,0.492303,13.802631,86.227820,890.472662,122.637500,58.340564,64.296936,0.000000,8.666889,87.696328
medium_roughness_0379,medium_roughness,0.516844,29.665634,70.919754,809.077759,235.281803,111.384349,123.897454,0.000000,15.669032,153.356873
low_roughness_0192,low_roughness,0.384360,14.865906,85.916485,962.520611,135.556738,104.868177,30.688561,0.000000,9.272621,67.888485
low_roughness_0496,low_roughness,0.448367,24.699181,76.806312,650.901923,150.968159,67.242265,83.725894,0.000000,11.176695,139.415066
high_roughness_0442,high_roughness,0.670265,18.237818,59.296417,434.956164,177.042745,66.135397,110.907348,0.000000,11.830307,64.059875
low_roughness_0148,low_roughness,0.366303,13.063910,83.221038,788.745210,132.343262,41.850879,90.492383,0.000000,8.754871,54.771950
low_roughness_0173,low_roughness,0.376171,6.880004,86.818944,566.282656,74.642033,27.318583,47.323450,0.000000,5.038624,32.609599
medium_roughness_0036,medium_roughness,0.454683,7.697492,86.915907,533.531249,69.807723,25.605574,44.202149,0.000000,4.834861,46.036164
low_roughness_0159,low_roughness,0.371155,9.263983,92.079373,1218.158807,96.485809,41.100041,55.385768,0.000000,6.690120,65.487808
medium_roughness_0279,medium_roughness,0.500611,16.670756,86.351797,862.624851,117.732790,54.146747,63.586044,0.000000,8.376962,83.408909
high_roughness_0180,high_roughness,0.567209,20.590366,77.253723,905.015158,205.857254,83.632072,122.225182,0.000000,13.948441,103.450738
high_roughness_0233,high_roughness,0.578586,18.778447,80.788577,818.911076,157.324475,81.174280,76.150195,0.000000,10.097636,82.900653
medium_roughness_0445,medium_roughness,0.528008,19.610639,72.444117,633.353442,174.526131,99.020304,75.505826,0.000000,11.759918,87.244871
high_roughness_0195,high_roughness,0.570672,13.001367,74.569089,570.761788,145.149921,74.085149,71.064773,0.000000,9.447425,40.636527
high_roughness_0157,high_roughness,0.563506,14.946712,70.529735,462.044107,136.165621,75.313082,60.852538,0.000000,8.907321,74.649569
high_roughness_0076,high_roughness,0.549752,17.514872,39.862253,224.967035,135.290106,78.935725,56.354381,0.000000,8.981502,82.209998
low_roughness_0296,low_roughness,0.408827,14.978444,76.197093,572.853871,136.355876,53.844086,82.511790,0.000000,8.843038,61.888661
medium_roughness_0148,medium_roughness,0.476404,12.852113,78.677861,552.857865,117.881123,69.600369,48.280753,0.000000,8.179560,81.448047
medium_roughness_0417,medium_roughness,0.524604,16.466747,78.995120,596.108847,125.211949,50.446937,74.765012,0.000000,8.578148,72.870666
high_roughness_0217,high_roughness,0.574459,26.050779,65.648502,544.156040,186.925752,68.550072,118.375680,0.000000,13.207303,127.222522
high_roughness_0328,high_roughness,0.604363,22.439423,32.327488,235.428646,159.320479,90.524257,68.796222,0.000000,10.371172,94.317844
high_roughness_0089,high_roughness,0.551370,30.584071,77.309747,804.910380,182.636202,122.065338,60.570864,0.000000,13.358283,193.069497
low_roughness_0202,low_roughness,0.386267,19.753760,87.402431,794.511633,100.089153,23.709307,76.379846,0.000000,7.993247,125.868302
high_roughness_0492,high_roughness,0.729063,24.340722,62.395613,578.864451,217.678431,81.675206,136.003225,0.000000,14.942588,109.865636
high_roughness_0467,high_roughness,0.692218,22.568618,65.516019,536.788069,185.105898,65.893193,119.212705,0.000000,12.655772,109.507866
low_roughness_0100,low_roughness,0.341271,11.524075,88.761199,931.891114,104.733391,27.069898,77.663493,0.000000,7.348117,79.854835
medium_roughness_0044,medium_roughness,0.456257,10.324067,78.959853,451.725197,95.043645,61.838149,33.205496,0.000000,6.287542,49.870041
low_roughness_0080,low_roughness,0.334452,23.365031,89.206428,1280.051586,138.163284,108.223356,29.939928,0.000000,10.750703,149.682817
low_roughness_0436,low_roughness,0.438819,28.121886,63.471377,629.651751,230.003116,93.044995,136.958121,0.000000,15.261429,106.419355
low_roughness_0012,low_roughness,0.189707,15.681845,83.368690,798.795321,132.850123,94.442284,38.407839,0.000000,9.438681,110.989951
medium_roughness_0037,medium_roughness,0.454723,21.031761,85.102565,995.542127,148.310240,50.497055,97.813185,0.000000,10.792518,105.347173
medium_roughness_0216,medium_roughness,0.488881,12.604219,86.568771,652.222116,87.601445,37.069464,50.531981,0.000000,6.464907,105.938943
high_roughness_0394,high_roughness,0.634297,10.060968,73.989734,391.558270,101.845349,48.112014,53.733335,0.000000,6.743011,33.866145
medium_roughness_0243,medium_roughness,0.494135,9.866270,88.620928,682.721933,77.687421,40.342545,37.344876,0.000000,5.197927,52.218743
medium_roughness_0089,medium_roughness,0.465498,18.354349,84.908653,720.355581,108.711360,50.869908,57.841452,0.000000,8.194438,109.568133
high_roughness_0409,high_roughness,0.641739,23.392201,69.832589,704.400241,212.499313,107.516379,104.982934,0.000000,14.003303,69.359091
low_roughness_0059,low_roughness,0.316167,12.411477,83.496420,626.177402,103.341692,73.548369,29.793323,0.000000,6.923850,52.348816
low_roughness_0418,low_roughness,0.434380,20.686275,77.955522,791.722362,174.531060,107.575329,66.955731,0.000000,11.792684,85.907748
low_roughness_0487,low_roughness,0.447093,8.177107,87.259973,616.738165,78.572610,23.714963,54.857647,0.000000,5.415884,54.056198
low_roughness_0024,low_roughness,0.243611,16.272982,90.093367,825.265838,81.756055,19.227371,62.528684,0.000000,6.442147,126.159008
low_roughness_0397,low_roughness,0.430011,13.988943,89.268924,1084.109126,116.336572,77.004625,39.331946,0.000000,8.370851,97.847498
high_roughness_0129,high_roughness,0.557877,17.827895,85.440020,993.521664,144.656556,60.362616,84.293941,0.000000,9.890333,106.635074
low_roughness_0005,low_roughness,0.161977,8.325000,88.413159,726.200726,84.143724,22.114908,62.028816,0.000000,5.713234,34.808941
low_roughness_0338,low_roughness,0.416598,19.798205,83.878738,917.410354,147.898131,110.783135,37.114996,0.000000,10.596779,109.515295
medium_roughness_0344,medium_roughness,0.511472,11.859041,86.059532,669.401350,93.317678,63.050130,30.267548,0.000000,6.537982,62.771975
high_roughness_0096,high_roughness,0.552526,26.442625,72.210366,678.179005,188.463467,133.446855,55.016611,0.000000,12.620909,116.240168
low_roughness_0363,low_roughness,0.422930,6.211406,87.000428,460.320494,59.839693,28.129000,31.710693,0.000000,4.106969,32.622860
low_roughness_0117,low_roughness,0.351152,9.816386,89.905771,872.210073,88.042884,12.260218,75.782666,0.000000,6.095304,70.709327
high_roughness_0289,high_roughness,0.592139,12.936791,77.611386,412.125529,92.269192,61.665219,30.603974,0.000000,6.436817,60.601690
medium_roughness_0293,medium_roughness,0.502232,21.668294,75.546497,704.296039,172.225052,79.855089,92.369963,0.000000,11.910950,108.315896
low_roughness_0118,low_roughness,0.351285,7.695070,87.042382,593.475519,76.900289,23.870033,53.030256,0.000000,5.170557,28.129884
medium_roughness_0100,medium_roughness,0.466774,13.450280,84.128746,708.981725,112.524288,49.036127,63.488161,0.000000,7.441492,65.256476
low_roughness_0198,low_roughness,0.385687,2.562123,86.666870,201.482250,26.863891,14.238913,12.624978,0.000000,1.863038,12.354087
medium_roughness_0091,medium_roughness,0.465615,17.387745,78.700418,674.324573,143.628316,77.609634,66.018682,0.000000,9.524483,66.304854
medium_roughness_0408,medium_roughness,0.522335,6.570593,88.143499,460.541677,54.604127,24.001882,30.602245,0.000000,3.865840,45.112012
low_roughness_0145,low_roughness,0.365011,8.725275,88.784687,628.954122,70.539172,29.942439,40.596733,0.000000,4.723765,61.116641
low_roughness_0357,low_roughness,0.420667,11.401002,87.668874,904.173599,111.494786,52.251391,59.243396,0.000000,7.468456,46.215106
high_roughness_0332,high_roughness,0.604876,17.260616,80.079772,747.738393,148.951190,99.407723,49.543466,0.000000,10.694366,85.967662
low_roughness_0287,low_roughness,0.407603,13.127659,90.024513,998.431264,99.598379,70.340458,29.257921,0.000000,7.249039,101.885362
high_roughness_0047,high_roughness,0.545724,16.090345,82.856820,824.355194,141.320696,65.743909,75.576787,0.000000,9.736115,86.148707
high_roughness_0286,high_roughness,0.591749,11.426261,76.724600,431.394913,100.408892,55.093804,45.315088,0.000000,6.827623,63.566779
high_roughness_0333,high_roughness,0.605248,25.250196,73.243781,715.394812,191.412600,84.599671,106.812928,0.000000,12.819893,102.990616
high_roughness_0124,high_roughness,0.557200,20.981195,81.347160,931.523518,173.755590,50.149246,123.606344,0.000000,12.242180,98.933629
low_roughness_0391,low_roughness,0.428944,6.953420,89.542065,586.326684,61.317662,44.068271,17.249391,0.000000,4.260161,40.435962
high_roughness_0268,high_roughness,0.586915,24.896345,67.320098,620.269923,202.703602,87.045015,115.658587,0.000000,13.910419,112.909377
low_roughness_0475,low_roughness,0.444518,42.961712,70.450231,1074.955317,317.646817,73.368291,244.278526,0.000000,20.733809,188.563395
low_roughness_0438,low_roughness,0.439116,12.499473,80.023117,568.652675,113.599078,79.777630,33.821449,0.000000,7.777724,72.732640
medium_roughness_0317,medium_roughness,0.505805,11.233502,84.857684,679.561476,102.901349,37.389663,65.511686,0.000000,7.038858,62.158221
