profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
high_roughness_0890,high_roughness,0.668297,22.256813,52.044421,343.104107,164.537562,88.493995,76.043566,0.000000,11.565277,95.994344
medium_roughness_0824,medium_roughness,0.522290,31.532892,71.795585,1050.256055,296.218577,172.777451,123.441126,0.000000,19.839183,154.531157
medium_roughness_0114,medium_roughness,0.460410,35.849029,53.858382,819.123076,377.956638,215.600464,162.356175,0.000000,25.955772,109.841459
low_roughness_0271,low_roughness,0.357541,11.371769,89.203385,825.310514,89.105601,13.735909,75.369693,0.000000,6.417660,96.303503
low_roughness_0298,low_roughness,0.363870,20.378678,77.422254,778.684449,175.809399,53.458024,122.351376,0.000000,11.402622,115.462675
medium_roughness_0360,medium_roughness,0.481621,45.673739,52.762996,1202.526402,568.037449,336.806713,231.230736,0.000000,38.062549,119.383436
medium_roughness_0052,medium_roughness,0.454217,17.104829,76.196542,559.439822,133.166023,39.874388,93.291635,0.000000,9.142009,89.890048
high_roughness_0173,high_roughness,0.550824,12.354355,71.531383,384.378568,109.427262,40.892788,68.534474,0.000000,7.383471,46.191399
medium_roughness_0751,medium_roughness,0.515821,21.754129,70.052430,605.235875,181.253438,118.577844,62.675595,0.000000,12.370816,109.824468
medium_roughness_0448,medium_roughness,0.489754,7.555992,74.963637,249.361226,62.430982,32.946369,29.484613,0.000000,4.608402,55.753883
high_roughness_0819,high_roughness,0.639426,15.848608,78.612051,520.979641,111.426860,36.715165,74.711695,0.000000,7.801603,81.866069
high_roughness_0866,high_roughness,0.658046,15.248513,65.528293,375.406508,129.409031,65.156776,64.252255,0.000000,8.640735,74.146267
low_roughness_0746,low_roughness,0.425607,8.734420,83.078901,394.212613,66.705106,30.853595,35.851512,0.000000,4.870288,61.327161
medium_roughness_0643,medium_roughness,0.506537,16.383934,69.783981,436.027041,131.750012,60.048443,71.701569,0.000000,9.319462,69.613539
high_roughness_0823,high_roughness,0.640601,30.096554,71.468911,970.235240,276.818680,132.360244,144.458437,0.000000,19.490161,150.832864
medium_roughness_0864,medium_roughness,0.526051,13.855300,80.692891,591.239350,114.151223,73.866486,40.284737,0.000000,8.515414,82.681920
low_roughness_0011,low_roughness,0.155197,10.274881,90.298200,853.410743,82.796207,13.001311,69.794896,0.000000,5.882099,84.787640
low_roughness_0515,low_roughness,0.399366,13.494048,86.703536,832.808895,110.734137,27.815751,82.918386,0.000000,7.867490,112.233615
low_roughness_0005,low_roughness,0.115734,21.707134,75.275685,731.217073,180.788415,113.822991,66.965424,0.000000,13.556496,105.009124
medium_roughness_0732,medium_roughness,0.513896,15.064777,81.142910,516.254850,97.350640,55.054281,42.296360,0.000000,7.325437,101.850231
low_roughness_0441,low_roughness,0.388572,21.327922,76.254870,856.534719,203.385284,97.997981,105.387303,0.000000,13.450185,59.649671
low_roughness_0900,low_roughness,0.441437,27.278126,76.240533,1125.293987,267.363855,124.001746,143.362109,0.000000,18.370102,138.904532
high_roughness_0739,high_roughness,0.617567,15.395007,70.952957,496.255110,144.147437,45.502560,98.644877,0.000000,9.395345,79.623078
low_roughness_0569,low_roughness,0.406040,16.311137,81.667836,1113.302951,204.092527,113.514218,90.578309,0.000000,13.595841,59.876966
medium_roughness_0102,medium_roughness,0.458777,28.502108,73.039565,1047.435599,282.393198,149.220460,133.172737,0.000000,19.309333,91.438043
low_roughness_0264,low_roughness,0.354950,23.685318,72.237539,884.076107,245.441286,144.112353,101.328933,0.000000,17.178256,91.875886
low_roughness_0788,low_roughness,0.429642,22.072960,64.315966,345.615088,123.329407,53.172275,70.157132,0.000000,9.177687,131.464062
low_roughness_0835,low_roughness,0.434814,11.715710,81.880057,581.546329,105.375864,38.928656,66.447208,0.000000,7.200560,61.443379
medium_roughness_0711,medium_roughness,0.512221,11.500536,76.773912,440.922395,102.409022,74.898611,27.510411,0.000000,6.544062,51.066597
high_roughness_0016,high_roughness,0.538512,10.052763,85.337517,594.786598,87.210484,39.784350,47.426134,0.000000,6.393298,65.048037
medium_roughness_0297,medium_roughness,0.476817,27.167819,78.535982,967.709438,207.709331,66.526743,141.182588,0.000000,14.146879,126.831729
high_roughness_0419,high_roughness,0.573319,13.380571,78.701615,614.093763,130.792051,49.983644,80.808407,0.000000,8.755335,50.595833
medium_roughness_0872,medium_roughness,0.526516,14.257010,73.796149,485.786941,127.294884,49.552641,77.742242,0.000000,8.893046,96.578818
high_roughness_0915,high_roughness,0.677611,26.264353,69.753106,901.860101,272.784665,152.694912,120.089753,0.000000,18.598796,67.085602
high_roughness_0546,high_roughness,0.587612,13.905859,82.405926,519.743288,91.444020,42.235428,49.208592,0.000000,6.497473,98.207531
high_roughness_0150,high_roughness,0.549061,15.985589,55.726208,315.397005,139.638214,46.842048,92.796166,0.000000,9.404342,77.170028
high_roughness_0725,high_roughness,0.615100,18.703405,67.051502,496.423597,163.564117,84.920210,78.643907,0.000000,11.007002,62.006390
high_roughness_0724,high_roughness,0.614889,28.754040,64.431960,561.326175,199.652719,62.940883,136.711836,0.000000,13.228032,156.339098
medium_roughness_0990,medium_roughness,0.536185,33.361068,56.334334,703.312750,307.106195,176.009337,131.096859,0.000000,21.939216,112.345336
high_roughness_0436,high_roughness,0.575337,25.787731,70.508052,1003.627962,295.989433,123.992223,171.997210,0.000000,19.023323,97.520772
