profile,family,roughness_score,rmse_nm,offload_pct,baseline_energy_burden_j,energy_burden_with_spring_j,net_battery_energy_with_spring_j,braking_energy_with_spring_j,regenerated_energy_with_spring_j,mean_abs_residual_nm,peak_abs_residual_nm
medium_roughness_0090,medium_roughness,0.480287,34.726286,40.311821,642.826877,383.691659,190.897346,192.794313,0.000000,27.076940,90.951995
medium_roughness_0015,medium_roughness,0.456345,24.458858,47.370500,534.430326,281.268006,126.760886,154.507121,0.000000,19.342318,81.682724
low_roughness_0152,low_roughness,0.416598,42.044286,42.036454,917.410354,531.763571,299.444975,232.318596,0.000000,36.532621,122.468786
low_roughness_0043,low_roughness,0.335613,19.640985,48.485725,441.837622,227.609449,85.681122,141.928326,0.000000,15.570052,69.201885
medium_roughness_0062,medium_roughness,0.471300,21.234897,45.587248,529.995116,288.384927,147.388528,140.996398,0.000000,19.293802,54.731350
low_roughness_0069,low_roughness,0.361275,13.684690,62.518424,443.358765,166.177854,79.964623,86.213231,0.000000,11.323969,63.962860
low_roughness_0173,low_roughness,0.424107,20.707970,43.951756,439.463943,246.311823,115.332563,130.979260,0.000000,16.265694,49.843757
medium_roughness_0238,medium_roughness,0.530860,16.904923,55.259987,339.686386,151.975733,92.748726,59.227007,0.000000,10.312391,83.622473
high_roughness_0002,high_roughness,0.535378,17.652533,47.974513,415.438764,216.134042,102.662259,113.471783,0.000000,14.093051,41.165914
high_roughness_0097,high_roughness,0.568542,24.798218,32.936481,349.789734,234.581306,114.922219,119.659086,0.000000,16.809848,104.894877
low_roughness_0116,low_roughness,0.398728,25.965700,49.053234,560.024578,285.314412,134.132114,151.182298,0.000000,19.085272,76.644567
low_roughness_0216,low_roughness,0.441304,22.483993,53.761960,698.020808,322.751138,151.900251,170.850887,0.000000,20.801387,39.522138
high_roughness_0062,high_roughness,0.557446,31.272204,43.438489,624.023386,352.957053,164.958379,187.998674,0.000000,23.596320,131.800781
medium_roughness_0147,medium_roughness,0.502283,37.494379,36.142676,723.714647,462.144807,252.032276,210.112530,0.000000,30.912512,81.779817
high_roughness_0000,high_roughness,0.534052,27.780755,45.169832,611.704567,335.398642,187.129416,148.269227,0.000000,22.807476,103.123097
low_roughness_0026,low_roughness,0.299867,44.440756,46.346826,1127.455504,604.915667,279.263966,325.651701,0.000000,39.781588,80.636431
low_roughness_0146,low_roughness,0.413396,22.232143,55.027560,678.015077,304.919923,154.254888,150.665035,0.000000,19.416659,45.458258
high_roughness_0249,high_roughness,0.777463,32.375222,47.563045,861.453229,451.719845,241.273230,210.446615,0.000000,29.131340,60.293463
high_roughness_0093,high_roughness,0.567834,44.122220,35.810681,810.026076,519.950218,279.997148,239.953070,0.000000,33.545088,124.578028
low_roughness_0105,low_roughness,0.388702,52.519252,41.696483,1297.722975,756.618138,363.299231,393.318907,0.000000,50.213294,94.943585
medium_roughness_0019,medium_roughness,0.458670,42.667208,45.450074,1074.653038,586.222440,308.436566,277.785873,0.000000,37.862569,83.395912
medium_roughness_0100,medium_roughness,0.485739,18.963570,52.775145,484.471210,228.790829,102.214557,126.576272,0.000000,15.289479,51.139164
high_roughness_0129,high_roughness,0.581641,26.639223,43.099037,534.051645,303.880530,142.815472,161.065057,0.000000,20.605310,70.424723
high_roughness_0058,high_roughness,0.556108,22.369733,50.054870,525.363997,262.393729,122.497520,139.896208,0.000000,17.452882,55.762854
high_roughness_0050,high_roughness,0.551785,24.238732,38.785076,432.082751,264.499130,124.586910,139.912220,0.000000,17.906333,72.717641
high_roughness_0012,high_roughness,0.540446,32.960321,42.695703,754.323881,432.259999,206.933907,225.326092,0.000000,29.287489,80.486325
high_roughness_0005,high_roughness,0.537143,19.260967,38.364309,348.719952,214.935951,86.799817,128.136134,0.000000,14.265428,78.493136
low_roughness_0134,low_roughness,0.407603,42.832017,44.851699,998.431264,550.617874,303.142791,247.475084,0.000000,37.383277,114.838854
